Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,363.0,363.0,355.0,355.0,7.7232,21.0,0.0,1.0
2005-01-04,350.0,350.0,336.0,348.0,7.5708,111.0,0.0,1.0
2005-01-05,340.0,348.0,335.0,340.0,7.3967,1443.0,0.0,1.0
2005-01-06,340.0,340.0,340.0,340.0,7.3967,201.0,0.0,1.0
2005-01-07,340.0,350.0,340.0,343.0,7.462,730.0,0.0,1.0
2005-01-10,349.0,350.0,340.0,340.0,7.3967,1030.0,0.0,1.0
2005-01-11,335.0,340.0,335.0,339.0,7.375,202.0,0.0,1.0
2005-01-12,339.0,350.0,339.0,350.0,7.6144,2329.0,0.0,1.0
2005-01-13,350.0,350.0,349.99,349.99,7.6141,26.0,0.0,1.0
2005-01-14,340.0,349.99,336.0,349.98,7.6139,1710.0,0.0,1.0
2005-01-17,349.99,350.0,340.0,349.97,7.6136,160.0,0.0,1.0
2005-01-18,349.9,360.0,349.9,351.0,7.6361,320.0,0.0,1.0
2005-01-19,355.0,355.0,349.0,350.0,7.6144,5220.0,0.0,1.0
2005-01-21,349.0,350.0,349.0,350.0,7.6144,30.0,0.0,1.0
2005-01-24,349.99,349.99,340.0,349.89,7.612,130.0,0.0,1.0
2005-01-26,348.99,350.0,342.0,349.99,7.6141,1670.0,0.0,1.0
2005-01-27,339.0,346.0,338.0,338.0,7.3533,156.0,0.0,1.0
2005-01-28,354.99,360.0,340.0,359.97,7.8312,510.0,0.0,1.0
2005-01-31,359.97,359.97,359.97,359.97,7.8312,30.0,0.0,1.0
2005-02-01,349.0,350.0,345.0,345.0,7.5056,280.0,0.0,1.0
2005-02-02,350.0,355.0,350.0,355.0,7.7232,6022.0,0.0,1.0
2005-02-03,350.0,350.0,350.0,350.0,7.6144,800.0,0.0,1.0
2005-02-04,350.0,359.0,349.0,359.0,7.8102,1673.0,0.0,1.0
2005-02-09,359.0,360.0,359.0,360.0,7.8319,191.0,0.0,1.0
2005-02-10,358.99,369.0,358.99,365.0,7.9407,208.0,0.0,1.0
2005-02-11,365.0,368.0,365.0,367.95,8.0048,2000.0,0.0,1.0
2005-02-14,369.9,371.0,369.9,370.0,8.0495,1043.0,0.0,1.0
2005-02-15,370.0,375.0,370.0,375.0,8.1583,6502.0,0.0,1.0
2005-02-16,375.0,375.0,360.61,360.61,7.8452,7440.0,0.0,1.0
2005-02-17,375.0,375.0,370.0,370.0,8.0495,1400.0,0.0,1.0
2005-02-18,377.0,378.0,371.0,377.0,8.2017,2245.0,0.0,1.0
2005-02-21,375.0,377.0,370.0,370.0,8.0495,134.0,0.0,1.0
2005-02-22,369.99,370.74,368.0,369.5,8.0386,5476.0,0.0,1.0
2005-02-23,375.0,376.99,370.0,370.99,8.071,580.0,0.0,1.0
2005-02-24,374.0,374.0,368.0,368.5,8.0168,613.0,0.0,1.0
2005-02-25,375.0,380.0,372.0,372.0,8.093,1100.0,0.0,1.0
2005-02-28,370.0,370.0,370.0,370.0,8.0495,22.0,0.0,1.0
2005-03-01,370.0,370.0,365.0,365.0,7.9407,70.0,0.0,1.0
2005-03-02,359.99,359.99,349.0,349.0,7.5926,638.0,0.0,1.0
2005-03-03,355.0,368.0,355.0,365.0,7.9407,4390.0,0.0,1.0
2005-03-04,363.0,365.0,363.0,365.0,7.9407,195.0,0.0,1.0
2005-03-07,350.0,365.0,350.0,365.0,7.9407,911.0,0.0,1.0
2005-03-08,360.0,360.0,355.0,355.0,7.7232,4141.0,0.0,1.0
2005-03-09,364.99,370.0,350.0,350.0,7.6144,10658.0,0.0,1.0
2005-03-10,350.0,350.0,340.0,347.0,7.5491,1560.0,0.0,1.0
2005-03-11,355.0,355.0,350.0,355.0,7.7232,5750.0,0.0,1.0
2005-03-14,360.0,360.0,350.01,355.0,7.7232,3698.0,0.0,1.0
2005-03-15,355.0,359.0,355.0,359.0,7.8102,270.0,0.0,1.0
2005-03-16,360.0,360.0,360.0,360.0,7.8319,1505.0,0.0,1.0
2005-03-17,360.0,360.0,358.0,358.0,7.7884,20.0,0.0,1.0
2005-03-18,359.99,360.0,350.08,354.25,7.7069,180.0,0.0,1.0
