Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,32.52,33.44,32.5,33.0,4.4632,150523.0,0.0,1.0
2005-01-04,33.0,33.27,32.2,32.2,4.355,332154.0,0.0,1.0
2005-01-05,32.31,32.31,30.0,31.7,4.2874,256321.0,0.0,1.0
2005-01-06,31.69,31.7,30.05,31.3,4.2333,203688.0,0.0,1.0
2005-01-07,31.3,31.95,30.75,31.0,4.1927,76595.0,0.0,1.0
2005-01-10,31.03,31.03,30.05,30.2,4.0845,172320.0,0.0,1.0
2005-01-11,30.39,30.7,29.86,30.3,4.098,166366.0,0.0,1.0
2005-01-12,30.51,30.89,29.71,30.5,4.1251,95925.0,0.0,1.0
2005-01-13,30.61,31.25,30.31,30.46,4.1197,43719.0,0.0,1.0
2005-01-14,30.41,31.0,30.0,31.0,4.1927,128285.0,0.0,1.0
2005-01-17,30.85,31.33,30.6,30.9,4.1792,35188.0,0.0,1.0
2005-01-18,30.6,31.8,30.53,31.15,4.213,92493.0,0.0,1.0
2005-01-19,31.2,32.1,31.2,32.1,4.3415,127433.0,0.0,1.0
2005-01-20,32.1,32.1,30.6,31.1,4.2063,138563.0,0.0,1.0
2005-01-21,31.2,31.3,30.09,30.5,4.1251,143543.0,0.0,1.0
2005-01-24,30.5,31.6,30.4,31.3,4.2333,124630.0,0.0,1.0
2005-01-26,31.87,31.87,31.16,31.38,4.2441,46943.0,0.0,1.0
2005-01-27,31.16,31.16,30.4,30.8,4.1657,175682.0,0.0,1.0
2005-01-28,31.0,31.0,30.0,30.35,4.1048,198672.0,0.0,1.0
2005-01-31,30.8,30.98,30.36,30.9,4.1792,79048.0,0.0,1.0
2005-02-01,30.61,30.61,30.07,30.08,4.0683,247651.0,0.0,1.0
2005-02-02,30.2,31.7,30.15,31.7,4.2874,191888.0,0.0,1.0
2005-02-03,31.69,32.96,31.63,32.7,4.4226,638965.0,0.0,1.0
2005-02-04,32.51,34.25,32.51,34.21,4.6269,484818.0,0.0,1.0
2005-02-09,34.5,34.6,33.15,34.5,4.6661,142347.0,0.0,1.0
2005-02-10,34.0,34.4,33.7,34.4,4.6526,257710.0,0.0,1.0
2005-02-11,34.2,34.35,33.39,34.2,4.6255,171816.0,0.0,1.0
2005-02-14,34.18,34.18,33.33,33.5,4.5309,631025.0,0.0,1.0
2005-02-15,33.38,35.5,33.1,35.5,4.8013,394425.0,0.0,1.0
2005-02-16,35.71,35.82,34.8,35.01,4.7351,502453.0,0.0,1.0
2005-02-17,35.62,36.45,35.62,36.0,4.869,356498.0,0.0,1.0
2005-02-18,36.4,37.05,35.95,37.0,5.0042,302557.0,0.0,1.0
2005-02-21,37.0,37.05,35.61,35.61,4.8162,465604.0,0.0,1.0
2005-02-22,35.3,35.5,33.2,33.45,4.5596,631613.0,0.096,1.0
2005-02-23,33.9,34.15,32.12,32.12,4.3783,348658.0,0.0,1.0
2005-02-24,33.05,33.05,32.28,32.9,4.4846,693605.0,0.0,1.0
2005-02-25,33.1,33.7,32.1,32.11,4.3769,649588.0,0.0,1.0
2005-02-28,32.3,32.51,30.65,31.0,4.2256,507919.0,0.0,1.0
2005-03-01,31.0,31.74,30.4,30.51,4.1588,366161.0,0.0,1.0
2005-03-02,30.7,31.3,30.4,30.8,4.1984,384854.0,0.0,1.0
2005-03-03,31.25,31.5,30.82,31.07,4.2352,706412.0,0.0,1.0
2005-03-04,31.41,31.7,31.2,31.3,4.2665,440020.0,0.0,1.0
2005-03-07,31.9,32.76,31.8,32.76,4.4655,584096.0,0.0,1.0
2005-03-08,32.8,33.1,32.05,33.1,4.5119,214331.0,0.0,1.0
2005-03-09,33.0,34.29,32.3,32.3,4.4028,1003746.0,0.0,1.0
2005-03-10,32.8,33.4,32.2,33.0,4.4982,467023.0,0.0,1.0
2005-03-11,33.5,33.7,32.38,32.7,4.4573,270881.0,0.0,1.0
2005-03-14,32.68,32.68,31.61,32.15,4.3824,240356.0,0.0,1.0
2005-03-15,32.25,32.35,31.5,31.8,4.3347,169643.0,0.0,1.0
2005-03-16,31.7,31.7,30.9,31.4,4.2802,303014.0,0.0,1.0
2005-03-17,31.05,32.2,31.02,32.0,4.3619,244517.0,0.0,1.0
2005-03-18,31.99,32.1,31.45,31.9,4.3483,183422.0,0.0,1.0
2005-03-21,31.9,31.98,31.0,31.32,4.2692,174652.0,0.0,1.0
2005-03-22,31.5,31.85,30.2,30.6,4.1711,307315.0,0.0,1.0
2005-03-23,30.65,30.65,29.29,29.49,4.0198,392853.0,0.0,1.0
2005-03-24,30.17,30.4,29.1,29.7,4.0484,447909.0,0.0,1.0
2005-03-28,29.41,29.5,28.45,28.45,3.878,177551.0,0.0,1.0
2005-03-29,28.6,28.6,27.3,27.85,3.7962,610064.0,0.0,1.0
2005-03-30,27.79,28.79,27.61,28.79,3.9244,197449.0,0.0,1.0
2005-03-31,28.9,29.6,28.9,29.6,4.0348,266168.0,0.0,1.0
2005-04-01,29.89,30.1,29.02,29.75,4.0552,310236.0,0.0,1.0
2005-04-04,29.31,29.31,27.7,28.88,3.9367,136185.0,0.0,1.0
2005-04-05,29.3,29.3,27.75,28.19,3.8426,173302.0,0.0,1.0
2005-04-06,28.26,28.89,27.9,28.31,3.859,214668.0,0.0,1.0
2005-04-07,28.59,28.7,28.28,28.45,3.878,65315.0,0.0,1.0
2005-04-08,28.45,28.45,27.51,28.0,3.8167,107777.0,0.0,1.0
2005-04-11,28.0,28.3,27.06,27.2,3.7077,141436.0,0.0,1.0
2005-04-12,27.21,28.1,27.0,27.7,3.7758,481190.0,0.0,1.0
2005-04-13,28.0,29.05,27.45,28.0,3.8167,1361306.0,0.0,1.0
2005-04-14,28.3,28.5,26.8,27.51,3.7499,717286.0,0.0,1.0
2005-04-15,27.39,27.7,26.99,27.0,3.6804,136672.0,0.0,1.0
2005-04-18,27.0,28.0,26.8,28.0,3.8167,256679.0,0.0,1.0
2005-04-19,27.8,29.5,27.8,29.5,4.0211,1269242.0,0.0,1.0
2005-04-20,29.5,29.97,28.5,29.5,4.0211,423973.0,0.0,1.0
2005-04-22,29.65,30.27,29.2,29.9,4.0757,407964.0,0.0,1.0
2005-04-25,29.61,30.24,29.61,30.0,4.0893,244155.0,0.0,1.0
2005-04-26,29.91,30.25,29.82,30.0,4.0893,537039.0,0.0,1.0
2005-04-27,30.0,30.0,29.5,29.98,4.0866,235503.0,0.0,1.0
2005-04-28,29.9,29.99,29.01,29.15,3.9735,191933.0,0.0,1.0
2005-04-29,29.98,30.0,29.03,29.25,3.9871,432342.0,0.0,1.0
2005-05-02,29.5,29.59,29.02,29.2,3.9802,243869.0,0.0,1.0
2005-05-03,29.8,29.97,29.5,29.6,4.0348,209624.0,0.0,1.0
2005-05-04,29.97,31.2,29.8,31.13,4.2434,361595.0,0.0,1.0
2005-05-05,31.2,31.8,30.86,30.99,4.2243,164459.0,0.0,1.0
2005-05-06,31.19,31.3,30.48,30.71,4.1861,489207.0,0.0,1.0
2005-05-09,30.69,30.98,30.07,30.2,4.1166,182132.0,0.0,1.0
2005-05-10,30.49,30.49,29.25,29.5,4.0211,288837.0,0.0,1.0
2005-05-11,29.55,29.8,28.71,29.8,4.062,390485.0,0.0,1.0
2005-05-12,29.8,30.15,29.3,29.9,4.0757,135901.0,0.0,1.0
2005-05-13,29.95,30.0,29.13,29.75,4.0552,222687.0,0.0,1.0
2005-05-16,29.99,30.5,29.85,30.24,4.122,316842.0,0.0,1.0
2005-05-17,30.0,30.25,29.8,30.15,4.1098,125524.0,0.0,1.0
2005-05-18,30.0,30.5,30.0,30.2,4.1166,326415.0,0.0,1.0
2005-05-19,30.25,30.29,29.7,30.25,4.1234,655529.0,0.0,1.0
2005-05-20,29.9,30.24,29.5,30.01,4.0907,140149.0,0.0,1.0
2005-05-23,29.7,30.39,29.67,30.05,4.0961,172268.0,0.0,1.0
2005-05-24,29.94,30.25,29.54,30.25,4.1234,161765.0,0.0,1.0
2005-05-25,30.0,30.39,29.8,30.2,4.1166,173795.0,0.0,1.0
2005-05-27,30.39,31.0,30.39,30.99,4.2243,320544.0,0.0,1.0
2005-05-30,31.0,31.19,30.8,30.9,4.212,103745.0,0.0,1.0
2005-05-31,30.67,31.18,30.67,30.7,4.1847,166578.0,0.0,1.0
2005-06-01,30.9,31.4,30.54,30.9,4.212,239962.0,0.0,1.0
2005-06-02,31.15,31.7,30.9,31.5,4.2938,335381.0,0.0,1.0
2005-06-03,31.5,32.49,31.5,32.2,4.3892,354627.0,0.0,1.0
2005-06-06,30.51,32.09,30.51,31.05,4.2324,399843.0,0.0,1.0
2005-06-07,30.99,30.99,30.25,30.39,4.1425,322308.0,0.0,1.0
2005-06-08,31.0,31.0,28.51,29.6,4.0348,354922.0,0.0,1.0
2005-06-09,29.3,29.7,28.7,28.9,3.9394,158812.0,0.0,1.0
2005-06-10,29.1,29.59,29.1,29.25,3.9871,67673.0,0.0,1.0
2005-06-13,29.59,29.68,28.6,28.85,3.9326,133356.0,0.0,1.0
2005-06-14,29.0,30.74,28.0,30.74,4.1902,469217.0,0.0,1.0
2005-06-15,30.24,30.45,29.01,30.45,4.1506,301074.0,0.0,1.0
2005-06-16,30.45,31.1,30.45,31.1,4.2393,121567.0,0.0,1.0
2005-06-17,30.62,32.4,30.62,32.28,4.4001,695005.0,0.0,1.0
2005-06-20,32.05,32.79,31.99,32.41,4.4178,345237.0,0.0,1.0
2005-06-21,32.4,32.99,31.21,32.0,4.3619,234775.0,0.0,1.0
2005-06-22,32.0,32.0,31.0,31.54,4.2992,255337.0,0.0,1.0
2005-06-23,31.39,31.39,30.15,30.9,4.212,188674.0,0.0,1.0
2005-06-24,30.5,31.15,30.31,31.15,4.2461,115794.0,0.0,1.0
2005-06-27,30.21,31.15,30.21,30.91,4.2133,101329.0,0.0,1.0
2005-06-28,31.0,31.09,30.5,30.8,4.1984,209236.0,0.0,1.0
2005-06-29,31.09,31.14,30.0,30.9,4.212,387687.0,0.0,1.0
2005-06-30,30.3,32.39,30.3,31.65,4.3142,292438.0,0.0,1.0
2005-07-01,31.65,31.9,31.5,31.7,4.3211,134694.0,0.0,1.0
2005-07-04,31.5,31.5,30.23,30.7,4.1847,148363.0,0.0,1.0
2005-07-05,30.5,30.8,29.71,30.0,4.0893,237158.0,0.0,1.0
2005-07-06,30.0,30.0,29.2,29.55,4.028,197616.0,0.0,1.0
2005-07-07,29.0,29.4,29.0,29.05,3.9598,156405.0,0.0,1.0
