Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2018-05-11,18.75,18.77,18.1,18.4,0.9498,562000.0,0.0,1.0
2018-05-14,18.54,18.65,18.0,18.45,0.9524,504100.0,0.0,1.0
2018-05-15,18.4,18.6,18.1,18.28,0.9436,420700.0,0.0,1.0
2018-05-16,18.31,18.49,18.3,18.4,0.9498,128800.0,0.0,1.0
2018-05-17,18.4,18.42,18.3,18.39,0.9493,68400.0,0.0,1.0
2018-05-18,18.4,18.49,18.0,18.45,0.9524,227000.0,0.0,1.0
2018-05-21,18.44,18.44,18.0,18.1,0.9343,2631000.0,0.0,1.0
2018-05-22,18.3,18.6,18.26,18.5,0.955,776900.0,0.0,1.0
2018-05-23,18.5,19.0,18.31,18.97,0.9792,238400.0,0.0,1.0
2018-05-24,18.98,19.0,18.42,18.42,0.9508,416900.0,0.0,1.0
2018-05-25,18.5,18.7,17.85,18.4,0.9498,379200.0,0.0,1.0
2018-05-28,18.4,18.58,17.8,18.05,0.9317,406800.0,0.0,1.0
2018-05-29,18.12,18.45,17.98,18.35,0.9472,382200.0,0.0,1.0
2018-05-30,18.35,18.48,17.5,17.5,0.9033,166300.0,0.0,1.0
2018-06-01,17.6,18.2,16.3,17.2,0.8879,239000.0,0.0,1.0
2018-06-04,17.36,17.8,17.02,17.25,0.8904,283600.0,0.0,1.0
2018-06-05,17.29,17.59,16.11,16.29,0.8409,854700.0,0.0,1.0
2018-06-06,16.33,16.7,15.5,15.6,0.8053,92500.0,0.0,1.0
2018-06-07,15.5,15.5,13.66,14.5,0.7485,220700.0,0.0,1.0
2018-06-08,14.82,15.38,14.4,14.9,0.7691,128900.0,0.0,1.0
2018-06-11,15.34,16.0,14.9,15.5,0.8001,151100.0,0.0,1.0
2018-06-12,15.68,16.29,15.63,16.0,0.8259,112300.0,0.0,1.0
2018-06-13,16.0,16.27,15.07,15.7,0.8104,99900.0,0.0,1.0
2018-06-14,15.5,16.01,15.5,15.55,0.8027,83900.0,0.0,1.0
2018-06-15,15.71,15.81,15.2,15.3,0.7898,351200.0,0.0,1.0
2018-06-18,15.23,15.47,15.0,15.0,0.7742,44000.0,0.0,1.0
2018-06-19,15.0,15.05,14.64,14.79,0.7635,254500.0,0.0,1.0
2018-06-20,14.46,15.05,14.33,14.33,0.7397,142500.0,0.0,1.0
