Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2017-02-16,18.0,18.0,17.5,17.5,2.0909,7700.0,0.0,1.0
2017-02-17,18.0,18.0,18.0,18.0,2.1507,5000.0,0.0,1.0
2017-02-24,18.2,18.2,18.2,18.2,2.1746,1300.0,0.0,1.0
2017-03-01,18.2,18.2,17.95,17.95,2.1447,4300.0,0.0,1.0
2017-03-03,19.0,19.0,18.5,18.75,2.2403,1800.0,0.0,1.0
2017-03-06,18.8,19.5,18.5,19.2,2.294,5700.0,0.0,1.0
2017-03-07,18.1,19.0,18.1,18.38,2.1961,3400.0,0.0,1.0
2017-03-08,18.22,19.0,17.86,18.5,2.2104,4100.0,0.0,1.0
2017-03-09,17.9,19.0,17.63,18.99,2.2689,1700.0,0.0,1.0
2017-03-10,18.1,18.98,18.0,18.69,2.2331,6500.0,0.0,1.0
2017-03-13,18.4,18.4,18.4,18.4,2.1984,600.0,0.0,1.0
2017-03-14,18.79,19.0,18.5,18.59,2.2211,900.0,0.0,1.0
2017-03-15,18.5,18.68,18.5,18.68,2.2319,1600.0,0.0,1.0
2017-03-16,18.5,18.99,18.5,18.6,2.2223,800.0,0.0,1.0
2017-03-17,18.5,18.9,18.5,18.6,2.2223,1100.0,0.0,1.0
2017-03-20,18.3,18.3,17.5,17.5,2.0909,2000.0,0.0,1.0
2017-03-21,17.5,17.5,17.01,17.01,2.0324,2500.0,0.0,1.0
2017-03-22,17.8,18.6,17.8,18.59,2.2211,155800.0,0.0,1.0
2017-03-23,18.18,18.57,17.9,17.9,2.1387,3000.0,0.0,1.0
2017-03-24,17.92,18.29,17.84,17.86,2.1339,11700.0,0.0,1.0
2017-03-27,17.9,17.9,17.8,17.8,2.1268,400.0,0.0,1.0
2017-03-28,17.95,18.7,17.95,18.7,2.2343,15300.0,0.0,1.0
2017-03-29,18.78,19.0,18.63,18.79,2.245,21300.0,0.0,1.0
2017-03-30,18.75,19.05,18.5,18.9,2.2582,87300.0,0.0,1.0
2017-03-31,18.78,19.07,18.78,19.0,2.2701,97600.0,0.0,1.0
2017-04-03,18.9,19.25,18.7,19.25,2.3,26300.0,0.0,1.0
2017-04-04,18.9,19.89,18.9,19.89,2.3765,6000.0,0.0,1.0
2017-04-05,19.23,19.84,19.23,19.58,2.3394,4500.0,0.0,1.0
2017-04-06,19.06,19.16,18.5,18.5,2.2104,18500.0,0.0,1.0
2017-04-07,18.88,19.05,18.85,19.05,2.2761,2300.0,0.0,1.0
2017-04-10,18.71,19.25,18.69,18.99,2.2689,4900.0,0.0,1.0
2017-04-11,19.0,19.0,18.52,18.72,2.2367,2900.0,0.0,1.0
2017-04-12,18.5,19.09,18.5,19.09,2.2809,6900.0,0.0,1.0
2017-04-13,18.61,18.61,18.1,18.41,2.1996,9886100.0,0.0,1.0
2017-04-17,17.41,18.6,17.41,18.4,2.1984,1002000.0,0.0,1.0
2017-04-18,18.4,18.4,17.9,18.0,2.1507,751100.0,0.0,1.0
2017-04-19,17.61,18.4,17.0,17.49,2.0897,1728500.0,0.0,1.0
2017-04-20,17.08,17.95,17.08,17.5,2.0909,639600.0,0.0,1.0
2017-04-24,18.01,18.01,17.8,17.8,2.1268,2000400.0,0.0,1.0
2017-04-26,18.0,18.0,18.0,18.0,2.1507,100.0,0.0,1.0
2017-05-02,18.0,18.3,17.7,18.3,2.1865,12900.0,0.0,1.0
2017-05-03,18.6,19.0,18.25,19.0,2.2701,1510100.0,0.0,1.0
2017-05-04,18.69,18.69,18.2,18.54,2.2152,1511900.0,0.0,1.0
2017-05-05,18.5,18.6,18.3,18.6,2.2223,2800.0,0.0,1.0
2017-05-08,18.0,18.6,18.0,18.6,2.2223,400.0,0.0,1.0
2017-05-09,18.6,18.75,18.32,18.75,2.2403,5300.0,0.0,1.0
2017-05-10,18.75,19.35,18.75,18.75,2.2403,1550800.0,0.0,1.0
2017-05-11,18.75,18.99,18.75,18.99,2.2689,2800.0,0.0,1.0
2017-05-12,19.0,19.0,18.17,19.0,2.2701,400.0,0.0,1.0
2017-05-16,18.8,18.8,18.8,18.8,2.2462,100.0,0.0,1.0
2017-05-17,18.6,18.8,18.4,18.8,2.2462,11300.0,0.0,1.0
2017-05-18,18.08,18.08,16.31,16.76,2.0025,131800.0,0.0,1.0
2017-05-19,17.56,17.56,17.2,17.35,2.073,3600.0,0.0,1.0
2017-05-22,16.3,16.8,16.3,16.8,2.0073,7500.0,0.0,1.0
2017-05-23,16.8,17.1,16.33,16.33,1.9511,4300.0,0.0,1.0
2017-05-24,16.8,17.25,15.75,15.75,1.8818,1742100.0,0.0,1.0
2017-05-25,16.2,16.2,15.76,15.76,1.883,2000.0,0.0,1.0
2017-05-26,15.71,15.71,15.71,15.71,1.877,200.0,0.0,1.0
2017-05-29,16.0,16.0,15.5,15.5,1.852,200.0,0.0,1.0
2017-05-30,15.5,15.5,15.0,15.25,1.8221,28600.0,0.0,1.0
2017-05-31,15.19,15.22,14.15,14.15,1.6907,10800.0,0.0,1.0
2017-06-01,14.16,14.16,14.0,14.0,1.6727,2010000.0,0.0,1.0
2017-06-02,14.0,14.0,14.0,14.0,1.6727,1000000.0,0.0,1.0
2017-06-05,14.6,14.6,14.0,14.0,1.6727,700.0,0.0,1.0
2017-06-06,14.22,14.22,14.22,14.22,1.699,100.0,0.0,1.0
2017-06-08,13.98,13.98,13.75,13.75,1.6429,200.0,0.0,1.0
2017-06-13,13.45,13.45,13.45,13.45,1.607,200.0,0.0,1.0
2017-06-14,13.97,14.07,13.51,13.51,1.6142,14900.0,0.0,1.0
2017-06-20,13.66,13.94,13.5,13.9,1.6608,10100.0,0.0,1.0
2017-06-21,13.5,13.5,13.5,13.5,1.613,600.0,0.0,1.0
2017-06-22,12.6,12.6,12.6,12.6,1.5055,200.0,0.0,1.0
2017-06-23,13.41,13.5,13.41,13.45,1.607,1500.0,0.0,1.0
2017-06-26,13.4,13.95,13.4,13.95,1.6668,2400.0,0.0,1.0
2017-06-27,13.95,13.99,13.66,13.66,1.6321,7000.0,0.0,1.0
2017-06-28,13.99,13.99,13.99,13.99,1.6715,2400.0,0.0,1.0
2017-06-29,13.8,14.0,13.8,14.0,1.6727,1600.0,0.0,1.0
2017-06-30,14.47,14.47,14.1,14.45,1.7265,3400.0,0.0,1.0
2017-07-04,15.0,15.0,15.0,15.0,1.7922,100.0,0.0,1.0
2017-07-05,15.5,15.65,15.5,15.65,1.8699,78000.0,0.0,1.0
2017-07-06,15.1,15.1,14.61,14.61,2.1174,3100.0,0.687,1.0
2017-07-07,14.7,14.7,14.7,14.7,2.1305,100.0,0.0,1.0
2017-07-12,15.28,15.28,15.28,15.28,2.2145,100.0,0.0,1.0
2017-07-17,15.83,15.83,15.3,15.3,2.2174,200.0,0.0,1.0
2017-07-18,16.5,16.5,15.84,15.9,2.3044,49500.0,0.0,1.0
2017-07-19,15.85,16.1,15.6,15.6,2.2609,134700.0,0.0,1.0
2017-07-20,15.7,15.71,15.55,15.55,2.2536,66200.0,0.0,1.0
2017-07-21,15.53,15.53,15.25,15.5,2.2464,229900.0,0.0,1.0
2017-07-24,15.5,15.5,15.5,15.5,2.2464,100.0,0.0,1.0
2017-07-25,15.31,15.48,15.2,15.2,2.2029,30400.0,0.0,1.0
2017-07-27,15.2,15.2,15.2,15.2,2.2029,27600.0,0.0,1.0
2017-07-28,15.2,15.2,15.2,15.2,2.2029,100000.0,0.0,1.0
2017-08-02,15.0,15.15,14.65,15.01,2.1754,123600.0,0.0,1.0
2017-08-03,15.25,15.25,15.0,15.12,2.1913,1008400.0,0.0,1.0
2017-08-04,15.21,15.21,15.21,15.21,2.2044,1664200.0,0.0,1.0
2017-08-07,15.38,15.4,15.36,15.36,2.2261,263900.0,0.0,1.0
2017-08-08,15.46,15.47,15.39,15.47,2.242,500200.0,0.0,1.0
2017-08-09,15.14,15.18,15.02,15.05,2.1812,4600.0,0.0,1.0
2017-08-10,14.93,14.93,14.72,14.76,2.1391,5000.0,0.0,1.0
2017-08-11,14.61,14.7,14.07,14.7,2.1305,9700.0,0.0,1.0
2017-08-14,14.28,14.53,14.07,14.49,2.1,30500.0,0.0,1.0
