Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2007-11-21,9.93,9.99,9.48,9.48,7.8789,4476146.0,0.0,1.0
2007-11-22,9.52,9.75,9.5,9.5,7.8955,745967.0,0.0,1.0
2007-11-23,9.58,9.7,9.58,9.58,7.9621,1035716.0,0.0,1.0
2007-11-26,9.4,9.6,9.2,9.2,7.6461,1308564.0,0.0,1.0
2007-11-27,9.31,9.31,9.31,9.31,7.7376,1152836.0,0.0,1.0
2007-11-28,9.55,9.68,9.55,9.55,7.9371,911373.0,0.0,1.0
2007-11-29,9.49,9.6,9.35,9.35,7.7709,608669.0,0.0,1.0
2007-11-30,9.3,9.45,9.3,9.3,7.7294,815010.0,0.0,1.0
2007-12-03,9.39,9.39,9.39,9.39,7.8041,225520.0,0.0,1.0
2007-12-04,9.4,9.4,9.4,9.4,7.8125,731821.0,0.0,1.0
2007-12-05,9.8,9.97,9.8,9.8,8.1449,2636777.0,0.0,1.0
2007-12-06,10.05,10.1,10.05,10.05,8.3527,827629.0,0.0,1.0
2007-12-07,10.0,10.29,9.95,9.95,8.2695,835674.0,0.0,1.0
2007-12-10,9.9,9.99,9.81,9.81,8.1532,214084.0,0.0,1.0
2007-12-11,9.94,10.0,9.94,9.94,8.2612,1019128.0,0.0,1.0
2007-12-12,9.81,9.95,9.6,9.6,7.9786,1160893.0,0.0,1.0
2007-12-13,9.59,9.6,9.59,9.59,7.9703,1438421.0,0.0,1.0
2007-12-14,9.75,9.8,9.75,9.75,8.1034,291135.0,0.0,1.0
2007-12-17,9.8,9.8,9.8,9.8,8.1449,693524.0,0.0,1.0
2007-12-18,9.99,9.99,9.99,9.99,8.3027,1998557.0,0.0,1.0
2007-12-19,9.7,9.9,9.59,9.59,7.9703,92244.0,0.0,1.0
2007-12-20,9.52,9.7,9.5,9.5,7.8955,30061.0,0.0,1.0
2007-12-21,9.46,9.6,9.41,9.41,7.8208,241114.0,0.0,1.0
2007-12-26,9.46,9.5,9.35,9.35,7.7709,79999.0,0.0,1.0
2007-12-27,9.32,9.45,9.15,9.15,7.6046,165480.0,0.0,1.0
2007-12-28,9.1,9.17,8.9,8.9,7.3969,363229.0,0.0,1.0
2008-01-02,9.0,9.15,8.75,8.75,7.3054,137031.0,0.0386,1.0
2008-01-03,8.9,8.9,8.15,8.15,6.8045,383058.0,0.0,1.0
2008-01-04,8.33,8.33,7.4,7.4,6.1784,1823237.0,0.0,1.0
2008-01-07,7.5,7.7,7.5,7.5,6.2618,2191014.0,0.0,1.0
2008-01-08,7.55,7.62,7.3,7.3,6.0948,790194.0,0.0,1.0
2008-01-09,7.32,7.45,7.32,7.32,6.1115,661950.0,0.0,1.0
2008-01-10,8.42,8.45,8.42,8.42,7.0299,1039293.0,0.0,1.0
2008-01-11,9.09,9.2,9.09,9.09,7.5893,1092672.0,0.0,1.0
2008-01-14,9.0,9.0,8.9,8.9,7.4307,475217.0,0.0,1.0
2008-01-15,8.8,8.8,8.8,8.8,7.3472,246430.0,0.0,1.0
2008-01-16,8.8,8.85,8.8,8.8,7.3472,767241.0,0.0,1.0
2008-01-17,8.73,8.81,8.73,8.73,7.2888,806025.0,0.0,1.0
2008-01-18,9.08,9.08,9.08,9.08,7.581,605571.0,0.0,1.0
2008-01-21,8.5,8.5,8.29,8.29,6.9214,138661.0,0.0,1.0
2008-01-22,8.4,8.4,8.4,8.4,7.0132,74578.0,0.0,1.0
2008-01-23,8.45,8.45,8.45,8.45,7.0549,452047.0,0.0,1.0
2008-01-24,8.6,8.8,8.6,8.6,7.1802,331180.0,0.0,1.0
2008-01-28,8.35,8.52,8.27,8.27,6.9046,69978.0,0.0,1.0
2008-01-29,8.4,8.49,8.4,8.4,7.0132,588706.0,0.0,1.0
2008-01-30,8.5,8.52,8.5,8.5,7.0967,498721.0,0.0,1.0
2008-01-31,8.45,8.5,8.45,8.45,7.0549,168600.0,0.0,1.0
2008-02-01,8.56,8.65,8.56,8.56,7.1468,299513.0,0.0,1.0
2008-02-06,8.49,8.49,8.0,8.0,6.6792,317549.0,0.0,1.0
2008-02-07,7.95,8.11,7.95,7.95,6.6375,68809.0,0.0,1.0
