Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-11-18,53.0,55.9,53.0,55.6,3.3695,6623164.0,0.0,1.0
2005-11-21,55.7,57.28,53.5,56.0,3.3938,1268669.0,0.0,1.0
2005-11-22,55.69,56.6,54.18,56.6,3.4302,720313.0,0.0,1.0
2005-11-23,56.71,57.99,56.03,56.46,3.4217,603855.0,0.0,1.0
2005-11-24,56.51,57.99,56.5,57.67,3.495,638930.0,0.0,1.0
2005-11-25,57.9,61.35,56.95,61.2,3.7089,990073.0,0.0,1.0
2005-11-28,61.31,62.29,58.03,58.5,3.5453,261010.0,0.0,1.0
2005-11-29,59.08,59.51,57.01,57.4,3.4786,321991.0,0.0,1.0
2005-11-30,57.21,58.84,56.5,58.34,3.5356,337421.0,0.0,1.0
2005-12-01,58.3,62.51,57.66,61.7,3.7392,676666.0,0.0,1.0
2005-12-02,61.8,66.5,61.77,65.97,3.998,624366.0,0.0,1.0
2005-12-05,65.0,65.69,63.56,65.6,3.9756,143459.0,0.0,1.0
2005-12-06,66.5,69.5,64.4,68.48,4.1501,572322.0,0.0,1.0
2005-12-07,68.48,69.8,67.0,67.0,4.0604,265801.0,0.0,1.0
2005-12-08,67.4,67.7,64.1,64.75,3.924,234109.0,0.0,1.0
2005-12-09,64.75,65.3,63.85,63.85,3.8695,128451.0,0.0,1.0
2005-12-12,64.69,65.3,63.86,65.24,3.9538,152942.0,0.0,1.0
2005-12-13,65.5,68.5,65.03,68.5,4.1513,632340.0,0.0,1.0
2005-12-14,68.01,70.0,66.0,68.5,4.1513,239550.0,0.0,1.0
2005-12-15,67.56,68.0,66.0,67.3,4.0786,182257.0,0.0,1.0
2005-12-16,66.15,66.45,63.1,64.5,3.9089,451867.0,0.0,1.0
2005-12-19,64.21,67.0,64.21,67.0,4.0604,284881.0,0.0,1.0
2005-12-20,67.5,68.1,66.5,67.6,4.0968,375093.0,0.0,1.0
2005-12-21,67.6,69.3,67.6,69.15,4.1907,249831.0,0.0,1.0
2005-12-22,68.9,68.9,66.6,66.7,4.0422,84434.0,0.0,1.0
2005-12-23,66.2,67.99,65.75,67.99,4.1204,56954.0,0.0,1.0
2005-12-26,67.42,67.77,67.1,67.75,4.1059,13356.0,0.0,1.0
2005-12-27,68.0,68.89,67.7,68.8,4.1695,33607.0,0.0,1.0
2005-12-28,67.8,68.59,66.49,67.6,4.0968,131088.0,0.0,1.0
2005-12-29,67.99,68.13,67.5,68.13,4.1289,57456.0,0.0,1.0
2006-01-02,67.5,68.0,66.52,68.0,4.1211,18572.0,0.0,1.0
2006-01-03,68.0,71.78,68.0,70.2,4.2544,206749.0,0.0,1.0
2006-01-04,70.5,76.5,70.5,75.5,4.5756,315607.0,0.0,1.0
2006-01-05,75.99,83.8,75.99,81.0,4.9089,784143.0,0.0,1.0
