Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,0.0098,0.0099,0.0093,0.0093,2.913,53375.0,0.0,1.0
2005-01-04,0.0093,0.0095,0.009,0.009,2.8529,59875.0,0.0,1.0
2005-01-05,0.009,0.009,0.0088,0.0089,2.8023,78875.0,0.0,1.0
2005-01-06,0.0089,0.009,0.0085,0.0085,2.6885,108875.0,0.0,1.0
2005-01-07,0.0085,0.0089,0.0085,0.0085,2.7074,34375.0,0.0,1.0
2005-01-10,0.0086,0.0086,0.0081,0.0081,2.5841,163875.0,0.0,1.0
2005-01-11,0.0083,0.0088,0.0079,0.0085,2.7043,60500.0,0.0,1.0
2005-01-12,0.0086,0.0089,0.0084,0.0086,2.7106,68000.0,0.0,1.0
2005-01-13,0.0086,0.0086,0.0083,0.0083,2.5936,19375.0,0.0,1.0
2005-01-14,0.0083,0.0086,0.0083,0.0084,2.6663,59250.0,0.0,1.0
2005-01-17,0.0085,0.0086,0.0083,0.0084,2.6442,10250.0,0.0,1.0
2005-01-18,0.0084,0.0084,0.008,0.008,2.5335,49375.0,0.0,1.0
2005-01-19,0.008,0.0084,0.008,0.0081,2.5525,41125.0,0.0,1.0
2005-01-20,0.0081,0.0081,0.0079,0.0079,2.4987,69500.0,0.0,1.0
2005-01-21,0.0079,0.0083,0.0079,0.0079,2.4924,33500.0,0.0,1.0
2005-01-24,0.0079,0.0084,0.0079,0.0083,2.6094,17625.0,0.0,1.0
2005-01-26,0.0083,0.0084,0.0081,0.0081,2.562,23750.0,0.0,1.0
2005-01-27,0.0083,0.0083,0.0075,0.0076,2.4165,103625.0,0.0,1.0
2005-01-28,0.0078,0.0078,0.0073,0.0074,2.3184,75125.0,0.0,1.0
2005-01-31,0.0075,0.008,0.0075,0.008,2.5145,71375.0,0.0,1.0
2005-02-01,0.0081,0.0081,0.0078,0.008,2.5335,75750.0,0.0,1.0
2005-02-02,0.0079,0.0084,0.0079,0.0084,2.6537,101625.0,0.0,1.0
2005-02-03,0.0084,0.0088,0.0083,0.0086,2.7359,69875.0,0.0,1.0
2005-02-04,0.0088,0.0093,0.0088,0.0093,2.9099,65000.0,0.0,1.0
2005-02-09,0.0093,0.0093,0.0088,0.0089,2.7897,18125.0,0.0,1.0
2005-02-10,0.0089,0.0091,0.0086,0.0091,2.8877,59625.0,0.0,1.0
2005-02-11,0.009,0.0091,0.0089,0.009,2.8308,71250.0,0.0,1.0
2005-02-14,0.0089,0.009,0.0089,0.0089,2.815,66625.0,0.0,1.0
2005-02-15,0.0089,0.0091,0.0088,0.0091,2.8719,12250.0,0.0,1.0
2005-02-16,0.0088,0.0091,0.0088,0.0088,2.7834,161000.0,0.0,1.0
2005-02-17,0.0091,0.0093,0.009,0.0091,2.9035,56000.0,0.0,1.0
2005-02-18,0.009,0.0091,0.0089,0.009,2.8466,67000.0,0.0,1.0
2005-02-21,0.0089,0.0091,0.0089,0.0089,2.815,31625.0,0.0,1.0
2005-02-22,0.0089,0.0093,0.0086,0.0086,2.7233,107875.0,0.0,1.0
2005-02-23,0.009,0.009,0.0088,0.0088,2.7707,76250.0,0.0,1.0
2005-02-24,0.009,0.0093,0.0089,0.0093,2.9099,57375.0,0.0,1.0
2005-02-25,0.0093,0.0093,0.009,0.009,2.8498,30625.0,0.0,1.0
2005-02-28,0.0093,0.0093,0.0089,0.009,2.8529,39500.0,0.0,1.0
2005-03-01,0.0089,0.0091,0.0089,0.009,2.8308,23250.0,0.0,1.0
2005-03-02,0.009,0.0091,0.0088,0.0091,2.8941,42500.0,0.0,1.0
2005-03-03,0.0093,0.0093,0.009,0.0093,2.913,29875.0,0.0,1.0
2005-03-04,0.0091,0.0093,0.0091,0.0093,2.932,32500.0,0.0,1.0
2005-03-07,0.0093,0.0094,0.0091,0.0094,2.9542,89625.0,0.0,1.0
2005-03-08,0.0094,0.0105,0.0094,0.01,3.1566,86500.0,0.0,1.0
2005-03-09,0.01,0.0104,0.0093,0.0093,2.9447,77625.0,0.0,1.0
2005-03-10,0.0094,0.0098,0.0094,0.0094,2.9763,34500.0,0.0,1.0
2005-03-11,0.0095,0.0099,0.0094,0.0094,2.9573,32500.0,0.0,1.0
2005-03-14,0.0093,0.01,0.0091,0.01,3.1503,90375.0,0.0,1.0
2005-03-15,0.0099,0.0099,0.0094,0.0099,3.1376,64875.0,0.0,1.0
2005-03-16,0.0095,0.0106,0.0095,0.0104,3.2926,75125.0,0.0,1.0
2005-03-17,0.0104,0.0105,0.01,0.0104,3.2768,48750.0,0.0,1.0
2005-03-18,0.0101,0.0105,0.0101,0.0105,3.3369,54250.0,0.0,1.0
2005-03-21,0.0105,0.011,0.0104,0.011,3.4634,49375.0,0.0,1.0
2005-03-22,0.0106,0.011,0.0103,0.0109,3.4476,27250.0,0.0,1.0
2005-03-23,0.0105,0.0108,0.0101,0.0108,3.4159,43500.0,0.0,1.0
2005-03-24,0.0108,0.011,0.0103,0.011,3.4602,33875.0,0.0,1.0
2005-03-28,0.0106,0.0109,0.0106,0.0108,3.4159,16875.0,0.0,1.0
2005-03-29,0.0109,0.011,0.0108,0.011,3.4729,43250.0,0.0,1.0
2005-03-30,0.011,0.0118,0.011,0.0115,3.6373,54375.0,0.0,1.0
2005-03-31,0.0119,0.012,0.0115,0.012,3.7892,34500.0,0.0,1.0
2005-04-01,0.012,0.012,0.011,0.0114,3.5867,52125.0,0.0,1.0
2005-04-04,0.0114,0.0114,0.0104,0.0109,3.4444,54875.0,0.0,1.0
2005-04-05,0.011,0.0114,0.0109,0.0114,3.5867,15875.0,0.0,1.0
2005-04-06,0.0114,0.0115,0.0108,0.0113,3.5551,14125.0,0.0,1.0
2005-04-07,0.0115,0.0119,0.0111,0.0119,3.7733,44000.0,0.0,1.0
2005-04-08,0.011,0.0111,0.0109,0.011,3.476,8125.0,0.0,1.0
2005-04-11,0.0105,0.0114,0.0105,0.0114,3.612,62000.0,0.0,1.0
2005-04-12,0.0114,0.012,0.0111,0.012,3.7828,58750.0,0.0,1.0
2005-04-13,0.0114,0.0133,0.0114,0.0123,3.8777,205000.0,0.0,1.0
2005-04-14,0.0123,0.0123,0.0115,0.0118,3.7133,33500.0,0.0,1.0
2005-04-15,0.0118,0.0118,0.0115,0.0116,3.6848,288875.0,0.0,1.0
2005-04-18,0.0118,0.0124,0.0115,0.012,3.7797,90625.0,0.0,1.0
2005-04-19,0.0121,0.0121,0.0119,0.012,3.7923,104875.0,0.0,1.0
2005-04-20,0.0121,0.0121,0.0119,0.012,3.7892,70125.0,0.0,1.0
2005-04-22,0.0121,0.0121,0.0118,0.0118,3.7322,36000.0,0.0,1.0
2005-04-25,0.012,0.0121,0.012,0.012,3.7955,80375.0,0.0,1.0
2005-04-26,0.012,0.0121,0.0118,0.0118,3.7164,159875.0,0.0,1.0
2005-04-27,0.0114,0.012,0.0113,0.012,3.7892,23750.0,0.0,1.0
2005-04-28,0.012,0.012,0.0116,0.0118,3.7196,40750.0,0.0,1.0
2005-04-29,0.012,0.012,0.0115,0.012,3.7955,205.0,0.0,1.0
2005-05-02,0.0115,0.012,0.0115,0.0118,3.7006,50750.0,0.0,1.0
2005-05-03,0.0114,0.0118,0.0114,0.0115,3.65,24750.0,0.0,1.0
2005-05-04,0.012,0.013,0.0119,0.0119,3.7639,69375.0,0.0,1.0
2005-05-05,0.0119,0.012,0.0115,0.0119,3.7575,30000.0,0.0,1.0
2005-05-06,0.0121,0.0121,0.0119,0.012,3.7955,19500.0,0.0,1.0
