Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2008-04-07,17.85,18.25,17.5,17.7,2.2616,133300.0,0.0,1.0
2008-04-08,17.4,18.1,17.4,18.0,2.2999,176705.0,0.0,1.0
2008-04-09,18.0,18.0,17.5,18.0,2.2999,160400.0,0.0,1.0
2008-04-10,17.81,18.44,17.81,18.44,2.3561,168564.0,0.0,1.0
2008-04-11,18.44,18.79,18.35,18.5,2.3638,260585.0,0.0,1.0
2008-04-14,18.5,18.5,17.4,17.6,2.2488,134366.0,0.0,1.0
2008-04-15,17.9,18.3,17.76,17.8,2.2744,64765.0,0.0,1.0
2008-04-16,18.29,18.35,17.99,18.19,2.3242,103355.0,0.0,1.0
2008-04-17,18.2,19.7,18.17,19.7,2.5171,171064.0,0.0,1.0
2008-04-18,19.1,19.18,18.61,19.0,2.5966,192133.0,0.2563,1.0
2008-04-22,17.69,17.69,16.24,16.7,2.2823,218404.0,0.0,1.0
2008-04-23,17.0,17.0,16.3,16.3,2.2276,305498.0,0.0,1.0
2008-04-24,16.5,16.84,16.05,16.05,2.1934,27225.0,0.0,1.0
2008-04-25,16.25,16.3,15.9,16.0,2.1866,217814.0,0.0,1.0
2008-04-28,16.15,16.45,15.92,16.05,2.1934,101100.0,0.0,1.0
2008-04-29,16.01,16.26,15.96,16.26,2.2221,261818.0,0.0,1.0
2008-04-30,16.26,17.4,15.97,17.4,2.3779,320799.0,0.0,1.0
2008-05-02,17.3,17.44,16.7,17.25,2.3574,227914.0,0.0,1.0
2008-05-05,17.36,18.0,17.19,18.0,2.4599,240075.0,0.0,1.0
2008-05-06,17.8,17.8,17.41,17.6,2.4053,158444.0,0.0,1.0
2008-05-07,17.8,17.8,16.95,16.95,2.3164,354665.0,0.0,1.0
2008-05-08,17.29,17.29,17.0,17.1,2.3369,57020.0,0.0,1.0
2008-05-09,17.0,17.05,16.87,16.9,2.3096,67519.0,0.0,1.0
2008-05-12,17.1,17.1,16.9,17.05,2.3301,42350.0,0.0,1.0
2008-05-13,17.25,17.39,16.93,17.16,2.3451,149705.0,0.0,1.0
2008-05-14,17.38,17.39,16.82,17.14,2.3424,302682.0,0.0,1.0
2008-05-15,17.29,17.55,17.0,17.43,2.382,258500.0,0.0,1.0
2008-05-16,17.4,17.57,17.16,17.4,2.3779,237649.0,0.0,1.0
2008-05-19,17.4,17.8,17.08,17.38,2.3752,72580.0,0.0,1.0
2008-05-20,17.3,17.3,16.65,16.89,2.3082,136808.0,0.0,1.0
2008-05-21,16.95,17.1,16.57,16.7,2.2823,189600.0,0.0,1.0
2008-05-23,16.5,17.1,16.0,16.35,2.2344,175197.0,0.0,1.0
2008-05-26,16.43,16.45,16.2,16.28,2.2249,72948.0,0.0,1.0
2008-05-27,16.28,16.35,15.9,16.01,2.188,55954.0,0.0,1.0
2008-05-28,16.03,16.35,15.91,16.25,2.2208,450820.0,0.0,1.0
2008-05-29,16.25,16.54,16.0,16.1,2.2003,392849.0,0.0,1.0
2008-05-30,16.26,17.0,16.25,16.69,2.2809,219532.0,0.0,1.0
