Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,4.6,4.69,4.6,4.66,1.8382,3264596.0,0.0,1.0
2005-01-04,4.68,4.7,4.62,4.66,1.8382,5268425.0,0.0,1.0
2005-01-05,4.63,4.69,4.57,4.6,1.8147,4671467.0,0.0,1.0
2005-01-06,4.62,4.62,4.53,4.56,1.7988,3417241.0,0.0,1.0
2005-01-07,4.57,4.65,4.54,4.57,1.8027,4588440.0,0.0,1.0
2005-01-10,4.52,4.57,4.43,4.48,1.7673,3507524.0,0.0,1.0
2005-01-11,4.47,4.54,4.47,4.5,1.7751,6700559.0,0.0,1.0
2005-01-12,4.55,4.55,4.43,4.45,1.7555,2752700.0,0.0,1.0
2005-01-13,4.46,4.55,4.46,4.52,1.783,3076453.0,0.0,1.0
2005-01-14,4.52,4.55,4.45,4.48,1.7673,4241148.0,0.0,1.0
2005-01-17,4.5,4.54,4.43,4.44,1.7515,1107058.0,0.0,1.0
2005-01-18,4.41,4.5,4.35,4.43,1.7475,3680262.0,0.0,1.0
2005-01-19,4.49,4.56,4.46,4.51,1.7791,2260560.0,0.0,1.0
2005-01-20,4.37,4.51,4.35,4.4,1.7357,2361505.0,0.0,1.0
2005-01-21,4.45,4.49,4.37,4.42,1.7435,3323203.0,0.0,1.0
2005-01-24,4.31,4.52,4.2,4.45,1.7555,1961946.0,0.0,1.0
2005-01-26,4.49,4.49,4.4,4.41,1.7396,3073770.0,0.0,1.0
2005-01-27,4.44,4.44,4.32,4.37,1.7239,4610065.0,0.0,1.0
2005-01-28,4.4,4.4,4.33,4.4,1.7357,3290151.0,0.0,1.0
2005-01-31,4.44,4.53,4.44,4.52,1.783,1768719.0,0.0,1.0
2005-02-01,4.52,4.62,4.49,4.56,1.7988,2726053.0,0.0,1.0
2005-02-02,4.54,4.68,4.53,4.67,1.8421,3958992.0,0.0,1.0
2005-02-03,4.65,4.87,4.65,4.86,1.9171,3445508.0,0.0,1.0
2005-02-04,4.89,5.07,4.88,5.07,2.0,3336335.0,0.0,1.0
2005-02-09,5.07,5.1,4.95,5.01,1.9763,921808.0,0.0,1.0
2005-02-10,5.01,5.01,4.93,4.99,1.9685,1500135.0,0.0,1.0
2005-02-11,4.98,5.05,4.9,5.02,1.9803,2836267.0,0.0,1.0
2005-02-14,5.02,5.18,4.97,5.18,2.0435,2323818.0,0.0,1.0
2005-02-15,5.12,5.27,5.1,5.23,2.063,2937422.0,0.0,1.0
2005-02-16,5.21,5.25,5.12,5.12,2.0197,5617697.0,0.0,1.0
2005-02-17,5.15,5.21,5.1,5.2,2.0515,2831529.0,0.0,1.0
2005-02-18,5.21,5.24,5.0,5.06,1.9961,2452066.0,0.0,1.0
2005-02-21,5.1,5.1,4.97,5.01,1.9763,3288634.0,0.0,1.0
2005-02-22,5.01,5.15,4.98,5.06,1.9961,6670604.0,0.0,1.0
2005-02-23,5.11,5.13,4.98,5.03,1.9841,5108404.0,0.0,1.0
2005-02-24,5.07,5.28,5.07,5.24,2.067,8343768.0,0.0,1.0
2005-02-25,5.23,5.31,5.14,5.19,2.0473,5227080.0,0.0,1.0
2005-02-28,5.21,5.21,5.02,5.07,2.0,4352538.0,0.0,1.0
2005-03-01,5.1,5.15,5.01,5.14,2.0277,7148392.0,0.0,1.0
2005-03-02,5.14,5.18,5.09,5.18,2.0435,6747507.0,0.0,1.0
2005-03-03,5.22,5.36,5.22,5.35,2.1105,10733509.0,0.0,1.0
2005-03-04,5.4,5.56,5.35,5.54,2.1854,6346811.0,0.0,1.0
2005-03-07,5.57,5.59,5.5,5.59,2.2052,3793569.0,0.0,1.0
2005-03-08,5.5,5.53,5.43,5.5,2.1742,3171854.0,0.0054,1.0
2005-03-09,5.49,5.5,5.37,5.45,2.1544,3360896.0,0.0,1.0
2005-03-10,5.45,5.5,5.33,5.45,2.1544,4680999.0,0.0,1.0
2005-03-11,5.5,5.52,5.32,5.45,2.1544,3518938.0,0.0,1.0
2005-03-14,5.45,5.45,5.18,5.38,2.1268,3644440.0,0.0,1.0
2005-03-15,5.4,5.47,5.26,5.3,2.0951,3129704.0,0.0,1.0
2005-03-16,5.29,5.45,5.22,5.45,2.1544,2477254.0,0.0,1.0
2005-03-17,5.35,5.47,5.25,5.47,2.1624,3382503.0,0.0,1.0
2005-03-18,5.41,5.45,5.22,5.3,2.0951,2845457.0,0.0,1.0
2005-03-21,5.3,5.3,5.12,5.15,2.0359,4695847.0,0.0,1.0
2005-03-22,5.18,5.28,4.97,5.04,1.9924,3932255.0,0.0,1.0
2005-03-23,5.1,5.1,4.91,4.96,1.9607,2040954.0,0.0,1.0
2005-03-24,5.05,5.1,4.96,5.05,1.9963,3841366.0,0.0,1.0
2005-03-28,5.08,5.08,4.94,5.0,1.9766,1978850.0,0.0,1.0
2005-03-29,5.04,5.05,4.8,4.83,1.9094,3481272.0,0.0,1.0
2005-03-30,4.9,4.94,4.83,4.89,1.9332,5730027.0,0.0,1.0
2005-03-31,4.94,4.95,4.89,4.92,1.945,2960369.0,0.0,1.0
2005-04-01,5.03,5.07,4.92,4.94,1.9528,4040938.0,0.0,1.0
2005-04-04,4.95,4.95,4.78,4.81,1.9015,4833233.0,0.0,1.0
2005-04-05,4.88,4.95,4.8,4.85,1.9172,4818970.0,0.0,1.0
2005-04-06,4.91,4.93,4.76,4.83,1.9094,5833914.0,0.0,1.0
2005-04-07,4.89,4.98,4.83,4.92,1.945,5745757.0,0.0,1.0
2005-04-08,4.91,4.91,4.82,4.85,1.9172,1771396.0,0.0,1.0
2005-04-11,4.87,4.93,4.83,4.88,1.9292,3116990.0,0.0,1.0
2005-04-12,4.88,4.91,4.84,4.9,1.937,4009094.0,0.0,1.0
2005-04-13,4.96,5.08,4.85,4.91,1.9411,6111042.0,0.0,1.0
2005-04-14,4.93,4.95,4.75,4.8,1.8976,4345976.0,0.0,1.0
2005-04-15,4.77,4.8,4.64,4.7,1.8582,4486111.0,0.0,1.0
2005-04-18,4.71,4.72,4.62,4.7,1.8582,2517781.0,0.0,1.0
2005-04-19,4.75,4.8,4.72,4.8,1.8976,6727107.0,0.0,1.0
2005-04-20,4.81,4.85,4.71,4.75,1.8777,4522197.0,0.0,1.0
2005-04-22,4.75,4.85,4.75,4.81,1.9015,1638373.0,0.0,1.0
2005-04-25,4.84,4.99,4.79,4.99,1.9727,3186449.0,0.0,1.0
2005-04-26,4.97,5.15,4.92,5.14,2.0321,3292803.0,0.0,1.0
2005-04-27,5.11,5.21,4.98,5.17,2.0439,4579560.0,0.0,1.0
2005-04-28,5.13,5.17,4.89,4.98,1.9687,2994532.0,0.0,1.0
2005-04-29,5.01,5.05,4.85,4.92,1.945,4746577.0,0.0,1.0
2005-05-02,4.93,5.0,4.9,4.97,1.9677,4967535.0,0.0,1.00144092219
2005-05-03,5.0,5.08,4.9,4.94,1.9558,4093355.0,0.0,1.0
2005-05-04,5.04,5.17,4.96,5.14,2.0348,5908619.0,0.0,1.0
2005-05-05,5.12,5.19,5.06,5.12,2.027,2150875.0,0.0,1.0
2005-05-06,5.16,5.16,5.08,5.1,2.0191,2869270.0,0.0,1.0
2005-05-09,5.15,5.15,5.07,5.09,2.0152,2245077.0,0.0,1.0
2005-05-10,5.1,5.1,4.94,4.95,1.9598,4446747.0,0.0,1.0
2005-05-11,4.95,4.95,4.82,4.89,1.936,2990045.0,0.0,1.0
2005-05-12,4.94,4.94,4.77,4.8,1.9005,3940353.0,0.0,1.0
2005-05-13,4.77,4.87,4.74,4.85,1.9201,1535179.0,0.0,1.0
2005-05-16,4.85,4.94,4.82,4.93,1.9518,2926951.0,0.0,1.0
2005-05-17,4.93,5.01,4.85,4.95,1.9598,5540176.0,0.0,1.0
2005-05-18,4.99,5.05,4.99,5.0,1.9795,3074208.0,0.0,1.0
2005-05-19,4.99,5.04,4.96,5.0,1.9795,5448174.0,0.0,1.0
2005-05-20,5.0,5.0,4.9,4.94,1.9558,3154158.0,0.0,1.0
2005-05-23,4.93,4.95,4.85,4.89,1.936,1078885.0,0.0,1.0
2005-05-24,4.9,4.9,4.85,4.86,1.9242,1009563.0,0.0,1.0
2005-05-25,4.92,4.96,4.83,4.86,1.9242,2576967.0,0.0,1.0
2005-05-27,5.0,5.01,4.88,4.91,1.944,1448170.0,0.0,1.0
2005-05-30,4.88,4.97,4.85,4.9,1.94,1395206.0,0.0,1.0
2005-05-31,4.86,4.95,4.86,4.92,1.9478,3577787.0,0.0,1.0
2005-06-01,4.95,5.04,4.92,5.0,1.9795,5913245.0,0.0,1.0
2005-06-02,5.02,5.29,5.0,5.18,2.0508,10683736.0,0.0,1.0
2005-06-03,5.18,5.26,5.13,5.21,2.0627,3834547.0,0.0,1.0
2005-06-06,5.1,5.18,5.02,5.1,2.0191,3580850.0,0.0,1.0
2005-06-07,5.08,5.22,5.02,5.15,2.0389,8563685.0,0.0,1.0
2005-06-08,5.25,5.29,5.06,5.12,2.027,1986974.0,0.0,1.0
2005-06-09,5.1,5.1,5.02,5.1,2.0191,4162696.0,0.0,1.0
2005-06-10,5.14,5.14,5.07,5.08,2.0111,1992747.0,0.0,1.0
2005-06-13,5.13,5.15,5.02,5.05,1.9994,2975823.0,0.0,1.0
2005-06-14,5.05,5.05,4.96,5.04,1.9953,6831770.0,0.0,1.0
2005-06-15,5.03,5.03,4.92,4.95,1.9598,4737658.0,0.0,1.0
2005-06-16,5.07,5.07,4.95,4.97,1.9677,4151637.0,0.0,1.0
2005-06-17,4.97,5.04,4.97,5.0,1.9795,4889586.0,0.0,1.0
2005-06-20,5.0,5.04,4.96,5.03,1.9913,1915883.0,0.0,1.0
2005-06-21,5.05,5.1,4.97,5.0,1.9795,4433182.0,0.0,1.0
2005-06-22,4.97,5.0,4.92,4.96,1.9635,3903173.0,0.0,1.0
2005-06-23,4.96,5.0,4.86,4.88,1.9321,4731732.0,0.0,1.0
2005-06-24,4.89,4.97,4.86,4.95,1.9632,4429578.0,0.0039,1.0
2005-06-27,4.95,5.02,4.9,4.98,1.9752,4039454.0,0.0,1.0
2005-06-28,5.02,5.06,4.94,5.06,2.0068,4749980.0,0.0,1.0
2005-06-29,5.08,5.09,5.04,5.05,2.003,1643053.0,0.0,1.0
2005-06-30,5.04,5.1,5.02,5.08,2.0146,3095389.0,0.0,1.0
2005-07-01,5.09,5.11,5.04,5.07,2.0108,2309675.0,0.0,1.0
2005-07-04,5.05,5.05,4.92,5.04,1.9988,1059416.0,0.0,1.0
2005-07-05,5.03,5.04,4.93,4.99,1.9791,3438030.0,0.0,1.0
2005-07-06,5.0,5.0,4.9,4.97,1.9711,2687261.0,0.0,1.0
2005-07-07,4.86,5.03,4.85,4.98,1.9752,2953722.0,0.0,1.0
2005-07-08,4.99,5.02,4.93,4.96,1.967,3494354.0,0.0,1.0
2005-07-11,4.96,5.07,4.96,5.04,1.9988,2938177.0,0.0,1.0
2005-07-12,5.1,5.13,5.02,5.09,2.0188,2386518.0,0.0,1.0
2005-07-13,5.09,5.22,5.09,5.21,2.0664,3094715.0,0.0,1.0
2005-07-14,5.22,5.27,5.17,5.17,2.0505,2807149.0,0.0,1.0
2005-07-15,5.13,5.18,5.1,5.16,2.0465,2486236.0,0.0,1.0
2005-07-18,5.01,5.17,5.01,5.14,2.0384,2274673.0,0.0,1.0
2005-07-19,5.07,5.14,5.03,5.06,2.0068,3472011.0,0.0,1.0
2005-07-20,5.02,5.13,4.99,5.08,2.0146,7866934.0,0.0,1.0
2005-07-21,5.11,5.13,5.05,5.1,2.0227,2512049.0,0.0,1.0
2005-07-22,5.08,5.11,4.98,4.98,1.9752,2481662.0,0.0,1.0
