Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,399.5,409.01,399.0,408.01,6.0523,811730.0,0.0,1.0
2005-01-04,408.0,409.0,403.0,403.0,5.9781,3194230.0,0.0,1.0
2005-01-05,398.0,401.0,395.0,399.0,5.9187,6518330.0,0.0,1.0
2005-01-06,399.01,399.01,391.1,394.0,5.8445,2829670.0,0.0,1.0
2005-01-07,393.02,398.0,391.01,393.5,5.8371,984700.0,0.0,1.0
2005-01-10,390.01,395.99,388.5,395.99,5.874,1679170.0,0.0,1.0
2005-01-11,393.01,394.5,389.0,390.7,5.7955,2157380.0,0.0,1.0
2005-01-12,390.7,390.99,384.0,385.0,5.7111,2212860.0,0.0,1.0
2005-01-13,389.99,397.0,389.0,396.0,5.8742,1036020.0,0.0,1.0
2005-01-14,392.0,398.01,390.0,398.01,5.9041,780640.0,0.0,1.0
2005-01-17,397.9,398.0,390.1,392.0,5.8148,362140.0,0.0,1.0
2005-01-18,390.02,393.97,386.1,392.0,5.8148,1372420.0,0.0,1.0
2005-01-19,392.0,402.99,391.6,399.0,5.9187,1064190.0,0.0,1.0
2005-01-20,393.0,396.5,391.8,392.0,5.8148,1498000.0,0.0,1.0
2005-01-21,392.2,394.81,388.03,389.5,5.7778,2831250.0,0.0,1.0
2005-01-24,387.0,392.0,387.0,391.0,5.8,1012410.0,0.0,1.0
2005-01-26,391.01,391.01,383.0,383.99,5.6961,3085570.0,0.0,1.0
2005-01-27,384.15,385.97,376.53,377.99,5.6071,2124610.0,0.0,1.0
2005-01-28,377.99,380.5,375.5,379.0,5.622,987100.0,0.0,1.0
2005-01-31,384.5,393.0,384.5,388.7,5.7659,1242440.0,0.0,1.0
2005-02-01,388.73,400.4,388.5,398.15,5.9087,1756760.0,0.0024,1.0
2005-02-02,400.0,411.5,397.7,409.0,6.0696,1169160.0,0.0,1.0
2005-02-03,409.0,425.55,409.0,423.0,6.2774,1470990.0,0.0,1.0
2005-02-04,421.0,440.0,421.0,438.0,6.5,2064440.0,0.0,1.0
2005-02-09,430.0,438.0,430.0,434.0,6.4407,1913480.0,0.0,1.0
2005-02-10,434.0,435.0,429.0,433.0,6.4259,1340370.0,0.0,1.0
2005-02-11,433.0,435.0,427.0,432.9,6.4244,2066150.0,0.0,1.0
2005-02-14,433.99,447.99,433.0,447.99,6.6483,1138090.0,0.0,1.0
2005-02-15,447.0,454.0,446.5,452.99,6.7225,2247450.0,0.0,1.0
2005-02-16,451.11,452.0,443.05,444.01,6.5892,1761870.0,0.0,1.0
2005-02-17,446.0,452.0,442.0,447.0,6.6336,1890140.0,0.0,1.0
2005-02-18,447.02,447.02,432.0,432.61,6.4201,876980.0,0.0,1.0
2005-02-21,433.5,440.44,428.01,431.0,6.3962,993440.0,0.0,1.0
2005-02-22,434.9,445.85,431.0,441.5,6.552,2006860.0,0.0,1.0
2005-02-23,445.91,445.91,438.5,442.0,6.5594,1088880.0,0.0,1.0
2005-02-24,445.0,466.0,445.0,464.0,6.8859,1851580.0,0.0,1.0
2005-02-25,464.23,466.73,455.0,458.0,6.7969,1542350.0,0.0,1.0
2005-02-28,459.0,459.0,445.0,450.0,6.6781,1287410.0,0.0,1.0
2005-03-01,444.43,454.98,443.0,453.01,6.7229,2734660.0,0.0,1.0
2005-03-02,454.0,459.0,451.0,458.01,6.7971,2276080.0,0.0,1.0
2005-03-03,464.0,476.4,461.2,475.0,7.0492,1660260.0,0.0,1.0
2005-03-04,479.0,492.0,478.99,486.0,7.2124,2528230.0,0.0,1.0
2005-03-07,484.0,486.0,483.0,484.0,7.2348,1925450.0,0.0483,1.0
2005-03-08,483.5,483.99,479.0,482.8,7.2169,1007750.0,0.0,1.0
2005-03-09,478.0,484.5,466.0,474.99,7.1002,1071010.0,0.0,1.0
2005-03-10,474.99,477.0,470.2,472.5,7.0629,1031460.0,0.0,1.0
