Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2007-03-29,7.98,7.98,7.0,7.0,5.7316,32977122.0,0.0,1.0
2007-03-30,7.1,7.79,6.55,7.6,6.2229,13606349.0,0.0,1.0
2007-04-02,7.5,7.65,7.35,7.5,6.141,4316810.0,0.0,1.0
2007-04-03,7.54,7.7,7.35,7.7,6.3048,1612998.0,0.0,1.0
2007-04-04,7.56,7.7,7.48,7.55,6.1819,1704469.0,0.0,1.0
2007-04-05,7.51,7.58,7.47,7.58,6.2065,518814.0,0.0,1.0
2007-04-09,7.51,7.7,7.51,7.7,6.3048,922982.0,0.0,1.0
2007-04-10,7.58,7.6,7.52,7.58,6.2065,663371.0,0.0,1.0
2007-04-11,7.43,7.56,7.29,7.45,6.1001,1949073.0,0.0,1.0
2007-04-12,7.4,7.8,7.38,7.8,6.3866,2821725.0,0.0,1.0
2007-04-13,7.7,7.9,7.62,7.8,6.3866,2731274.0,0.0,1.0
2007-04-16,7.7,7.89,7.7,7.75,6.3457,3247025.0,0.0,1.0
2007-04-17,7.79,7.79,7.63,7.74,6.3375,1173405.0,0.0,1.0
2007-04-18,7.61,7.75,7.61,7.75,6.3457,2047996.0,0.0,1.0
2007-04-19,7.7,7.8,7.46,7.8,6.3866,1176774.0,0.0,1.0
2007-04-20,7.7,8.0,7.67,8.0,6.5504,1403206.0,0.0,1.0
2007-04-23,7.91,8.0,7.9,7.9,6.4685,861422.0,0.0,1.0
2007-04-24,7.84,7.95,7.84,7.95,6.5095,1276718.0,0.0,1.0
2007-04-25,7.9,8.0,7.85,8.0,6.5504,1060699.0,0.0,1.0
2007-04-26,7.9,7.95,7.73,7.8,6.3866,1560422.0,0.0,1.0
2007-04-27,7.68,8.0,7.52,8.0,6.5504,3559722.0,0.0,1.0
2007-04-30,7.8,7.91,7.8,7.8,6.3866,443779.0,0.0,1.0
2007-05-02,7.81,7.95,7.8,7.85,6.4276,1116950.0,0.0,1.0
2007-05-03,7.85,7.96,7.69,7.95,6.5095,1301321.0,0.0,1.0
2007-05-04,7.95,8.0,7.8,8.0,6.5504,703594.0,0.0,1.0
2007-05-07,8.0,8.01,7.95,7.98,6.534,448679.0,0.0,1.0
2007-05-08,7.98,8.05,7.75,7.89,6.4603,1420459.0,0.0,1.0
2007-05-09,7.8,7.88,7.64,7.64,6.2556,466850.0,0.0,1.0
2007-05-10,7.75,7.79,7.29,7.45,6.1001,955854.0,0.0,1.0
2007-05-11,7.5,7.6,7.5,7.59,6.2147,282377.0,0.0,1.0
2007-05-14,7.64,7.7,7.4,7.6,6.2229,987195.0,0.0,1.0
2007-05-15,7.55,7.68,7.51,7.6,6.2229,957692.0,0.0,1.0
2007-05-16,7.58,7.65,7.37,7.45,6.1001,402024.0,0.0,1.0
2007-05-17,7.49,7.5,7.21,7.5,6.141,1902725.0,0.0,1.0
2007-05-18,7.57,7.64,7.26,7.3,5.9772,2206131.0,0.0,1.0
2007-05-21,7.35,7.39,7.03,7.03,5.7562,2557009.0,0.0,1.0
