Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2020-12-10,65.01,65.92,61.08,62.4,61.1844,26020700.0,0.0,1.0
2020-12-11,62.45,64.95,62.01,64.95,63.6847,3543300.0,0.0,1.0
2020-12-14,65.0,67.46,64.11,66.39,65.0967,3860400.0,0.0,1.0
2020-12-15,66.9,67.42,65.8,66.59,65.2928,3280200.0,0.0,1.0
2020-12-16,66.8,67.49,66.2,67.25,65.9399,2828500.0,0.0,1.0
2020-12-17,67.08,70.89,67.05,69.8,68.4402,3834800.0,0.0,1.0
2020-12-18,69.79,71.48,68.31,68.31,66.9793,9732100.0,0.0,1.0
2020-12-21,67.01,67.44,65.8,66.18,64.8907,2149200.0,0.0,1.0
2020-12-22,66.7,67.31,66.07,67.3,65.9889,1742500.0,0.0,1.0
2020-12-23,67.49,68.22,67.0,68.14,66.8126,858400.0,0.0,1.0
2020-12-28,68.5,68.67,67.4,68.0,66.6753,1376300.0,0.0,1.0
2020-12-29,68.0,68.2,67.5,68.0,66.6753,967300.0,0.0,1.0
2020-12-30,68.01,68.3,66.7,68.3,66.9695,1304100.0,0.0,1.0
2021-01-04,68.55,68.55,65.7,66.0,64.7143,1350100.0,0.0,1.0
2021-01-05,66.0,66.49,63.55,65.1,63.9588,1235000.0,0.131,1.0
2021-01-06,65.11,65.22,61.85,61.85,60.7658,1223200.0,0.0,1.0
2021-01-07,62.41,63.38,60.5,60.95,59.8815,1918400.0,0.0,1.0
2021-01-08,61.6,63.06,61.01,62.23,61.1391,2329200.0,0.0,1.0
2021-01-11,62.19,62.95,59.62,61.24,60.1665,3473200.0,0.0,1.0
2021-01-12,61.5,65.0,60.06,64.17,63.0451,2693000.0,0.0,1.0
2021-01-13,64.0,66.35,63.03,66.35,65.1869,2330400.0,0.0,1.0
2021-01-14,66.22,67.46,66.05,67.1,65.9237,1952800.0,0.0,1.0
2021-01-15,66.4,68.0,65.6,67.4,66.2185,1457800.0,0.0,1.0
