Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2005-01-03,46.4,46.4,43.43,43.43,11994.7315,42770.0,0.0,1.0
2005-01-04,43.7,45.0,43.7,44.21,12210.1561,11650.0,0.0,1.0
2005-01-05,44.2,44.5,43.5,43.8,12096.9201,18733.0,0.0,1.0
2005-01-06,43.6,43.6,43.0,43.4,11986.446,19712.0,0.0,1.0
2005-01-07,43.5,44.99,43.5,44.0,12152.1572,26578.0,0.0,1.0
2005-01-10,43.5,44.0,42.01,42.01,11602.5483,14450.0,0.0,1.0
2005-01-11,42.35,43.5,41.11,41.11,11353.9814,29226.0,0.0,1.0
2005-01-12,41.55,43.0,41.55,42.99,11873.2099,8780.0,0.0,1.0
2005-01-13,42.05,43.0,41.99,43.0,11875.9718,50232.0,0.0,1.0
2005-01-14,42.0,42.11,41.0,41.3,11406.4566,8849.0,0.0,1.0
2005-01-17,41.3,41.7,40.51,40.51,11188.2702,42473.0,0.0,1.0
2005-01-18,40.5,40.8,40.1,40.3,11130.2712,16178.0,0.0,1.0
2005-01-19,40.2,40.5,40.2,40.3,11130.2712,16792.0,0.0,1.0
2005-01-20,40.3,40.3,39.1,39.17,10818.1818,16027.0,0.0,1.0
2005-01-21,39.3,40.0,39.3,39.7,10964.56,19671.0,0.0,1.0
2005-01-24,40.0,40.99,39.5,40.99,11320.8392,10468.0,0.0,1.0
2005-01-26,41.5,41.8,40.85,41.8,11544.5493,12515.0,0.0,1.0
2005-01-27,41.8,41.8,41.0,41.7,11516.9308,5508.0,0.0,1.0
2005-01-28,41.85,41.85,41.0,41.85,11558.3586,8056.0,0.0,1.0
2005-01-31,41.5,42.05,41.5,42.05,11613.5957,6400.0,0.0,1.0
2005-02-01,42.05,42.1,42.05,42.05,11613.5957,4900.0,0.0,1.0
2005-02-02,42.05,42.15,42.05,42.1,11627.4049,3850.0,0.0,1.0
2005-02-03,42.1,44.0,42.05,42.9,11848.3533,9543.0,0.0,1.0
2005-02-04,43.5,44.93,43.0,44.93,12409.0096,21582.0,0.0,1.0
2005-02-09,44.93,45.99,44.0,45.99,12701.7661,3918.0,0.0,1.0
2005-02-10,44.8,45.0,44.0,45.0,12428.3426,43129.0,0.0,1.0
2005-02-11,45.0,46.4,44.5,46.0,12704.528,60308.0,0.0,1.0
2005-02-14,45.51,46.1,45.5,45.7,12621.6724,16737.0,0.0,1.0
2005-02-15,45.5,46.0,45.5,45.8,12649.2909,7829.0,0.0,1.0
2005-02-16,46.0,46.5,45.8,46.5,12842.6207,10483.0,0.0,1.0
2005-02-17,47.0,47.02,46.5,46.5,12842.6207,14724.0,0.0,1.0
2005-02-18,46.5,46.5,45.7,46.21,12762.5269,7126.0,0.0,1.0
2005-02-21,45.5,46.1,45.2,46.0,12704.528,25417.0,0.0,1.0
2005-02-22,47.0,47.0,45.0,46.0,12704.528,21685.0,0.0,1.0
2005-02-23,45.99,47.0,45.2,46.99,12977.9515,21098.0,0.0,1.0
2005-02-24,47.8,48.9,46.52,48.9,13505.4656,7972.0,0.0,1.0
2005-02-25,48.89,48.9,46.01,47.28,13058.0453,11713.0,0.0,1.0
2005-02-28,47.28,47.28,46.21,46.49,12839.8588,27847.0,0.0,1.0
2005-03-01,46.0,46.0,45.7,45.8,12649.2909,15998.0,0.0,1.0
2005-03-02,46.0,47.0,46.0,46.58,12864.7155,13777.0,0.0,1.0
2005-03-03,47.0,47.0,46.0,46.25,12773.5743,40653.0,0.0,1.0
2005-03-04,46.9,47.0,45.6,46.21,12762.5269,34237.0,0.0,1.0
2005-03-07,46.5,47.0,46.5,47.0,12980.7134,8854.0,0.0,1.0
2005-03-08,46.8,47.0,46.01,46.7,12897.8577,16107.0,0.0,1.0
2005-03-09,46.4,47.5,46.4,47.4,13091.1875,27219.0,0.0,1.0
2005-03-10,47.0,47.0,45.53,46.0,12704.528,4849.0,0.0,1.0
2005-03-11,45.53,45.65,44.5,44.5,12290.2499,34757.0,0.0,1.0
2005-03-14,44.48,44.5,43.8,44.34,12246.0602,9437.0,0.0,1.0
2005-03-15,44.34,44.34,43.5,43.98,12146.6335,31981.0,0.0,1.0
2005-03-16,43.45,44.01,43.45,43.51,12016.8263,33354.0,0.0,1.0
2005-03-17,43.4,43.4,41.69,42.7,11793.1162,153354.0,0.0,1.0
2005-03-18,43.2,43.2,42.27,42.98,11870.4481,106042.0,0.0,1.0
2005-03-21,42.98,43.0,42.0,42.45,11724.0698,35427.0,0.0,1.0
2005-03-22,42.06,42.7,41.5,42.0,11599.7864,32561.0,0.0,1.0
2005-03-23,42.0,42.8,41.5,42.2,11655.0235,13054.0,0.0,1.0
2005-03-24,42.19,42.88,42.1,42.5,11737.8791,9658.0,0.0,1.0
2005-03-28,42.5,43.0,42.0,42.45,11724.0698,12311.0,0.0,1.0
2005-03-29,42.1,42.25,41.0,41.3,11406.4566,18636.0,0.0,1.0
2005-03-30,41.0,41.3,40.99,41.3,11406.4566,31513.0,0.0,1.0
2005-03-31,41.3,41.4,40.0,40.4,11157.8898,33012.0,0.0,1.0
2005-04-01,41.2,42.0,40.2,40.2,11102.6527,22559.0,0.0,1.0
2005-04-04,37.4,39.0,37.35,38.9,10743.6117,47648.0,0.0,1.0
2005-04-05,39.0,39.4,37.6,38.3,10577.9005,21376.0,0.0,1.0
2005-04-06,38.2,38.5,38.15,38.39,10602.7571,17648.0,0.0,1.0
2005-04-07,38.5,39.5,38.2,39.0,10771.2302,30541.0,0.0,1.0
2005-04-08,39.05,39.05,37.6,38.9,10743.6117,63626.0,0.0,1.0
2005-04-11,38.8,39.8,38.7,39.55,10923.1322,23178.0,0.0,1.0
2005-04-12,40.0,40.5,39.0,40.5,11185.5083,21557.0,0.0,1.0
2005-04-13,41.0,41.0,38.6,40.0,11047.4156,34549.0,0.0,1.0
