Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2020;TEKNO;TKNO3;21.47;93.50;0.23;4.35;6.72;7.26;5.32
30/06/2020;TEKNO;TKNO3;17.85;;;;6.22;6.35;5.20
31/12/2019;TEKNO;TKNO3;10.15;;;;5.16;3.62;4.10
30/06/2019;TEKNO;TKNO3;4.83;;;;3.94;1.79;3.28
31/12/2018;TEKNO;TKNO3;-3.72;92.57;-0.04;-24.89;0.41;-1.37;0.33
30/06/2018;TEKNO;TKNO3;-18.73;;;;-9.34;-7.21;-7.91
31/12/2017;TEKNO;TKNO3;-19.21;;;;-9.08;-7.09;-7.67
30/06/2017;TEKNO;TKNO3;-20.23;;;;-8.55;-7.15;-7.28
31/12/2016;TEKNO;TKNO3;-24.12;60.15;-0.40;-2.49;-8.94;-8.18;-7.66
30/06/2016;TEKNO;TKNO3;-22.92;;;;-7.59;-7.71;-6.73
31/12/2015;TEKNO;TKNO3;-14.36;;;;-4.38;-4.62;-3.88
30/06/2015;TEKNO;TKNO3;-2.88;93.84;-0.03;-32.64;-1.29;-0.89;-1.15
31/12/2014;TEKNO;TKNO3;4.66;;;;2.06;1.42;1.83
30/06/2014;TEKNO;TKNO3;7.93;;;;5.87;2.35;5.36
31/12/2013;TEKNO;TKNO3;18.63;;;;9.71;5.53;8.84
30/06/2013;TEKNO;TKNO3;21.39;;;;10.11;6.41;9.12
31/12/2012;TEKNO;TKNO3;16.89;;;;9.56;4.98;8.45
30/06/2012;TEKNO;TKNO3;16.76;122.53;0.14;7.31;12.25;4.91;10.46
31/12/2011;TEKNO;TKNO3;16.57;80.52;0.21;4.86;11.29;4.65;9.48
30/06/2011;TEKNO;TKNO3;;72.41;;;;;
31/12/2010;TEKNO;TKNO3;21.14;78.09;0.27;3.69;11.20;6.02;9.44
30/06/2010;TEKNO;TKNO3;;59.87;;;;;
31/12/2009;TEKNO;TKNO3;;79.84;;;;;
31/12/2020;BRASILAGRO;AGRO3;177.86;2,040.18;0.09;11.47;9.65;6.52;5.09
30/06/2020;BRASILAGRO;AGRO3;164.43;1,871.04;0.09;11.38;10.66;6.07;5.85
31/12/2019;BRASILAGRO;AGRO3;119.97;1,459.88;0.08;12.17;10.81;5.65;6.73
30/06/2019;BRASILAGRO;AGRO3;185.77;1,146.43;0.16;6.17;20.11;10.32;13.04
31/12/2018;BRASILAGRO;AGRO3;260.08;1,116.05;0.23;4.29;26.15;14.70;17.88
30/06/2018;BRASILAGRO;AGRO3;146.14;929.06;0.16;6.36;16.71;9.35;10.71
31/12/2017;BRASILAGRO;AGRO3;54.44;865.58;0.06;15.90;8.26;4.17;6.23
30/06/2017;BRASILAGRO;AGRO3;4.24;754.31;0.01;177.90;4.09;0.36;3.09
31/12/2016;BRASILAGRO;AGRO3;-40.90;593.97;-0.07;-14.52;-5.12;-3.53;-4.09
