Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2020;TEKNO;TKNO3;21,47;9,349,864;0,229629008508;435,485,048,905;672,208,888,912;726,244,900,469;531,643,151,149
30/09/2020;TEKNO;TKNO3;16,756;;;;453,842,022,134;579,777,189,441;366,399,759,569
30/06/2020;TEKNO;TKNO3;17,85;;;;621,974,684,655;635,029,296,191;519,905,421,753
31/03/2020;TEKNO;TKNO3;17,113;;;;586,909,434,751;609,217,077,052;466,512,560,794
31/12/2019;TEKNO;TKNO3;10,149;;;;5,159,009,435;36,170,290,892;410,047,765,342
30/09/2019;TEKNO;TKNO3;14,007;;;;892,026,587,282;501,814,095,883;72,472,188,443
30/06/2019;TEKNO;TKNO3;4,83;;;;393,533,191,823;178,533,225,057;327,872,823,912
31/03/2019;TEKNO;TKNO3;-2,26;;;;0,948822832175;-0,84119581094;0,767138474837
31/12/2018;TEKNO;TKNO3;-3,719;9,256,864;-0,0401755929438;-248,907,340,683;0,414131218457;-136,562,107,067;0,334522955357
30/09/2018;TEKNO;TKNO3;-15,649;;;;-791,494,065,769;-60,202,494,754;-654,932,727,538
30/06/2018;TEKNO;TKNO3;-18,731;;;;-933,607,201,112;-721,402,603,769;-790,975,488,666
31/03/2018;TEKNO;TKNO3;-16,088;8,568,204;-0,187763970139;-532,583,540,527;-795,646,803,304;-601,744,354,085;-66,072,591,858
31/12/2017;TEKNO;TKNO3;-19,207;;;;-907,750,911,855;-709,022,876;-766,725,743,217
30/09/2017;TEKNO;TKNO3;-22,44;;;;-103,102,741,235;-808,397,059,064;-872,626,964,283
30/06/2017;TEKNO;TKNO3;-20,228;;;;-854,606,547,197;-714,605,803,354;-727,529,336,241
31/03/2017;TEKNO;TKNO3;-22,407;6,744,948;-0,332204191937;-30,101,968,135;-909,531,168,379;-77,578,018,035;-787,971,356,782
31/12/2016;TEKNO;TKNO3;-24,12;6,014,648;-0,401020974128;-249,363,515,755;-894,236,751,014;-817,900,172,117;-765,840,019,672
30/09/2016;TEKNO;TKNO3;-19,52;;;;-645,124,931,476;-657,037,943,696;-563,614,797,574
30/06/2016;TEKNO;TKNO3;-22,917;;;;-758,961,883,248;-770,849,323,446;-67,296,885,763
31/03/2016;TEKNO;TKNO3;-22,215;;;;-714,813,262,271;-730,665,537,089;-63,699,026,104
31/12/2015;TEKNO;TKNO3;-14,356;;;;-437,627,572,197;-46,198,809,309;-388,414,314,381
30/09/2015;TEKNO;TKNO3;-8,991;;;;-359,813,642,337;-283,101,393,547;-32,270,506,557
30/06/2015;TEKNO;TKNO3;-2,875;93,844;-0,0306359490218;-326,413,913,043;-12,914,606,996;-0,893491988002;-114,622,057,001
31/03/2015;TEKNO;TKNO3;3,472;;;;158,090,200,343;105,397,946,793;138,415,423,779
31/12/2014;TEKNO;TKNO3;4,661;;;;205,587,233,412;142,104,314,968;183,058,251,427
30/09/2014;TEKNO;TKNO3;5,551;71,309;0,0778443113772;128,461,538,462;427,543,363,823;165,075,831,989;382,237,075,785
30/06/2014;TEKNO;TKNO3;7,933;;;;587,459,251,121;235,466,230,133;536,075,273,235
31/03/2014;TEKNO;TKNO3;13,687;;;;767,792,685,267;403,056,357,447;689,287,760,015
31/12/2013;TEKNO;TKNO3;18,625;;;;971,469,470,803;553,347,318,004;884,369,352,572
30/09/2013;TEKNO;TKNO3;21,008;18,878,557;0,111279691557;898,636,567,022;10,688,559,796;620,342,713,973;953,894,436,747
30/06/2013;TEKNO;TKNO3;21,389;;;;101,108,856,784;640,746,742,194;911,624,480,776
31/03/2013;TEKNO;TKNO3;19,524;;;;996,440,507,804;560,037,202,995;899,016,951,412
31/12/2012;TEKNO;TKNO3;16,891;;;;955,792,635,234;498,257,360,073;844,842,843,824
30/09/2012;TEKNO;TKNO3;16,448;148,484;0,110772877886;902,748,054,475;104,562,141,834;486,017,191,977;906,719,155,825
30/06/2012;TEKNO;TKNO3;16,764;122,532;0,136813240623;730,923,407,301;122,457,497,303;491,261,472,065;104,639,339,535
31/03/2012;TEKNO;TKNO3;17,757;959,521;0,185061087772;540,362,110,717;111,001,918,467;492,340,330,786;936,747,292,054
31/12/2011;TEKNO;TKNO3;16,569;80,516;0,205785185553;48,594,362,967;112,905,969,856;465,011,672,556;948,326,084,647
30/09/2011;TEKNO;TKNO3;;;;;;;
