Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2013-05-13,84.31,87.0,84.3,84.73,13.5591,483500.0,,,,,,,
2013-05-14,85.07,86.39,84.51,86.1,13.7783,211500.0,,,,,,,
2013-05-15,86.01,86.81,85.0,86.5,13.8424,227800.0,,,,,,,
2013-05-16,86.1,86.85,85.45,85.62,13.7015,262400.0,,,,,,,
2013-05-17,86.08,86.53,84.95,86.53,13.8472,179400.0,,,,,,,
2013-05-20,86.02,86.77,85.29,85.9,13.7463,99100.0,,,,,,,
2013-05-21,86.36,86.5,84.5,85.49,13.6807,150500.0,,,,,,,
2013-05-22,85.19,85.35,83.29,84.79,13.5687,233600.0,,,,,,,
2013-05-23,84.03,84.76,83.06,84.33,13.4951,308700.0,,,,,,,
2013-05-24,84.48,84.89,83.39,83.85,13.4183,142600.0,,,,,,,
2013-05-27,83.84,84.16,83.5,83.77,13.4055,99500.0,,,,,,,
2013-05-28,83.96,85.57,83.85,84.9,13.5863,178800.0,,,,,,,
2013-05-29,84.7,85.05,82.93,83.13,13.3031,200600.0,,,,,,,
2013-05-31,82.98,83.27,79.77,82.05,13.1302,745700.0,,,,,,,
2013-06-03,82.0,82.6,80.15,80.18,12.831,233400.0,,,,,,,
2013-06-04,80.73,80.73,78.63,79.55,12.7302,482000.0,,,,,,,
2013-06-05,79.6,79.6,77.97,78.56,12.5717,162600.0,,,,,,,
2013-06-06,78.56,79.65,78.05,79.02,12.6454,200700.0,,,,,,,
2013-06-07,79.61,79.92,78.0,78.0,12.4821,146900.0,,,,,,,
2013-06-10,78.0,79.56,77.58,78.08,12.4949,139000.0,,,,,,,
2013-06-11,77.5,77.5,76.0,76.15,12.1861,249700.0,,,,,,,
2013-06-12,77.23,77.32,76.11,76.21,12.1957,185800.0,,,,,,,
2013-06-13,76.0,76.78,75.69,75.69,12.1125,217000.0,,,,,,,
2013-06-14,76.2,78.72,76.2,76.7,12.2741,233500.0,,,,,,,
2013-06-17,77.2,79.74,77.2,78.05,12.4901,271800.0,,,,,,,
