Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-03,59.1,59.7,58.2,59.67,1.8191,336044.0,0.0,1.0,,,,,,,
2005-01-04,60.5,63.0,59.0,59.0,1.7987,459528.0,0.0,1.0,,,,,,,
2005-01-05,59.99,59.99,57.0,57.02,1.7383,619116.0,0.0,1.0,,,,,,,
2005-01-06,57.1,57.3,56.84,57.15,1.7423,1195036.0,0.0,1.0,,,,,,,
2005-01-07,57.5,59.57,56.9,58.95,1.7971,240784.0,0.0,1.0,,,,,,,
2005-01-10,58.0,58.5,55.8,56.2,1.7133,510720.0,0.0,1.0,,,,,,,
2005-01-11,56.1,56.5,55.0,56.0,1.7072,1058756.0,0.0,1.0,,,,,,,
2005-01-12,56.0,56.98,55.2,56.5,1.7225,487488.0,0.0,1.0,,,,,,,
2005-01-13,56.51,58.0,56.0,56.5,1.7225,1633160.0,0.0,1.0,,,,,,,
2005-01-14,56.75,57.4,55.5,56.9,1.7347,173012.0,0.0,1.0,,,,,,,
2005-01-17,56.8,56.8,56.2,56.4,1.7194,376064.0,0.0,1.0,,,,,,,
2005-01-18,55.5,56.38,55.01,55.71,1.6984,135100.0,0.0,1.0,,,,,,,
2005-01-19,55.5,55.8,55.4,55.55,1.6935,584632.0,0.0,1.0,,,,,,,
2005-01-20,55.01,56.0,55.0,55.9,1.7042,246568.0,0.0,1.0,,,,,,,
2005-01-21,55.55,55.89,55.0,55.89,1.7038,123636.0,0.0,1.0,,,,,,,
2005-01-24,55.9,55.9,55.2,55.79,1.7008,61540.0,0.0,1.0,,,,,,,
2005-01-26,55.8,55.8,53.2,54.5,1.6615,347932.0,0.0,1.0,,,,,,,
2005-01-27,54.5,54.5,51.85,52.5,1.6005,440632.0,0.0,1.0,,,,,,,
2005-01-28,52.69,53.0,52.0,53.0,1.6157,194788.0,0.0,1.0,,,,,,,
2005-01-31,52.5,53.5,52.5,53.0,1.6157,800276.0,0.0,1.0,,,,,,,
2005-02-01,53.0,53.0,51.3,51.55,1.5715,1376540.0,0.0,1.0,,,,,,,
2005-02-02,51.5,53.0,51.0,53.0,1.6157,860152.0,0.0,1.0,,,,,,,
2005-02-03,53.0,53.0,51.75,51.75,1.5776,485912.0,0.0,1.0,,,,,,,
2005-02-04,51.75,54.0,51.7,53.51,1.6313,878436.0,0.0,1.0,,,,,,,
2005-02-09,52.0,55.4,52.0,55.3,1.6859,57824.0,0.0,1.0,,,,,,,
2005-02-10,55.3,55.3,52.6,53.3,1.6249,400852.0,0.0,1.0,,,,,,,
2005-02-11,53.5,53.5,52.5,53.0,1.6157,1170992.0,0.0,1.0,,,,,,,
2005-02-14,53.5,53.8,52.8,53.35,1.6264,767756.0,0.0,1.0,,,,,,,
2005-02-15,53.0,53.02,52.61,52.75,1.6081,395988.0,0.0,1.0,,,,,,,
2005-02-16,52.6,52.6,50.18,51.7,1.5761,818400.0,0.0,1.0,,,,,,,
2005-02-17,52.22,52.5,51.81,52.5,1.6005,421196.0,0.0,1.0,,,,,,,
2005-02-18,52.5,53.0,52.0,52.0,1.5853,682568.0,0.0,1.0,,,,,,,
2005-02-21,52.4,52.4,51.4,51.71,1.5764,461916.0,0.0,1.0,,,,,,,
2005-02-22,52.48,53.0,50.0,53.0,1.6157,2434280.0,0.0,1.0,,,,,,,
2005-02-23,53.3,53.33,51.7,52.2,1.5914,394924.0,0.0,1.0,,,,,,,
2005-02-24,53.0,54.28,51.24,52.49,1.6002,1292352.0,0.0,1.0,,,,,,,
2005-02-25,52.1,54.0,52.0,53.5,1.631,656516.0,0.0,1.0,,,,,,,
2005-02-28,53.5,54.0,52.5,54.0,1.6462,650716.0,0.0,1.0,,,,,,,
2005-03-01,54.0,55.7,53.0,55.55,1.6935,629768.0,0.0,1.0,,,,,,,
2005-03-02,56.0,56.5,55.6,56.0,1.7072,1944920.0,0.0,1.0,,,,,,,
2005-03-03,56.99,57.99,56.5,57.21,1.7441,1993236.0,0.0,1.0,,,,,,,
2005-03-04,57.5,58.5,56.8,57.51,1.7532,710508.0,0.0,1.0,,,,,,,
2005-03-07,58.6,59.5,58.1,58.65,1.788,813992.0,0.0,1.0,,,,,,,
2005-03-08,58.0,59.5,58.0,58.1,1.7712,425388.0,0.0,1.0,,,,,,,
2005-03-09,57.51,58.8,57.5,58.2,1.7743,280504.0,0.0,1.0,,,,,,,
2005-03-10,58.5,61.01,58.5,60.0,1.8291,1213252.0,0.0,1.0,,,,,,,
2005-03-11,60.2,60.53,56.4,56.5,1.7225,600264.0,0.0,1.0,,,,,,,
2005-03-14,56.5,59.0,54.8,59.0,1.7987,480560.0,0.0,1.0,,,,,,,
2005-03-15,59.0,60.5,58.2,59.0,1.7987,635052.0,0.0,1.0,,,,,,,
2005-03-16,58.5,58.5,56.6,57.98,1.7676,378668.0,0.0,1.0,,,,,,,
2005-03-17,57.0,57.01,55.16,56.09,1.7099,698096.0,0.0,1.0,,,,,,,
2005-03-18,56.5,58.15,56.0,56.61,1.7258,530988.0,0.0,1.0,,,,,,,
2005-03-21,56.61,57.48,56.5,56.82,1.7322,562368.0,0.0,1.0,,,,,,,
2005-03-22,56.8,59.0,56.5,57.0,1.7377,1440344.0,0.0,1.0,,,,,,,
2005-03-23,57.0,57.0,54.01,55.6,1.695,1090172.0,0.0,1.0,,,,,,,
2005-03-24,56.0,56.0,55.01,55.99,1.7069,230572.0,0.0,1.0,,,,,,,
2005-03-28,55.85,55.85,54.5,54.51,1.6618,115580.0,0.0,1.0,,,,,,,
2005-03-29,55.0,55.0,52.11,53.99,1.6459,915184.0,0.0,1.0,,,,,,,
2005-03-30,54.0,54.49,53.0,53.5,1.631,340552.0,0.0,1.0,,,,,,,
