Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2012-03-14,3.25,3.25,3.25,3.25,2.3952,600.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-03-16,3.25,3.25,3.25,3.25,2.3952,4700.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-03-29,3.25,3.25,3.25,3.25,2.3952,13200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-01,2.3,2.31,2.3,2.31,1.7025,200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-08,2.2,2.2,2.2,2.2,1.6213,4000.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-21,2.2,2.2,2.2,2.2,1.6213,2200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-22,2.2,2.2,2.2,2.2,1.6213,200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-25,2.2,2.2,2.2,2.2,1.6213,3500.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-06-26,2.2,2.2,2.2,2.2,1.6213,100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-07-04,2.2,2.2,2.2,2.2,1.6213,3700.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-07-12,2.0,2.2,2.0,2.2,1.6213,2800.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-07-31,2.0,2.0,2.0,2.0,1.4739,2200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-08-14,2.01,2.2,2.01,2.2,1.6213,200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-15,2.36,2.5,2.36,2.5,1.8424,2100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-17,3.28,3.28,3.28,3.28,2.4173,100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-23,3.71,4.0,3.71,4.0,2.9479,300.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-24,4.0,4.0,4.0,4.0,2.9479,100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-25,4.5,4.5,4.5,4.5,3.3164,100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-26,4.7,4.7,4.7,4.7,3.4638,200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-10-30,4.99,4.99,4.99,4.99,3.6775,200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-11-30,4.99,4.99,4.99,4.99,3.6775,2000.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-04,4.99,4.99,4.99,4.99,3.6775,500.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-05,40.3,41.29,40.04,40.9,4.306,533300.0,0.0,0.142857142857,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-06,41.75,43.18,41.0,43.18,4.5461,1425700.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-07,43.18,44.25,42.69,43.75,4.6061,1024000.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-10,43.98,44.0,42.86,43.0,4.5271,696200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-11,43.12,43.27,42.1,42.8,4.5061,715800.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-12,42.8,43.0,42.22,43.0,4.5271,483400.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-13,42.09,43.56,42.03,43.3,4.5587,801900.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-14,43.12,44.0,42.69,43.5,4.5798,211100.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-17,43.93,45.08,43.01,45.0,4.7377,551800.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-18,45.0,46.52,44.81,46.4,4.8851,1543000.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-19,46.18,46.61,45.05,46.5,4.8956,1237900.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-20,46.5,47.5,45.69,46.48,4.8935,919200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-21,46.03,46.73,45.37,46.25,4.8693,694200.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-26,46.31,46.4,45.5,45.5,4.7903,202500.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-27,45.0,46.27,44.85,45.1,4.7482,287600.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2012-12-28,45.01,46.25,45.0,46.25,4.8693,533600.0,0.0,1.0,37.76,"2,596.30",0.01,68.75,2.53,1.22,1.26
2013-01-02,47.49,47.49,45.02,45.5,4.7903,299000.0,0.0,1.0,243.06,"6,452.84",0.04,26.55,8.99,5.73,5.34
2013-01-03,45.45,45.7,43.92,44.4,4.6745,523200.0,0.0,1.0,243.06,"6,452.84",0.04,26.55,8.99,5.73,5.34
2013-01-04,44.29,45.9,43.52,45.9,4.8324,613700.0,0.0,1.0,243.06,"6,452.84",0.04,26.55,8.99,5.73,5.34
