Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2017-07-20,14.95,15.04,14.36,14.9,13.9032,34318500.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-21,15.05,15.08,14.87,15.0,13.9965,4515000.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-24,15.05,15.2,15.0,15.15,14.1364,4833300.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-25,15.11,15.4,15.01,15.4,14.3697,5926300.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-26,15.45,15.46,15.1,15.1,14.0898,9220500.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-27,15.18,15.24,15.05,15.14,14.1271,2439800.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-28,15.14,15.18,14.95,15.0,13.9965,2768600.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-07-31,15.0,15.29,14.94,15.14,14.1271,5118800.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-01,15.21,15.39,15.11,15.25,14.2298,2329900.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-02,15.25,15.33,15.15,15.26,14.2391,1489400.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-03,15.23,15.32,15.1,15.25,14.2298,2652900.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-04,15.25,15.3,14.74,14.74,13.7539,7918900.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-07,14.9,14.93,14.43,14.7,13.7166,3439400.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-08,14.7,14.79,14.5,14.62,13.6419,2644800.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-09,14.65,14.66,14.26,14.44,13.4739,3586900.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-10,14.45,14.52,14.1,14.49,13.5206,3139900.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-11,14.63,15.23,14.63,15.19,14.1738,6112400.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-14,15.24,15.24,15.04,15.1,14.0898,2167500.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-15,15.08,15.18,14.93,15.16,14.1458,1441600.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
2017-08-16,15.16,15.17,14.91,15.08,14.0711,1747400.0,0.0,1.0,"2,656.00",,,,16.13,14.04,4.81
