Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-03,50.75,51.5,48.4,48.7,3.8192,583153.0,0.0,1.0,,,,,,,
2005-01-04,48.62,49.3,46.7,46.8,3.6702,773241.0,0.0,1.0,,,,,,,
2005-01-05,47.0,47.49,45.61,46.1,3.6153,776162.0,0.0,1.0,,,,,,,
2005-01-06,46.24,46.8,45.1,45.7,3.5839,770913.0,0.0,1.0,,,,,,,
2005-01-07,45.96,47.25,45.96,46.39,3.638,723806.0,0.0,1.0,,,,,,,
2005-01-10,46.6,47.25,45.8,47.1,3.6937,1187737.0,0.0,1.0,,,,,,,
2005-01-11,47.3,48.11,47.1,47.85,3.7525,1069377.0,0.0,1.0,,,,,,,
2005-01-12,48.21,48.6,46.5,48.5,3.8035,608744.0,0.0,1.0,,,,,,,
2005-01-13,48.89,50.8,48.89,50.5,3.9603,937294.0,0.0,1.0,,,,,,,
2005-01-14,49.9,52.4,49.3,52.3,4.1015,1137753.0,0.0,1.0,,,,,,,
2005-01-17,52.3,53.0,52.0,52.3,4.1015,545497.0,0.0,1.0,,,,,,,
2005-01-18,51.99,52.3,50.5,50.5,3.9603,582373.0,0.0,1.0,,,,,,,
2005-01-19,50.82,51.3,50.05,50.9,3.9917,512866.0,0.0,1.0,,,,,,,
2005-01-20,50.5,50.5,48.8,49.2,3.8584,598556.0,0.0,1.0,,,,,,,
2005-01-21,49.53,51.15,49.0,51.0,3.9995,648720.0,0.0,1.0,,,,,,,
2005-01-24,50.9,53.3,50.8,53.06,4.1611,708558.0,0.0,1.0,,,,,,,
2005-01-26,53.95,55.2,52.2,53.4,4.1877,1098343.0,0.0,1.0,,,,,,,
2005-01-27,52.52,52.7,50.6,51.5,4.0388,1147795.0,0.0,1.0,,,,,,,
2005-01-28,51.75,51.75,50.41,51.39,4.0301,732536.0,0.0,1.0,,,,,,,
2005-01-31,51.76,52.5,51.7,52.25,4.0976,326693.0,0.0,1.0,,,,,,,
2005-02-01,52.05,52.85,51.7,52.7,4.1329,837573.0,0.0,1.0,,,,,,,
2005-02-02,52.84,54.19,52.81,54.1,4.2427,1078653.0,0.0,1.0,,,,,,,
2005-02-03,54.0,54.4,53.4,54.17,4.2482,831521.0,0.0,1.0,,,,,,,
2005-02-04,54.2,55.8,53.9,55.8,4.376,488668.0,0.0,1.0,,,,,,,
2005-02-09,56.8,57.3,53.9,56.6,4.4387,711602.0,0.0,1.0,,,,,,,
2005-02-10,56.48,57.16,55.07,56.8,4.4544,1084759.0,0.0,1.0,,,,,,,
2005-02-11,56.69,57.5,56.5,57.0,4.4701,680633.0,0.0,1.0,,,,,,,
2005-02-14,56.55,57.7,55.32,55.91,4.3846,728651.0,0.0,1.0,,,,,,,
2005-02-15,54.98,57.0,54.61,56.85,4.4583,1327391.0,0.0,1.0,,,,,,,
2005-02-16,56.35,58.5,55.85,58.5,4.5877,1560363.0,0.0,1.0,,,,,,,
2005-02-17,58.8,60.79,58.8,60.6,4.7524,2049678.0,0.0,1.0,,,,,,,
2005-02-18,60.63,62.7,60.1,61.25,4.8034,1587022.0,0.0,1.0,,,,,,,
2005-02-21,61.3,62.12,60.3,61.0,4.7838,802779.0,0.0,1.0,,,,,,,
2005-02-22,62.6,64.63,60.6,61.7,4.8387,2415977.0,0.0,1.0,,,,,,,
2005-02-23,62.4,62.4,61.6,61.93,4.8567,1035195.0,0.0,1.0,,,,,,,
2005-02-24,62.9,67.2,62.9,67.2,5.27,2305744.0,0.0,1.0,,,,,,,
2005-02-25,66.95,69.99,66.15,66.9,5.2464,1890736.0,0.0,1.0,,,,,,,
2005-02-28,67.0,68.25,65.2,67.2,5.27,649571.0,0.0,1.0,,,,,,,
2005-03-01,69.0,69.8,65.6,65.84,5.1633,1189100.0,0.0,1.0,,,,,,,
2005-03-02,65.89,66.99,64.6,66.5,5.2151,1340382.0,0.0,1.0,,,,,,,
2005-03-03,68.1,68.7,66.6,67.4,5.2857,840935.0,0.0,1.0,,,,,,,
2005-03-04,67.15,69.8,66.75,69.8,5.4739,1054995.0,0.0,1.0,,,,,,,
2005-03-07,71.45,71.49,69.0,69.6,5.4582,846324.0,0.0,1.0,,,,,,,
2005-03-08,69.49,69.6,68.1,69.05,5.4151,1007053.0,0.0,1.0,,,,,,,
2005-03-09,68.0,68.45,66.3,66.88,5.2449,1306860.0,0.0,1.0,,,,,,,
2005-03-10,66.43,66.76,64.71,65.78,5.1586,996648.0,0.0,1.0,,,,,,,
2005-03-11,67.0,67.7,65.01,65.1,5.1053,754627.0,0.0,1.0,,,,,,,
2005-03-14,66.0,66.0,61.5,65.0,5.0975,858664.0,0.0,1.0,,,,,,,
2005-03-15,65.5,65.9,64.0,64.56,5.0629,729537.0,0.0,1.0,,,,,,,
2005-03-16,64.6,65.7,63.7,64.5,5.0582,1395701.0,0.0,1.0,,,,,,,
2005-03-17,63.6,66.7,63.5,66.65,5.2269,937369.0,0.0,1.0,,,,,,,
2005-03-18,66.89,67.2,64.8,65.15,5.1092,702786.0,0.0,1.0,,,,,,,
2005-03-21,65.15,65.99,64.35,64.54,5.0614,680702.0,0.0,1.0,,,,,,,
2005-03-22,65.71,67.2,63.7,63.7,4.9955,1076098.0,0.0,1.0,,,,,,,
2005-03-23,64.02,65.21,62.31,62.8,4.9249,862405.0,0.0,1.0,,,,,,,
2005-03-24,64.0,65.02,63.52,63.65,4.9916,1182242.0,0.0,1.0,,,,,,,
2005-03-28,64.0,64.35,60.11,61.98,4.8606,848313.0,0.0,1.0,,,,,,,
2005-03-29,62.8,63.47,58.65,59.9,4.6975,1083169.0,0.0,1.0,,,,,,,
2005-03-30,60.85,62.82,59.0,61.8,4.8465,980041.0,0.0,1.0,,,,,,,
