Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-07-01,8.5,8.5,8.5,8.5,2.7239,10000.0,,,,,,,
2005-07-04,8.0,8.0,8.0,8.0,2.5636,500.0,,,,,,,
2005-07-05,8.0,8.0,8.0,8.0,2.5636,500.0,,,,,,,
2005-07-06,8.0,8.0,8.0,8.0,2.5636,1500.0,,,,,,,
2005-07-07,8.0,8.4,8.0,8.4,2.6918,3000.0,,,,,,,
2005-07-11,8.0,8.0,8.0,8.0,2.5636,2000.0,,,,,,,
2005-07-12,8.0,8.0,8.0,8.0,2.5636,1100.0,,,,,,,
2005-07-13,8.4,8.5,8.4,8.4,2.6918,10600.0,,,,,,,
2005-07-14,8.8,8.8,8.8,8.8,2.82,100.0,,,,,,,
2005-07-25,8.3,8.3,8.3,8.3,2.6598,400.0,,,,,,,
2005-07-26,8.0,8.0,8.0,8.0,2.5636,500.0,,,,,,,
2005-07-28,8.88,8.88,8.88,8.88,2.8456,200.0,,,,,,,
2005-07-29,8.5,9.0,8.5,8.8,2.82,2200.0,,,,,,,
2005-08-01,8.5,9.0,8.5,9.0,2.8841,2100.0,,,,,,,
2005-08-03,9.5,9.5,9.26,9.26,2.9674,800.0,,,,,,,
2005-08-04,8.91,8.91,8.91,8.91,2.8552,1000.0,,,,,,,
2005-08-09,9.0,9.0,9.0,9.0,2.8841,5000.0,,,,,,,
2005-08-10,9.0,11.0,9.0,11.0,3.525,76200.0,,,,,,,
2005-08-11,10.5,11.3,10.5,11.3,3.6211,13000.0,,,,,,,
2005-08-12,11.2,11.9,11.2,11.9,3.8134,1900.0,,,,,,,
2005-08-16,11.9,12.1,11.9,12.0,3.8454,27000.0,,,,,,,
2005-08-17,12.35,12.5,12.0,12.45,3.9896,8300.0,,,,,,,
2005-08-18,12.1,12.12,12.0,12.06,3.8647,2300.0,,,,,,,
2005-08-19,12.0,12.44,12.0,12.44,3.9864,6700.0,,,,,,,
2005-08-22,12.4,12.4,12.4,12.4,3.9736,500.0,,,,,,,
2005-08-23,12.4,12.45,12.35,12.4,3.9736,17000.0,,,,,,,
2005-08-24,12.4,12.4,12.4,12.4,3.9736,19400.0,,,,,,,
2005-08-25,12.4,12.5,12.4,12.5,4.0057,3000.0,,,,,,,
2005-08-30,12.5,12.5,12.5,12.5,4.0057,100.0,,,,,,,
2005-08-31,12.5,12.5,12.5,12.5,4.0057,8000.0,,,,,,,
2005-09-01,12.35,13.0,12.35,13.0,4.1659,25000.0,,,,,,,
2005-09-02,13.1,14.0,13.0,14.0,4.4863,21700.0,,,,,,,
2005-09-05,14.0,14.0,14.0,14.0,4.4863,1000.0,,,,,,,
2005-09-06,14.1,14.2,14.0,14.2,4.5504,6200.0,,,,,,,
2005-09-08,14.3,14.3,14.2,14.3,4.5825,5000.0,,,,,,,
2005-09-09,14.3,14.3,14.0,14.05,4.5024,77851.0,,,,,,,
2005-09-12,14.2,14.2,14.0,14.0,4.4863,26003.0,,,,,,,
2005-09-13,14.3,14.5,14.3,14.5,4.6466,29952.0,,,,,,,
2005-09-14,14.6,15.0,14.5,15.0,4.8068,10900.0,,,,,,,
2005-09-15,15.0,15.0,14.6,15.0,4.8068,13324.0,,,,,,,
2005-09-16,14.8,15.6,14.8,15.5,4.967,82926.0,,,,,,,
2005-09-19,15.7,17.0,15.7,16.9,5.4157,48000.0,,,,,,,
2005-09-20,17.2,17.2,16.8,17.0,5.4477,60400.0,,,,,,,
2005-09-21,17.1,18.95,17.1,18.55,5.9444,7034734.0,,,,,,,
2005-09-22,18.0,18.29,17.39,17.7,5.672,4306017.0,,,,,,,
2005-09-23,17.73,18.4,17.61,18.0,5.7682,2805931.0,,,,,,,
2005-09-26,18.5,18.5,18.0,18.1,5.8002,966552.0,,,,,,,
2005-09-27,18.1,18.21,17.85,18.1,5.8002,950139.0,,,,,,,
2005-09-28,18.1,18.8,18.1,18.7,5.9925,1171348.0,,,,,,,
2005-09-29,19.0,19.44,18.45,18.9,6.0566,1981042.0,,,,,,,
2005-09-30,18.89,19.0,18.2,18.4,5.8963,1121480.0,,,,,,,
2005-10-03,18.0,18.8,18.0,18.51,5.9316,765653.0,,,,,,,
2005-10-04,18.5,19.3,18.3,18.9,6.0566,1237906.0,,,,,,,
2005-10-05,18.99,18.99,18.3,18.75,6.0085,773136.0,,,,,,,
2005-10-06,18.2,18.7,18.0,18.1,5.8002,910327.0,,,,,,,
2005-10-07,18.72,18.72,18.3,18.5,5.9284,370253.0,,,,,,,
2005-10-10,18.5,18.6,18.5,18.6,5.9604,328992.0,,,,,,,
2005-10-11,18.6,18.68,18.5,18.55,5.9444,884432.0,,,,,,,
2005-10-13,18.3,18.3,17.8,18.0,5.7682,853009.0,,,,,,,
2005-10-14,18.0,18.19,17.42,18.0,5.7682,1396910.0,,,,,,,
2005-10-17,18.1,18.1,17.41,17.5,5.6079,746172.0,,,,,,,
2005-10-18,17.2,17.6,16.74,16.74,5.3644,586161.0,,,,,,,
2005-10-19,15.89,16.6,15.89,16.5,5.2875,507374.0,,,,,,,
2005-10-20,17.0,17.5,16.5,16.8,5.3836,1541465.0,,,,,,,
2005-10-21,16.6,17.0,16.5,16.52,5.2939,969569.0,,,,,,,
2005-10-24,16.7,17.2,16.7,17.2,5.5118,571966.0,,,,,,,
2005-10-25,17.05,17.23,16.99,17.2,5.5118,888582.0,,,,,,,
2005-10-26,17.22,17.22,17.0,17.2,5.5118,61264.0,,,,,,,
2005-10-27,17.2,17.2,16.8,17.15,5.4958,232900.0,,,,,,,
2005-10-28,17.2,17.2,16.9,17.2,5.5118,165240.0,,,,,,,
2005-10-31,17.2,17.9,16.8,17.7,5.672,267909.0,,,,,,,
2005-11-01,17.7,18.28,17.7,18.05,5.7842,546050.0,,,,,,,
2005-11-03,18.2,19.4,18.1,19.2,6.1527,606277.0,,,,,,,
2005-11-04,19.49,19.49,18.55,18.7,5.9925,612025.0,,,,,,,
2005-11-07,18.99,19.0,18.4,18.8,6.0245,1070121.0,,,,,,,
2005-11-08,18.97,19.4,18.7,19.4,6.2168,1204510.0,,,,,,,
2005-11-09,19.4,19.72,19.39,19.6,6.2809,448310.0,,,,,,,
2005-11-10,19.75,21.5,19.75,21.5,6.8897,783180.0,,,,,,,
2005-11-11,21.6,21.6,20.8,21.0,6.7295,1196613.0,,,,,,,
2005-11-14,21.9,21.9,20.51,21.0,6.7295,1741348.0,,,,,,,
2005-11-16,21.74,22.4,21.2,21.9,7.0179,1522875.0,,,,,,,
2005-11-17,22.0,23.69,22.0,23.49,7.5274,1113403.0,,,,,,,
2005-11-18,23.0,25.45,23.0,24.05,7.7069,1095219.0,,,,,,,
2005-11-21,25.5,25.5,24.0,24.8,7.9472,1067444.0,,,,,,,
2005-11-22,24.5,24.7,24.4,24.5,7.8511,1403291.0,,,,,,,
2005-11-23,24.6,24.89,23.73,24.0,7.6909,820210.0,,,,,,,
2005-11-24,23.6,23.95,23.6,23.85,7.6428,56464.0,,,,,,,
2005-11-25,23.85,24.5,23.35,23.98,7.6845,1607419.0,,,,,,,
2005-11-28,24.5,24.75,23.0,23.75,7.6108,857302.0,,,,,,,
2005-11-29,23.48,23.9,23.15,23.49,7.5274,738233.0,,,,,,,
2005-11-30,24.0,24.89,23.1,24.5,7.8511,2836825.0,,,,,,,
2005-12-01,24.98,25.8,24.3,25.5,8.1716,668586.0,,,,,,,
2005-12-02,25.89,27.5,25.49,26.5,8.492,533369.0,,,,,,,
2005-12-05,26.5,27.0,25.99,27.0,8.6522,434518.0,,,,,,,
2005-12-06,27.0,30.01,27.0,30.01,9.6168,922675.0,,,,,,,
2005-12-07,30.0,30.01,28.51,29.0,9.2931,655366.0,,,,,,,
2005-12-08,29.75,29.75,27.0,27.0,8.6522,571704.0,,,,,,,
2005-12-09,28.0,28.0,26.1,27.0,8.6522,322249.0,,,,,,,
2005-12-12,27.4,27.99,26.3,26.3,8.4279,416028.0,,,,,,,
2005-12-13,26.7,27.5,26.0,27.5,8.8125,292874.0,,,,,,,
2005-12-14,28.0,28.0,26.9,26.9,8.6202,715150.0,,,,,,,
