Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-07-13,19.25,20.6,19.0,20.01,3.0693,3178425.0,,,,,,,
2005-07-14,21.0,21.0,20.1,20.6,3.1598,598580.0,,,,,,,
2005-07-15,20.49,20.55,20.3,20.31,3.1153,690517.0,,,,,,,
2005-07-18,20.2,20.44,20.0,20.36,3.123,284253.0,,,,,,,
2005-07-19,20.3,20.55,20.3,20.5,3.1444,613040.0,,,,,,,
2005-07-20,20.59,21.0,20.48,20.8,3.1904,307468.0,,,,,,,
2005-07-21,21.5,21.5,20.95,21.3,3.2672,71449.0,,,,,,,
2005-07-22,21.3,21.3,20.9,21.2,3.2518,75683.0,,,,,,,
2005-07-25,20.3,21.21,20.3,20.5,3.1444,331452.0,,,,,,,
2005-07-26,20.5,20.5,20.3,20.49,3.1429,284265.0,,,,,,,
2005-07-27,20.89,20.98,20.48,20.49,3.1429,388473.0,,,,,,,
2005-07-28,20.5,21.1,20.5,20.9,3.2058,90903.0,,,,,,,
2005-07-29,21.5,22.09,21.3,21.85,3.3515,598931.0,,,,,,,
2005-08-01,22.05,22.18,21.7,21.7,3.3285,369861.0,,,,,,,
2005-08-02,21.99,22.1,21.8,22.1,3.3899,260868.0,,,,,,,
2005-08-03,22.0,22.4,22.0,22.0,3.3745,266149.0,,,,,,,
2005-08-04,22.5,23.3,22.5,23.2,3.5586,186255.0,,,,,,,
2005-08-05,23.3,23.81,23.01,23.01,3.5295,116345.0,,,,,,,
2005-08-08,23.6,23.85,23.3,23.8,3.6506,68198.0,,,,,,,
2005-08-09,23.9,24.0,23.81,23.9,3.666,84662.0,,,,,,,
2005-08-10,24.0,24.5,23.9,24.0,3.6813,367358.0,,,,,,,
2005-08-11,23.5,24.56,23.5,23.8,3.6506,241476.0,,,,,,,
2005-08-12,22.31,24.49,22.31,24.49,3.7564,85830.0,,,,,,,
2005-08-15,24.9,25.2,24.01,25.2,3.8654,162018.0,,,,,,,
2005-08-16,25.2,25.9,25.2,25.77,3.9528,73771.0,,,,,,,
2005-08-17,26.0,26.0,25.7,25.94,3.9789,102535.0,,,,,,,
2005-08-18,25.95,25.95,25.7,25.8,3.9574,85055.0,,,,,,,
2005-08-19,25.8,25.8,25.0,25.0,3.8347,254124.0,,,,,,,
2005-08-22,25.49,25.75,25.33,25.45,3.9037,285384.0,,,,,,,
2005-08-23,25.41,25.5,25.0,25.1,3.85,50506.0,,,,,,,
2005-08-24,25.1,25.5,25.09,25.34,3.8869,15303.0,,,,,,,
2005-08-25,25.5,25.5,24.51,25.5,3.9114,7161.0,,,,,,,
2005-08-26,25.1,25.5,25.0,25.1,3.85,107174.0,,,,,,,
2005-08-29,25.0,25.0,24.45,24.48,3.7549,159680.0,,,,,,,
2005-08-30,25.5,25.5,23.5,24.4,3.7426,102813.0,,,,,,,
2005-08-31,24.95,24.96,24.7,24.7,3.7887,61961.0,,,,,,,
2005-09-01,24.49,25.0,24.49,25.0,3.8347,20775.0,,,,,,,
2005-09-02,25.0,25.49,24.85,25.4,3.8961,218632.0,,,,,,,
2005-09-05,25.4,25.87,25.4,25.87,3.9681,2061.0,,,,,,,
2005-09-06,25.87,25.87,25.3,25.4,3.8961,118319.0,,,,,,,
2005-09-08,25.5,25.5,24.3,24.99,3.8332,187547.0,,,,,,,
2005-09-09,25.0,25.0,24.0,24.74,3.7948,73000.0,,,,,,,
2005-09-12,25.0,25.0,24.0,24.5,3.758,83746.0,,,,,,,
2005-09-13,24.5,24.5,24.1,24.2,3.712,220556.0,,,,,,,
2005-09-14,24.4,24.6,23.9,24.4,3.7426,382202.0,,,,,,,
2005-09-15,24.99,25.01,24.5,25.0,3.8347,196322.0,,,,,,,
2005-09-16,25.0,26.4,24.99,26.34,4.0402,319643.0,,,,,,,
2005-09-19,26.34,26.39,25.65,26.2,4.0187,130386.0,,,,,,,
2005-09-20,26.4,26.65,26.19,26.3,4.0341,97763.0,,,,,,,
2005-09-21,26.3,26.3,26.0,26.0,3.9881,146933.0,,,,,,,
2005-09-22,26.0,26.0,25.5,25.99,3.9865,171044.0,,,,,,,
2005-09-23,26.0,26.0,25.5,25.94,3.9789,31353.0,,,,,,,
2005-09-26,25.6,25.6,24.45,24.98,3.8316,95040.0,,,,,,,
2005-09-27,25.0,25.8,24.5,24.7,3.7887,171722.0,,,,,,,
2005-09-28,25.0,26.4,24.8,26.0,3.9881,125000.0,,,,,,,
2005-09-29,25.7,26.0,25.5,26.0,3.9881,83302.0,,,,,,,
2005-09-30,26.0,26.05,25.8,26.0,3.9881,272700.0,,,,,,,
2005-10-03,26.0,26.2,25.5,26.0,3.9881,199025.0,,,,,,,
2005-10-04,26.0,26.3,25.75,26.0,3.9881,394396.0,,,,,,,
2005-10-05,25.75,25.75,25.2,25.2,3.8654,274840.0,,,,,,,
2005-10-06,25.0,25.15,24.05,24.5,3.758,310903.0,,,,,,,
2005-10-07,25.0,25.0,23.7,24.19,3.7104,292780.0,,,,,,,
2005-10-10,24.3,24.4,23.8,24.4,3.7426,305508.0,,,,,,,
2005-10-11,25.0,25.0,24.0,24.0,3.6813,773769.0,,,,,,,
2005-10-13,24.0,24.01,23.6,24.01,3.6828,413180.0,,,,,,,
2005-10-14,24.02,24.02,23.5,23.8,3.6506,183351.0,,,,,,,
2005-10-17,24.49,24.49,22.3,22.7,3.4819,763168.0,,,,,,,
