Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2009-11-06,13.5,13.5,13.5,13.5,8.3212,3000.0,0.0,1.0,,,,,,,
2009-11-09,11.5,11.5,11.5,11.5,7.0884,5200.0,0.0,1.0,,,,,,,
2009-11-10,11.75,11.75,11.75,11.75,7.2425,4000.0,0.0,1.0,,,,,,,
2009-11-11,11.75,11.75,11.75,11.75,7.2425,3000.0,0.0,1.0,,,,,,,
2009-11-12,11.75,11.75,11.75,11.75,7.2425,5000.0,0.0,1.0,,,,,,,
2009-11-13,11.75,11.8,11.75,11.8,7.2734,3400.0,0.0,1.0,,,,,,,
2009-11-16,11.75,11.75,11.75,11.75,7.2425,4926.0,0.0,1.0,,,,,,,
2009-11-17,11.76,11.78,11.76,11.78,7.2611,3000.0,0.0,1.0,,,,,,,
2009-11-18,11.76,11.76,11.7,11.7,7.2117,5100.0,0.0,1.0,,,,,,,
2009-11-19,11.6,11.6,11.5,11.5,7.0884,6100.0,0.0,1.0,,,,,,,
2009-11-23,11.49,11.49,11.49,11.49,7.0822,3900.0,0.0,1.0,,,,,,,
2009-11-24,11.45,11.45,11.4,11.4,7.0268,5534.0,0.0,1.0,,,,,,,
2009-11-25,11.45,11.54,11.45,11.5,7.0884,4400.0,0.0,1.0,,,,,,,
2009-11-26,11.45,11.45,11.4,11.4,7.0268,4002.0,0.0,1.0,,,,,,,
2009-11-27,11.3,11.3,11.2,11.2,6.9035,7031.0,0.0,1.0,,,,,,,
2009-11-30,11.2,11.45,10.5,11.3,6.9652,10420.0,0.0,1.0,,,,,,,
2009-12-01,10.99,11.2,10.99,11.02,6.7925,9160.0,0.0,1.0,,,,,,,
2009-12-02,11.07,11.17,11.07,11.09,6.8357,7400.0,0.0,1.0,,,,,,,
2009-12-03,11.1,11.8,11.07,11.5,7.0884,11400.0,0.0,1.0,,,,,,,
2009-12-04,11.45,11.55,11.1,11.55,7.1193,3720.0,0.0,1.0,,,,,,,
2009-12-07,11.5,11.5,11.1,11.3,6.9652,2100.0,0.0,1.0,,,,,,,
2009-12-08,11.12,11.15,11.1,11.15,6.8727,8320.0,0.0,1.0,,,,,,,
2009-12-09,11.13,11.25,11.13,11.25,6.9343,2700.0,0.0,1.0,,,,,,,
2009-12-10,11.25,11.25,11.1,11.1,6.8419,11086.0,0.0,1.0,,,,,,,
2009-12-11,11.1,11.25,11.1,11.2,6.9035,2900.0,0.0,1.0,,,,,,,
2009-12-14,11.15,11.15,11.12,11.12,6.8542,2000.0,0.0,1.0,,,,,,,
2009-12-15,11.1,11.1,11.05,11.05,6.8111,2900.0,0.0,1.0,,,,,,,
2009-12-16,11.1,11.1,11.08,11.1,6.8419,5700.0,0.0,1.0,,,,,,,
2009-12-17,11.08,11.08,11.05,11.05,6.8111,4700.0,0.0,1.0,,,,,,,
2009-12-18,11.0,11.2,10.16,10.4,6.4104,41370.0,0.0,1.0,,,,,,,
2009-12-21,11.0,11.0,10.6,10.6,6.5337,5000.0,0.0,1.0,,,,,,,
2009-12-22,10.6,10.6,10.55,10.55,6.5028,6000.0,0.0,1.0,,,,,,,
2009-12-23,10.55,10.85,10.55,10.85,6.6878,3200.0,0.0,1.0,,,,,,,
2009-12-28,10.8,10.83,10.79,10.79,6.6508,2300.0,0.0,1.0,,,,,,,
2009-12-29,10.7,10.7,10.16,10.16,6.2625,1311600.0,0.0,1.0,,,,,,,
2009-12-30,10.44,10.44,10.17,10.4,6.4104,6800.0,0.0,1.0,,,,,,,
2010-01-05,10.4,10.6,10.0,10.55,6.5028,1800.0,0.0,1.0,,"2,846.80",,,,,
2010-01-06,10.55,10.55,10.45,10.45,6.4412,3500.0,0.0,1.0,,"2,846.80",,,,,
2010-01-07,10.58,10.58,10.58,10.58,6.5214,500.0,0.0,1.0,,"2,846.80",,,,,
2010-01-08,10.55,10.55,10.4,10.4,6.4104,4000.0,0.0,1.0,,"2,846.80",,,,,
2010-01-11,10.45,10.45,10.3,10.3,6.3488,6413.0,0.0,1.0,,"2,846.80",,,,,
2010-01-12,10.3,10.4,10.05,10.4,6.4104,7700.0,0.0,1.0,,"2,846.80",,,,,
2010-01-13,10.11,10.2,10.05,10.2,6.2872,5721.0,0.0,1.0,,"2,846.80",,,,,
2010-01-14,10.34,10.35,10.34,10.35,6.3796,620.0,0.0,1.0,,"2,846.80",,,,,
2010-01-15,10.35,10.49,10.35,10.43,6.4289,8000.0,0.0,1.0,,"2,846.80",,,,,
2010-01-18,10.45,10.52,10.4,10.4,6.4104,21439.0,0.0,1.0,,"2,846.80",,,,,
2010-01-19,10.6,10.8,10.6,10.75,6.6261,28450.0,0.0,1.0,,"2,846.80",,,,,
2010-01-20,10.75,10.8,10.2,10.2,6.2872,3440.0,0.0,1.0,,"2,846.80",,,,,
2010-01-21,10.8,10.8,10.5,10.6,6.5337,1799.0,0.0,1.0,,"2,846.80",,,,,
2010-01-22,10.5,10.77,10.42,10.45,6.4412,5300.0,0.0,1.0,,"2,846.80",,,,,
2010-01-26,10.6,10.78,10.6,10.78,6.6446,327.0,0.0,1.0,,"2,846.80",,,,,
2010-01-27,10.8,10.8,10.76,10.8,6.657,9500.0,0.0,1.0,,"2,846.80",,,,,
2010-01-28,10.8,10.8,10.7,10.72,6.6076,10040.0,0.0,1.0,,"2,846.80",,,,,
2010-01-29,10.8,10.9,10.75,10.9,6.7186,7100.0,0.0,1.0,,"2,846.80",,,,,
2010-02-01,10.9,10.92,10.8,10.9,6.7186,1800.0,0.0,1.0,,"2,846.80",,,,,
2010-02-02,10.88,10.9,10.87,10.88,6.7063,5682.0,0.0,1.0,,"2,846.80",,,,,
2010-02-03,10.9,10.9,10.8,10.8,6.657,7100.0,0.0,1.0,,"2,846.80",,,,,
2010-02-04,10.81,10.81,10.65,10.65,6.5645,8300.0,0.0,1.0,,"2,846.80",,,,,
2010-02-05,10.7,10.8,10.7,10.8,6.657,2200.0,0.0,1.0,,"2,846.80",,,,,
2010-02-08,10.88,10.9,10.88,10.9,6.7186,1500.0,0.0,1.0,,"2,846.80",,,,,
2010-02-09,10.88,10.9,10.8,10.9,6.7186,6020.0,0.0,1.0,,"2,846.80",,,,,
2010-02-10,10.9,10.9,10.78,10.88,6.7063,8300.0,0.0,1.0,,"2,846.80",,,,,
2010-02-11,10.85,11.2,10.85,11.1,6.8419,3590.0,0.0,1.0,,"2,846.80",,,,,
2010-02-12,11.2,11.2,10.9,11.0,6.7802,3900.0,0.0,1.0,,"2,846.80",,,,,
2010-02-18,11.0,11.15,10.8,11.15,6.8727,5400.0,0.0,1.0,,"2,846.80",,,,,
2010-02-19,10.85,11.1,10.75,11.1,6.8419,3310.0,0.0,1.0,,"2,846.80",,,,,
2010-02-22,10.8,10.9,10.7,10.89,6.7124,11500.0,0.0,1.0,,"2,846.80",,,,,
2010-02-23,10.89,10.92,10.65,10.92,6.7309,6300.0,0.0,1.0,,"2,846.80",,,,,
2010-02-24,10.92,10.92,10.92,10.92,6.7309,100.0,0.0,1.0,,"2,846.80",,,,,
2010-02-25,11.1,11.1,11.1,11.1,6.8419,200.0,0.0,1.0,,"2,846.80",,,,,
2010-02-26,10.9,10.98,10.7,10.97,6.7618,4900.0,0.0,1.0,,"2,846.80",,,,,
2010-03-01,10.97,10.97,10.9,10.9,6.7186,1130.0,0.0,1.0,,"2,846.80",,,,,
2010-03-02,10.9,10.9,10.85,10.85,6.6878,3801.0,0.0,1.0,,"2,846.80",,,,,
2010-03-03,10.85,10.9,10.8,10.9,6.7186,304600.0,0.0,1.0,,"2,846.80",,,,,
2010-03-04,10.8,10.9,10.8,10.9,6.7186,2800.0,0.0,1.0,,"2,846.80",,,,,
2010-03-05,10.8,10.8,10.8,10.8,6.657,2300.0,0.0,1.0,,"2,846.80",,,,,
2010-03-08,10.9,10.9,10.8,10.8,6.657,4300.0,0.0,1.0,,"2,846.80",,,,,
2010-03-09,10.8,11.0,10.7,11.0,6.7802,10130.0,0.0,1.0,,"2,846.80",,,,,
2010-03-10,11.0,11.0,10.8,11.0,6.7802,400.0,0.0,1.0,,"2,846.80",,,,,
2010-03-11,11.0,11.0,10.82,10.84,6.6817,16730.0,0.0,1.0,,"2,846.80",,,,,
2010-03-12,10.67,10.67,10.59,10.67,6.6785,8210.0,0.1629,1.0,,"2,846.80",,,,,
2010-03-15,11.0,11.0,10.85,10.9,6.8225,7200.0,0.0,1.0,,"2,846.80",,,,,
2010-03-16,10.85,10.89,10.81,10.81,6.7662,4200.0,0.0,1.0,,"2,846.80",,,,,
2010-03-17,10.82,10.82,10.78,10.82,6.7724,5000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-18,10.78,10.78,10.75,10.75,6.7285,3500.0,0.0,1.0,,"2,846.80",,,,,
2010-03-19,10.75,10.75,10.71,10.71,6.7036,3500.0,0.0,1.0,,"2,846.80",,,,,
2010-03-22,10.65,10.65,10.65,10.65,6.666,5000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-23,10.6,10.6,10.5,10.5,6.5721,4000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-24,10.6,10.68,10.4,10.68,6.6847,32000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-25,10.4,10.45,10.4,10.45,6.5408,4000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-26,10.45,10.45,10.4,10.4,6.5095,6001.0,0.0,1.0,,"2,846.80",,,,,
2010-03-29,10.4,10.4,10.3,10.3,6.4469,26500.0,0.0,1.0,,"2,846.80",,,,,
2010-03-30,10.3,10.3,10.2,10.2,6.3843,5000.0,0.0,1.0,,"2,846.80",,,,,
2010-03-31,10.2,10.2,10.1,10.1,6.3218,11802.0,0.0,1.0,,"2,846.80",,,,,
2010-04-01,10.4,10.94,10.1,10.1,6.3218,10300.0,0.0,1.0,,"2,846.80",,,,,
2010-04-05,10.15,10.15,10.0,10.1,6.3218,12000.0,0.0,1.0,,"2,846.80",,,,,
2010-04-06,10.15,10.15,10.0,10.0,6.2591,8001.0,0.0,1.0,,"2,846.80",,,,,
2010-04-07,10.0,10.0,10.0,10.0,6.2591,2200.0,0.0,1.0,,"2,846.80",,,,,
2010-04-08,10.0,10.0,9.9,9.99,6.2529,2625.0,0.0,1.0,,"2,846.80",,,,,
2010-04-09,10.0,10.0,10.0,10.0,6.2591,100.0,0.0,1.0,,"2,846.80",,,,,
2010-04-12,9.91,9.91,9.9,9.9,6.1966,4500.0,0.0,1.0,,"2,846.80",,,,,
2010-04-13,9.9,9.9,9.9,9.9,6.1966,1800.0,0.0,1.0,,"2,846.80",,,,,
2010-04-14,9.9,9.9,9.85,9.85,6.1653,4000.0,0.0,1.0,,"2,846.80",,,,,
2010-04-15,9.85,10.0,9.85,10.0,6.2591,2500.0,0.0,1.0,,"2,846.80",,,,,
2010-04-16,9.88,9.88,9.8,9.8,6.1339,4500.0,0.0,1.0,,"2,846.80",,,,,
2010-04-19,9.79,9.79,9.6,9.6,6.0088,7400.0,0.0,1.0,,"2,846.80",,,,,
2010-04-20,9.61,9.61,9.5,9.5,5.9462,7094.0,0.0,1.0,,"2,846.80",,,,,
2010-04-22,9.5,9.5,9.45,9.45,5.9149,3600.0,0.0,1.0,,"2,846.80",,,,,
2010-04-23,9.9,9.9,9.55,9.55,5.9774,800.0,0.0,1.0,,"2,846.80",,,,,
2010-04-26,9.45,9.45,9.35,9.35,5.8523,21000.0,0.0,1.0,,"2,846.80",,,,,
2010-04-28,10.28,10.28,9.4,9.4,5.8836,2100.0,0.0,1.0,,"2,846.80",,,,,
2010-04-29,9.42,9.65,9.37,9.65,6.0401,4900.0,0.0,1.0,,"2,846.80",,,,,
2010-04-30,9.75,9.76,9.75,9.76,6.1089,34000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-04,9.7,9.7,9.7,9.7,6.0714,2000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-06,10.0,10.0,8.91,8.91,5.5769,2518.0,0.0,1.0,,"2,846.80",,,,,
2010-05-07,9.1,9.1,8.7,8.7,5.4455,10100.0,0.0,1.0,,"2,846.80",,,,,
2010-05-10,10.1,10.1,9.0,9.0,5.6332,700.0,0.0,1.0,,"2,846.80",,,,,
2010-05-11,9.0,9.0,9.0,9.0,5.6332,1055.0,0.0,1.0,,"2,846.80",,,,,
2010-05-12,8.9,8.9,8.7,8.9,5.5707,3926.0,0.0,1.0,,"2,846.80",,,,,
2010-05-13,8.9,8.9,8.9,8.9,5.5707,3000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-14,8.9,8.9,8.8,8.8,5.508,2300.0,0.0,1.0,,"2,846.80",,,,,
2010-05-17,9.76,9.76,8.62,8.62,5.3954,3200.0,0.0,1.0,,"2,846.80",,,,,
2010-05-18,8.63,8.63,8.63,8.63,5.4017,1000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-19,8.79,8.79,8.62,8.62,5.3954,34000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-20,8.61,8.61,8.61,8.61,5.3891,100.0,0.0,1.0,,"2,846.80",,,,,
2010-05-21,8.61,8.75,8.61,8.75,5.4767,6000.0,0.0,1.0,,"2,846.80",,,,,
2010-05-24,8.7,8.7,8.7,8.7,5.4455,500.0,0.0,1.0,,"2,846.80",,,,,
2010-05-25,9.0,9.0,8.5,8.5,5.3203,1100.0,0.0,1.0,,"2,846.80",,,,,
