Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2007-06-22,11.2,11.22,10.05,10.5,4.4677,11165320.0,,,,,,,
2007-06-25,10.5,10.7,10.3,10.6,4.5103,992754.0,,,,,,,
2007-06-26,10.69,10.85,10.52,10.85,4.6166,932126.0,,,,,,,
2007-06-27,10.94,10.94,10.5,10.9,4.6379,550056.0,,,,,,,
2007-06-28,10.89,11.2,10.8,11.2,4.7656,887153.0,,,,,,,
2007-06-29,11.15,11.45,11.15,11.25,4.7869,300650.0,,,,,,,
2007-07-02,11.25,11.66,11.2,11.6,4.9358,1370884.0,,,,,,,
2007-07-03,11.68,11.7,11.28,11.45,4.872,457934.0,,,,,,,
2007-07-04,11.39,11.45,11.25,11.45,4.872,206379.0,,,,,,,
2007-07-05,11.45,11.65,11.3,11.65,4.9571,596921.0,,,,,,,
2007-07-06,11.52,12.0,11.5,11.96,5.089,2245363.0,,,,,,,
2007-07-10,11.96,12.5,11.96,12.4,5.2762,971499.0,,,,,,,
2007-07-11,12.3,12.5,11.83,12.5,5.3187,560183.0,,,,,,,
2007-07-12,12.4,12.69,12.4,12.65,5.3825,347061.0,,,,,,,
2007-07-13,12.69,13.2,12.69,12.99,5.5273,516196.0,,,,,,,
2007-07-16,13.05,13.05,12.65,12.9,5.489,294237.0,,,,,,,
2007-07-17,12.8,13.19,12.61,13.19,5.6124,349351.0,,,,,,,
2007-07-18,12.95,13.2,12.7,13.0,5.5315,337830.0,,,,,,,
2007-07-19,13.2,13.5,12.96,13.5,5.7442,457031.0,,,,,,,
2007-07-20,13.49,13.75,12.76,13.75,5.8506,1117870.0,,,,,,,
2007-07-23,13.55,13.8,13.43,13.69,5.825,326575.0,,,,,,,
2007-07-24,13.25,13.6,12.75,13.28,5.6506,553876.0,,,,,,,
2007-07-25,13.0,13.34,12.51,12.99,5.5273,684480.0,,,,,,,
2007-07-26,12.8,13.16,12.35,12.45,5.2975,230066.0,,,,,,,
2007-07-27,12.78,12.78,11.8,12.2,5.1911,234881.0,,,,,,,
2007-07-30,12.79,12.8,12.0,12.8,5.4464,526776.0,,,,,,,
2007-07-31,12.99,12.99,12.21,12.45,5.2975,467540.0,,,,,,,
2007-08-01,12.15,12.35,11.5,12.0,5.106,472041.0,,,,,,,
2007-08-02,12.3,12.7,12.1,12.3,5.2336,353643.0,,,,,,,
2007-08-03,12.49,12.5,11.88,12.0,5.106,256128.0,,,,,,,
2007-08-06,12.3,12.35,11.5,11.9,5.0634,511129.0,,,,,,,
2007-08-07,12.05,12.45,11.55,12.45,5.2975,363535.0,,,,,,,
2007-08-08,12.3,12.5,12.2,12.5,5.3187,416008.0,,,,,,,
2007-08-09,12.45,12.49,12.14,12.3,5.2336,175117.0,,,,,,,
2007-08-10,12.0,13.25,11.9,13.25,5.6379,194736.0,,,,,,,
2007-08-13,13.19,13.19,12.35,12.8,5.4464,87957.0,,,,,,,
2007-08-14,12.98,12.99,12.1,12.5,5.3187,57820.0,,,,,,,
2007-08-15,12.45,12.69,11.65,12.0,5.106,295826.0,,,,,,,
2007-08-16,11.1,11.1,9.7,10.92,4.6464,986440.0,,,,,,,
2007-08-17,11.97,11.97,9.72,11.0,4.6805,379950.0,,,,,,,
2007-08-20,10.66,11.2,10.5,10.65,4.5315,178786.0,,,,,,,
2007-08-21,10.4,10.74,10.1,10.15,4.3189,514137.0,,,,,,,
2007-08-22,10.45,10.45,9.87,10.0,4.255,1478757.0,,,,,,,
2007-08-23,10.2,10.25,9.93,10.0,4.255,516942.0,,,,,,,
2007-08-24,10.0,10.99,10.0,10.99,4.6762,215562.0,,,,,,,
2007-08-27,10.89,10.9,10.3,10.55,4.489,517240.0,,,,,,,
2007-08-28,10.79,10.79,10.07,10.4,4.4252,455300.0,,,,,,,
2007-08-29,10.47,10.77,9.95,9.97,4.2423,1276240.0,,,,,,,
2007-08-30,10.12,10.12,9.7,9.7,4.1273,618230.0,,,,,,,
2007-08-31,9.89,10.19,9.89,10.19,4.3359,839972.0,,,,,,,
2007-09-03,10.29,10.63,10.1,10.63,4.523,112107.0,,,,,,,
2007-09-04,10.8,10.8,10.25,10.35,4.4039,1061579.0,,,,,,,
2007-09-05,10.25,10.25,10.0,10.0,4.255,1214684.0,,,,,,,
2007-09-06,10.1,10.25,10.0,10.2,4.3401,114010.0,,,,,,,
2007-09-10,10.09,10.09,9.8,10.0,4.255,152700.0,,,,,,,
2007-09-11,10.05,10.1,9.85,10.0,4.255,115323.0,,,,,,,
2007-09-12,10.0,10.0,9.71,9.8,4.1699,110754.0,,,,,,,
2007-09-13,9.99,10.0,9.5,9.5,4.0422,610117.0,,,,,,,
2007-09-14,9.5,9.69,9.3,9.5,4.0422,377636.0,,,,,,,
2007-09-17,9.5,9.5,9.1,9.1,3.8721,546954.0,,,,,,,
2007-09-18,9.38,9.5,9.12,9.5,4.0422,1214704.0,,,,,,,
2007-09-19,10.4,10.5,10.02,10.5,4.4677,1291497.0,,,,,,,
2007-09-20,10.3,10.6,10.15,10.5,4.4677,174617.0,,,,,,,
2007-09-21,10.36,10.7,10.36,10.7,4.5528,505620.0,,,,,,,
2007-09-24,10.7,10.94,10.55,10.94,4.6549,589292.0,,,,,,,
2007-09-25,10.72,11.2,10.71,11.2,4.7656,820716.0,,,,,,,
2007-09-26,11.2,11.25,11.03,11.2,4.7656,199500.0,,,,,,,
2007-09-27,11.19,11.45,11.1,11.45,4.872,346800.0,,,,,,,
2007-09-28,11.35,11.45,11.21,11.45,4.872,1716785.0,,,,,,,
2007-10-01,11.45,11.6,11.39,11.4,4.8507,325163.0,,,,,,,
2007-10-02,11.2,11.4,10.94,11.0,4.6805,238200.0,,,,,,,
2007-10-03,11.3,11.3,10.7,10.95,4.6592,194028.0,,,,,,,
2007-10-04,11.06,11.45,10.82,11.35,4.8294,174419.0,,,,,,,
2007-10-05,11.45,11.5,11.13,11.2,4.7656,191200.0,,,,,,,
2007-10-08,11.0,11.32,10.81,11.0,4.6805,207963.0,,,,,,,
2007-10-09,11.0,11.2,10.71,10.9,4.6379,191241.0,,,,,,,
2007-10-10,11.19,11.2,10.7,10.8,4.5954,58374.0,,,,,,,
2007-10-11,11.1,11.11,10.37,10.44,4.4422,242821.0,,,,,,,
2007-10-15,10.7,10.7,10.0,10.0,4.255,594800.0,,,,,,,
2007-10-16,10.15,10.15,9.85,10.0,4.255,183020.0,,,,,,,
2007-10-17,10.0,10.5,9.87,10.11,4.3018,266704.0,,,,,,,
2007-10-18,10.0,10.43,9.99,10.0,4.255,147522.0,,,,,,,
2007-10-19,9.87,9.87,9.65,9.7,4.1273,211413.0,,,,,,,
2007-10-22,9.55,9.98,9.55,9.85,4.1911,96305.0,,,,,,,
2007-10-23,9.99,9.99,9.99,9.99,4.2507,490.0,,,,,,,
2007-10-24,9.99,9.99,9.45,9.5,4.0422,311105.0,,,,,,,
2007-10-25,9.51,9.51,9.3,9.3,3.9572,1021822.0,,,,,,,
2007-10-26,9.55,9.55,9.21,9.39,3.9954,60408.0,,,,,,,
2007-10-29,9.25,9.45,9.2,9.26,3.9401,94096.0,,,,,,,
2007-10-30,9.26,9.26,8.9,9.0,3.8295,6340321.0,,,,,,,
2007-10-31,9.24,9.31,9.0,9.0,3.8295,299444.0,,,,,,,
2007-11-01,9.16,9.38,9.07,9.2,3.9146,119257.0,,,,,,,
2007-11-05,9.35,9.5,9.16,9.16,3.8975,79414.0,,,,,,,
2007-11-06,9.4,9.45,9.2,9.4,3.9997,160922.0,,,,,,,
2007-11-07,9.47,9.69,9.08,9.35,3.9784,220343.0,,,,,,,
2007-11-08,9.35,9.55,8.85,8.98,3.821,533031.0,,,,,,,
2007-11-09,9.05,9.25,8.8,9.18,3.9061,168943.0,,,,,,,
2007-11-12,9.1,9.1,8.85,8.86,3.7699,120241.0,,,,,,,
2007-11-13,8.9,8.94,8.79,8.9,3.787,124328.0,,,,,,,
2007-11-14,8.85,9.14,8.85,9.05,3.8507,44947.0,,,,,,,
2007-11-16,9.0,9.15,8.8,9.1,3.8721,20446.0,,,,,,,
2007-11-19,9.14,9.15,8.61,8.74,3.7188,147480.0,,,,,,,
2007-11-21,8.75,8.75,8.06,8.6,3.6593,492764.0,,,,,,,
2007-11-22,8.79,8.9,8.63,8.79,3.7402,3558.0,,,,,,,
2007-11-23,8.9,8.99,8.6,8.9,3.787,97640.0,,,,,,,
2007-11-26,8.9,9.0,8.8,8.8,3.7444,202100.0,,,,,,,
2007-11-27,8.85,8.85,8.55,8.85,3.7656,122550.0,,,,,,,
2007-11-28,8.98,9.15,8.9,9.1,3.8721,37629.0,,,,,,,
2007-11-29,9.2,9.35,8.75,8.9,3.787,110900.0,,,,,,,
2007-11-30,8.9,9.1,8.9,9.1,3.8721,101442.0,,,,,,,
2007-12-03,9.36,9.4,9.12,9.2,3.9146,100812.0,,,,,,,
2007-12-04,9.21,9.26,9.0,9.12,3.8806,75428.0,,,,,,,
2007-12-05,9.23,9.34,9.2,9.3,3.9572,37971.0,,,,,,,
2007-12-06,9.5,9.5,9.15,9.49,4.038,142857.0,,,,,,,
2007-12-07,9.45,9.5,9.36,9.5,4.0422,205128.0,,,,,,,
2007-12-10,9.5,9.5,9.32,9.5,4.0422,95392.0,,,,,,,
2007-12-11,9.65,9.65,9.36,9.48,4.0337,377382.0,,,,,,,
2007-12-12,9.36,9.5,9.23,9.4,3.9997,63023.0,,,,,,,
2007-12-13,9.14,9.25,8.3,8.3,3.5317,490228.0,,,,,,,
2007-12-14,8.48,8.48,7.9,8.18,3.4806,2863702.0,,,,,,,
2007-12-17,8.01,8.01,7.5,7.74,3.2933,568295.0,,,,,,,
2007-12-18,7.9,8.0,7.5,7.6,3.2338,347306.0,,,,,,,
2007-12-19,7.77,8.19,7.55,8.0,3.404,189995.0,,,,,,,
2007-12-20,8.0,8.33,8.0,8.1,3.4465,97922.0,,,,,,,
2007-12-21,8.12,8.2,8.12,8.2,3.4891,52325.0,,,,,,,
2007-12-26,8.21,8.46,8.21,8.3,3.5317,220204.0,,,,,,,
2007-12-27,8.47,8.47,8.15,8.4,3.5742,208117.0,,,,,,,
2007-12-28,8.4,8.85,8.2,8.85,3.7656,493600.0,,,,,,,
2008-01-02,8.75,9.0,8.75,8.75,3.7231,54200.0,,,,,,,
2008-01-03,8.8,8.8,8.69,8.79,3.7402,10297.0,,,,,,,
2008-01-04,8.79,8.79,8.35,8.75,3.7231,196735.0,,,,,,,
2008-01-07,8.75,8.75,8.36,8.6,3.6593,185900.0,,,,,,,
2008-01-08,8.6,8.6,8.55,8.6,3.6593,48363.0,,,,,,,
2008-01-09,8.55,8.55,8.39,8.45,3.5955,829200.0,,,,,,,
2008-01-10,8.65,8.65,8.25,8.45,3.5955,290200.0,,,,,,,
2008-01-11,8.45,8.5,8.3,8.49,3.6125,214478.0,,,,,,,
2008-01-14,8.4,8.44,8.22,8.39,3.5699,33623.0,,,,,,,
2008-01-15,8.3,8.39,7.6,7.7,3.2763,194789.0,,,,,,,
2008-01-16,7.69,7.93,7.4,7.45,3.17,206700.0,,,,,,,
2008-01-17,7.5,7.51,7.27,7.32,3.1146,587663.0,,,,,,,
2008-01-18,7.45,7.45,7.2,7.3,3.1061,231990.0,,,,,,,
2008-01-21,6.8,6.9,6.61,6.7,2.8508,221565.0,,,,,,,
2008-01-22,6.7,7.4,6.55,6.69,2.8466,58346.0,,,,,,,
2008-01-23,6.69,6.7,6.4,6.49,2.7615,266700.0,,,,,,,
2008-01-24,6.64,6.65,6.25,6.3,2.6807,209360.0,,,,,,,
2008-01-28,6.3,6.3,5.6,6.1,2.5955,344150.0,,,,,,,
2008-01-29,6.2,6.2,5.85,5.95,2.5317,415206.0,,,,,,,
2008-01-30,5.95,5.95,5.8,5.85,2.4892,174600.0,,,,,,,
2008-01-31,5.8,5.81,5.56,5.7,2.4253,677560.0,,,,,,,
2008-02-01,5.87,5.87,5.55,5.65,2.4041,82180.0,,,,,,,
2008-02-06,5.57,5.7,5.5,5.7,2.4253,128164.0,,,,,,,
2008-02-07,5.54,5.65,5.5,5.5,2.3402,122800.0,,,,,,,
2008-02-08,5.6,5.8,5.55,5.59,2.3785,723443.0,,,,,,,
2008-02-11,5.7,5.76,5.58,5.59,2.3785,185321.0,,,,,,,
2008-02-12,5.71,5.84,5.5,5.84,2.4849,313252.0,,,,,,,
