Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2018-04-23,18.15,20.57,18.05,20.25,19.946,41313700.0,501.92,,,,17.63,11.67,4.94
2018-04-24,20.7,21.6,20.62,20.62,20.3104,5087900.0,501.92,,,,17.63,11.67,4.94
2018-04-25,20.6,20.9,19.85,20.0,19.6997,5177200.0,501.92,,,,17.63,11.67,4.94
2018-04-26,20.25,20.9,19.75,20.2,19.8967,5738200.0,501.92,,,,17.63,11.67,4.94
2018-04-27,20.44,20.63,19.73,20.63,20.3203,6204200.0,501.92,,,,17.63,11.67,4.94
2018-04-30,20.62,20.62,20.19,20.4,20.0937,174200.0,501.92,,,,17.63,11.67,4.94
2018-05-02,20.11,20.65,20.11,20.65,20.34,2227700.0,501.92,,,,17.63,11.67,4.94
2018-05-03,20.55,20.59,20.25,20.4,20.0937,1007700.0,501.92,,,,17.63,11.67,4.94
2018-05-04,20.12,20.46,20.1,20.4,20.0937,154300.0,501.92,,,,17.63,11.67,4.94
2018-05-07,20.29,21.17,19.96,20.4,20.0937,239300.0,501.92,,,,17.63,11.67,4.94
2018-05-08,20.25,20.8,20.25,20.5,20.1922,91200.0,501.92,,,,17.63,11.67,4.94
2018-05-09,20.5,20.79,20.4,20.5,20.1922,269800.0,501.92,,,,17.63,11.67,4.94
2018-05-10,20.86,20.86,20.49,20.5,20.1922,5225200.0,501.92,,,,17.63,11.67,4.94
2018-05-11,20.5,20.65,20.12,20.65,20.34,1580200.0,501.92,,,,17.63,11.67,4.94
2018-05-14,20.66,21.2,20.31,20.75,20.4385,559500.0,501.92,,,,17.63,11.67,4.94
2018-05-15,20.21,20.45,20.0,20.15,19.8475,2249300.0,501.92,,,,17.63,11.67,4.94
2018-05-16,19.86,20.2,19.86,20.2,19.8967,350400.0,501.92,,,,17.63,11.67,4.94
2018-05-17,20.21,20.75,20.2,20.72,20.4089,986600.0,501.92,,,,17.63,11.67,4.94
2018-05-18,20.37,21.18,20.37,20.75,20.4385,1187100.0,501.92,,,,17.63,11.67,4.94
2018-05-21,20.8,21.98,20.5,21.0,20.6847,4582000.0,501.92,,,,17.63,11.67,4.94
2018-05-22,21.02,21.72,21.01,21.48,21.1575,282100.0,501.92,,,,17.63,11.67,4.94
2018-05-23,21.46,22.99,21.46,22.05,21.719,2204400.0,501.92,,,,17.63,11.67,4.94
2018-05-24,21.71,22.27,21.05,22.0,21.6697,1086200.0,501.92,,,,17.63,11.67,4.94
2018-05-25,22.17,22.17,21.67,21.75,21.4235,140600.0,501.92,,,,17.63,11.67,4.94
2018-05-28,22.29,22.29,20.75,21.3,20.9802,303800.0,501.92,,,,17.63,11.67,4.94
2018-05-29,21.29,21.98,21.02,21.51,21.1871,2374100.0,501.92,,,,17.63,11.67,4.94
