Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-03,67.5,68.2,65.3,66.0,10.1275,127041.0,0.0,1.0,,,,,,,
2005-01-04,66.5,66.5,64.51,65.1,9.9894,135642.0,0.0,1.0,,,,,,,
2005-01-05,64.51,65.1,64.0,64.0,9.8206,179458.0,0.0,1.0,,,,,,,
2005-01-06,64.1,64.4,61.75,62.23,9.549,138861.0,0.0,1.0,,,,,,,
2005-01-07,62.99,63.2,62.51,62.51,9.5919,58581.0,0.0,1.0,,,,,,,
2005-01-10,62.71,63.0,61.5,61.5,9.437,77258.0,0.0,1.0,,,,,,,
2005-01-11,62.43,62.43,60.21,60.82,9.3326,52784.0,0.0,1.0,,,,,,,
2005-01-12,61.02,61.99,58.6,61.99,9.5122,109451.0,0.0,1.0,,,,,,,
2005-01-13,62.01,63.5,61.6,63.4,9.7285,108564.0,0.0,1.0,,,,,,,
2005-01-14,63.2,64.0,63.1,63.5,9.7438,51035.0,0.0,1.0,,,,,,,
2005-01-17,63.99,64.0,61.4,61.4,9.4216,99343.0,0.0,1.0,,,,,,,
2005-01-18,61.5,61.5,59.3,60.0,9.2068,172800.0,0.0,1.0,,,,,,,
2005-01-19,61.19,61.19,59.51,59.6,9.1454,79670.0,0.0,1.0,,,,,,,
2005-01-20,59.3,59.4,56.8,57.0,8.7465,178918.0,0.0,1.0,,,,,,,
2005-01-21,57.36,58.0,57.1,57.36,8.8017,103720.0,0.0,1.0,,,,,,,
2005-01-24,58.48,60.98,58.0,60.35,9.2605,72999.0,0.0,1.0,,,,,,,
2005-01-26,60.81,62.89,60.61,60.8,9.3295,111057.0,0.0,1.0,,,,,,,
2005-01-27,60.7,61.0,59.51,60.23,9.2421,62932.0,0.0,1.0,,,,,,,
2005-01-28,59.9,62.5,59.9,62.4,9.5751,74923.0,0.0,1.0,,,,,,,
2005-01-31,62.8,64.25,62.8,63.5,9.7438,193449.0,0.0,1.0,,,,,,,
2005-02-01,62.2,62.9,60.61,60.67,9.3096,325212.0,0.0,1.0,,,,,,,
2005-02-02,61.5,61.8,60.5,61.01,9.3618,367030.0,0.0,1.0,,,,,,,
2005-02-03,61.46,62.0,61.0,61.5,9.437,172198.0,0.0,1.0,,,,,,,
2005-02-04,62.0,62.99,61.85,62.52,9.5935,117300.0,0.0,1.0,,,,,,,
2005-02-09,63.0,63.0,61.55,62.5,9.5904,318627.0,0.0,1.0,,,,,,,
2005-02-10,62.5,63.99,61.86,63.81,9.7914,170548.0,0.0,1.0,,,,,,,
2005-02-11,63.99,64.5,63.01,63.7,9.7746,338965.0,0.0,1.0,,,,,,,
2005-02-14,61.84,62.0,60.51,60.51,9.5736,158584.0,0.4267,1.0,,,,,,,
