Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-04-01,45.0,45.0,45.0,45.0,263.0491,245.0,0.0,1.0,,,,,,,
2005-06-27,60.02,60.02,60.02,60.02,350.8492,112.0,0.0,1.0,,,,,,,
2005-07-01,37.0,38.5,37.0,38.5,0.8895,1436.0,0.0,1.0,,,,,,,
2005-07-04,38.8,40.0,38.5,39.51,0.9129,49.0,0.0,1.0,,,,,,,
2005-07-05,39.6,40.0,38.0,38.4,0.8873,170.0,0.0,1.0,,,,,,,
2005-07-06,38.0,38.4,38.0,38.0,0.878,86.0,0.0,1.0,,,,,,,
2005-07-07,37.8,38.2,37.8,38.2,0.8826,32.0,0.0,1.0,,,,,,,
2005-07-08,38.5,39.0,38.2,38.5,0.8895,41.0,0.0,1.0,,,,,,,
2005-07-11,39.1,39.1,38.3,39.0,0.9011,84.0,0.0,1.0,,,,,,,
2005-07-12,39.0,39.8,39.0,39.4,0.9103,176.0,0.0,1.0,,,,,,,
2005-07-13,39.99,39.99,39.5,39.5,0.9127,159.0,0.0,1.0,,,,,,,
2005-07-14,39.9,40.0,39.7,40.0,0.9242,89.0,0.0,1.0,,,,,,,
2005-07-15,40.0,40.0,40.0,40.0,0.9242,68.0,0.0,1.0,,,,,,,
2005-07-18,40.0,40.1,40.0,40.09,0.9263,94.0,0.0,1.0,,,,,,,
2005-07-19,40.15,40.4,40.0,40.0,0.9242,29.0,0.0,1.0,,,,,,,
2005-07-20,40.05,40.4,40.0,40.4,0.9334,302.0,0.0,1.0,,,,,,,
2005-07-21,40.6,41.0,40.6,41.0,0.9473,3.0,0.0,1.0,,,,,,,
2005-07-22,42.0,42.0,41.0,42.0,0.9705,24.0,0.0,1.0,,,,,,,
2005-07-25,41.0,41.99,40.6,40.8,0.9426,304.0,0.0,1.0,,,,,,,
2005-07-26,41.0,41.0,40.5,40.7,0.9404,78.0,0.0,1.0,,,,,,,
2005-07-27,41.5,42.0,40.7,41.0,0.9473,194.0,0.0,1.0,,,,,,,
2005-07-28,41.5,41.5,41.0,41.2,0.9519,108.0,0.0,1.0,,,,,,,
2005-07-29,42.0,46.0,42.0,45.99,1.0626,364.0,0.0,1.0,,,,,,,
2005-08-01,47.0,47.0,45.5,46.02,1.0633,88.0,0.0,1.0,,,,,,,
2005-08-02,47.0,47.0,46.1,46.3,1.0697,66.0,0.0,1.0,,,,,,,
2005-08-03,46.5,46.5,46.01,46.5,1.0744,247.0,0.0,1.0,,,,,,,
2005-08-04,46.5,46.5,46.5,46.5,1.0744,27.0,0.0,1.0,,,,,,,
2005-08-05,46.5,47.0,46.0,46.5,1.0744,206.0,0.0,1.0,,,,,,,
2005-08-08,47.0,48.0,47.0,47.75,1.1032,18.0,0.0,1.0,,,,,,,
2005-08-09,49.0,49.0,47.24,47.5,1.0975,15.0,0.0,1.0,,,,,,,
2005-08-10,47.79,47.79,47.0,47.0,1.0859,240.0,0.0,1.0,,,,,,,
2005-08-11,48.0,48.0,47.0,47.0,1.0859,73.0,0.0,1.0,,,,,,,
2005-08-12,46.0,47.5,46.0,47.0,1.0859,68.0,0.0,1.0,,,,,,,
2005-08-15,47.5,49.0,47.4,49.0,1.1321,194.0,0.0,1.0,,,,,,,
2005-08-16,47.5,49.0,47.5,49.0,1.1321,27.0,0.0,1.0,,,,,,,
2005-08-17,49.0,51.8,48.5,51.8,1.1968,102.0,0.0,1.0,,,,,,,
2005-08-18,51.8,51.8,50.99,51.0,1.1783,10.0,0.0,1.0,,,,,,,
2005-08-19,51.8,51.8,49.0,49.0,1.1321,56.0,0.0,1.0,,,,,,,
2005-08-22,51.0,51.0,48.98,49.0,1.1321,52.0,0.0,1.0,,,,,,,
2005-08-23,49.99,49.99,48.7,49.0,1.1321,88.0,0.0,1.0,,,,,,,
2005-08-24,48.6,49.0,48.0,49.0,1.1321,235.0,0.0,1.0,,,,,,,
