Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2007-06-29,17.05,18.4,17.05,18.31,16.2868,4390600.0,,,,,,,
2007-07-02,18.29,19.98,17.81,19.6,17.4342,1596700.0,,,,,,,
2007-07-03,19.55,19.56,18.34,19.0,16.9005,680000.0,,,,,,,
2007-07-04,18.51,18.99,18.5,18.5,16.4558,250800.0,,,,,,,
2007-07-05,18.5,19.3,18.5,19.16,17.0428,1104000.0,,,,,,,
2007-07-10,20.0,20.47,20.0,20.05,17.8345,955300.0,,,,,,,
2007-07-11,20.1,20.5,19.31,20.4,18.1458,919100.0,,,,,,,
2007-07-12,20.5,21.5,20.1,20.5,18.2348,444600.0,,,,,,,
2007-07-13,21.0,21.0,20.4,20.88,18.5728,426000.0,,,,,,,
2007-07-16,20.88,21.0,20.19,20.35,18.1013,108100.0,,,,,,,
2007-07-17,20.1,20.99,19.45,20.7,18.4127,681400.0,,,,,,,
2007-07-18,20.55,20.7,20.12,20.5,18.2348,378600.0,,,,,,,
2007-07-19,20.5,20.89,20.1,20.89,18.5817,217200.0,,,,,,,
2007-07-20,20.8,21.9,20.45,21.9,19.4801,433300.0,,,,,,,
2007-07-23,21.3,22.48,21.0,21.7,19.3022,72900.0,,,,,,,
2007-07-24,21.96,22.03,20.38,20.74,18.4483,246100.0,,,,,,,
2007-07-25,21.3,21.6,19.51,20.8,18.5016,131200.0,,,,,,,
2007-07-26,20.25,20.64,19.5,20.39,18.1369,161200.0,,,,,,,
2007-07-27,20.0,20.4,19.7,19.9,17.7011,95800.0,,,,,,,
2007-07-30,19.71,20.4,19.71,20.4,18.1458,393800.0,,,,,,,
2007-07-31,20.5,21.0,20.2,20.4,18.1458,301200.0,,,,,,,
2007-08-01,20.2,20.3,19.9,20.15,17.9234,257000.0,,,,,,,
2007-08-02,20.16,20.54,19.53,19.9,17.7011,744400.0,,,,,,,
2007-08-03,19.9,19.91,18.8,18.8,16.7226,178400.0,,,,,,,
2007-08-06,19.0,19.3,18.04,18.47,16.4291,264500.0,,,,,,,
2007-08-07,19.29,19.3,18.65,19.3,17.1674,305500.0,,,,,,,
2007-08-08,19.89,20.05,19.41,20.0,17.79,461100.0,,,,,,,
2007-08-09,19.69,19.79,19.5,19.7,17.5232,201000.0,,,,,,,
2007-08-10,19.5,19.5,18.56,19.0,16.9005,371200.0,,,,,,,
2007-08-13,19.1,19.38,18.6,19.15,17.0339,229100.0,,,,,,,
2007-08-14,19.6,19.6,18.31,19.0,16.9005,193900.0,,,,,,,
2007-08-15,18.5,18.9,18.29,18.6,16.5447,839900.0,,,,,,,
2007-08-16,17.9,18.0,16.5,18.0,16.011,528800.0,,,,,,,
2007-08-17,18.5,23.0,17.01,23.0,20.4585,349400.0,,,,,,,
2007-08-20,20.0,20.0,18.6,19.0,16.9005,339100.0,,,,,,,
2007-08-21,19.39,19.43,18.31,18.8,16.7226,194000.0,,,,,,,
2007-08-22,19.0,19.19,18.52,18.75,16.6781,220200.0,,,,,,,
2007-08-23,19.0,19.1,18.62,19.1,16.9895,414900.0,,,,,,,
2007-08-24,19.5,20.7,19.1,19.61,17.4431,249700.0,,,,,,,
2007-08-27,19.64,19.99,19.16,19.6,17.4342,230000.0,,,,,,,
2007-08-28,19.7,19.7,19.0,19.19,17.0695,81700.0,,,,,,,
2007-08-29,19.5,19.5,18.9,19.2,17.0784,278300.0,,,,,,,
2007-08-30,19.69,19.69,18.8,19.0,16.9005,116500.0,,,,,,,
2007-08-31,18.98,20.0,18.98,20.0,17.79,170400.0,,,,,,,
2007-09-03,20.0,20.6,19.9,20.6,18.3237,31200.0,,,,,,,
2007-09-04,20.6,21.43,20.11,21.19,18.8485,331200.0,,,,,,,
2007-09-05,20.8,21.2,20.41,20.85,18.5461,558900.0,,,,,,,
2007-09-06,20.6,20.85,20.51,20.6,18.3237,308300.0,,,,,,,
2007-09-10,20.01,20.39,19.7,19.7,17.5232,75000.0,,,,,,,
2007-09-11,19.99,20.0,19.8,20.0,17.79,83200.0,,,,,,,
2007-09-12,19.99,19.99,19.1,19.59,17.4253,66300.0,,,,,,,
2007-09-13,19.59,19.9,19.11,19.49,17.3364,145400.0,,,,,,,
2007-09-14,19.49,19.49,18.8,19.1,16.9895,167600.0,,,,,,,
2007-09-17,19.2,19.44,18.8,18.81,16.7315,104500.0,,,,,,,
2007-09-18,19.09,20.5,18.99,20.39,18.1369,729500.0,,,,,,,
2007-09-19,20.4,20.8,19.85,20.0,17.79,396300.0,,,,,,,
