Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-28,67.0,67.0,67.0,67.0,648.6773,1525.0,0.0,1.0,,,,,,,
2005-03-11,82.95,82.95,82.95,82.95,803.1012,100.0,0.0,1.0,,,,,,,
2005-03-24,72.5,72.9,69.02,72.5,701.9269,625624.0,0.0,1.0,,,,,,,
2005-03-28,72.21,72.6,72.21,72.5,701.9269,485437.0,0.0,1.0,,,,,,,
2005-03-29,72.49,72.6,72.49,72.5,701.9269,240484.0,0.0,1.0,,,,,,,
2005-03-30,72.4,75.0,72.4,74.0,716.4496,232158.0,0.0,1.0,,,,,,,
2005-03-31,74.0,74.39,72.5,73.5,711.6087,35233.0,0.0,1.0,,,,,,,
2005-04-01,72.0,75.0,72.0,74.4,720.3223,160248.0,0.0,1.0,,,,,,,
2005-04-04,72.51,74.85,72.51,74.85,724.7029,59207.0,0.0244,1.0,,,,,,,
2005-04-05,73.01,75.0,72.5,72.7,703.8864,137046.0,0.0,1.0,,,,,,,
2005-04-06,74.49,74.49,72.5,72.51,702.0468,44051.0,0.0,1.0,,,,,,,
2005-04-07,73.0,73.9,73.0,73.9,715.5049,31275.0,0.0,1.0,,,,,,,
2005-04-08,73.9,73.91,73.5,73.9,715.5049,29172.0,0.0,1.0,,,,,,,
2005-04-11,73.5,74.51,73.25,74.0,716.4731,320788.0,0.0,1.0,,,,,,,
2005-04-12,73.95,73.95,72.99,73.0,706.791,46677.0,0.0,1.0,,,,,,,
2005-04-13,73.0,73.0,72.8,73.0,706.791,39645.0,0.0,1.0,,,,,,,
2005-04-14,73.0,73.0,72.5,72.5,701.95,247948.0,0.0,1.0,,,,,,,
2005-04-15,71.6,72.49,71.5,72.49,701.8532,21315.0,0.0,1.0,,,,,,,
2005-04-18,72.5,72.5,71.5,72.5,701.95,23900.0,0.0,1.0,,,,,,,
2005-04-19,72.49,72.52,72.49,72.5,701.95,26806.0,0.0,1.0,,,,,,,
2005-04-20,72.5,73.0,72.49,72.6,702.9182,16797.0,0.0,1.0,,,,,,,
2005-04-22,71.5,73.29,71.5,73.0,706.791,7338.0,0.0,1.0,,,,,,,
2005-04-25,72.99,73.4,71.0,71.1,688.3951,37623.0,0.0,1.0,,,,,,,
2005-04-26,71.0,72.5,71.0,72.5,701.95,45161.0,0.0,1.0,,,,,,,
2005-04-27,72.5,73.4,72.1,73.0,706.791,19032.0,0.0,1.0,,,,,,,
2005-04-28,73.0,74.0,73.0,73.0,706.791,90152.0,0.0,1.0,,,,,,,
2005-04-29,73.0,73.35,73.0,73.01,706.8879,47900.0,0.0,1.0,,,,,,,
2005-05-02,73.5,73.5,73.2,73.5,711.6321,65876.0,0.0,1.0,,,,,,,
2005-05-03,73.49,73.5,72.8,73.0,706.791,91953.0,0.0,1.0,,,,,,,
2005-05-04,73.49,73.49,72.5,73.0,706.791,55036.0,0.0,1.0,,,,,,,
2005-05-05,73.3,73.3,73.0,73.0,706.791,13000.0,0.0,1.0,,,,,,,
2005-05-06,73.0,73.0,71.46,71.46,691.8806,52270.0,0.0,1.0,,,,,,,
2005-05-09,71.5,71.5,70.5,71.0,687.4269,82700.0,0.0,1.0,,,,,,,
2005-05-10,70.99,70.99,69.49,69.5,672.9038,132522.0,0.0,1.0,,,,,,,
2005-05-11,69.05,70.0,68.5,69.0,668.0628,57431.0,0.0,1.0,,,,,,,
2005-05-12,68.5,68.5,67.0,67.0,648.6986,114877.0,0.0,1.0,,,,,,,
2005-05-13,67.0,67.0,65.0,65.0,629.3345,76235.0,0.0,1.0,,,,,,,
2005-05-16,65.0,66.29,65.0,66.29,641.8244,25811.0,0.0,1.0,,,,,,,
2005-05-17,66.3,69.0,66.3,68.01,658.4775,32409.0,0.0,1.0,,,,,,,
2005-05-18,69.1,71.0,69.0,69.4,671.9356,107833.0,0.0,1.0,,,,,,,
2005-05-19,68.4,68.98,66.0,67.6,654.5079,48930.0,0.0,1.0,,,,,,,
2005-05-20,67.6,70.0,67.1,69.0,668.0628,60800.0,0.0,1.0,,,,,,,
2005-05-23,70.0,71.5,67.31,67.5,653.5397,31513.0,0.0,1.0,,,,,,,
2005-05-24,67.5,70.0,66.7,69.0,668.0628,54741.0,0.0,1.0,,,,,,,
2005-05-25,70.0,70.0,65.0,66.63,645.1163,87502.0,0.0,1.0,,,,,,,
2005-05-27,67.5,68.5,65.8,67.35,652.0873,81677.0,0.0,1.0,,,,,,,
2005-05-30,67.3,68.5,67.3,68.03,658.6712,17324.0,0.0,1.0,,,,,,,
2005-05-31,68.85,70.0,67.0,69.9,676.7766,57400.0,0.0,1.0,,,,,,,
2005-06-01,69.8,72.5,68.6,72.5,701.95,667267.0,0.0,1.0,,,,,,,
2005-06-02,72.5,73.0,69.0,71.0,687.4269,62685.0,0.0,1.0,,,,,,,
2005-06-03,72.2,72.2,69.02,69.02,668.2564,26064.0,0.0,1.0,,,,,,,
2005-06-06,67.0,71.0,67.0,70.3,680.6494,53730.0,0.0,1.0,,,,,,,
2005-06-07,69.0,72.01,69.0,70.9,686.4587,12011.0,0.0,1.0,,,,,,,
2005-06-08,71.0,71.4,69.0,70.0,677.7448,23200.0,0.0,1.0,,,,,,,
2005-06-09,69.0,69.0,68.25,68.49,663.1249,21742.0,0.0,1.0,,,,,,,
2005-06-10,68.9,71.5,68.9,70.5,682.5859,26742.0,0.0,1.0,,,,,,,
2005-06-13,70.51,71.4,68.8,69.0,668.0628,47172.0,0.0,1.0,,,,,,,
2005-06-14,69.01,69.01,68.07,68.07,659.0584,35341.0,0.0,1.0,,,,,,,
2005-06-15,68.5,71.0,68.5,69.61,673.9688,20641.0,0.0,1.0,,,,,,,
2005-06-16,70.3,70.5,67.61,70.47,682.2954,198284.0,0.0,1.0,,,,,,,
2005-06-17,70.98,71.3,69.96,71.28,690.1379,61200.0,0.0,1.0,,,,,,,
2005-06-20,70.5,70.5,69.5,70.0,677.7448,131002.0,0.0,1.0,,,,,,,
2005-06-21,70.5,70.5,68.1,68.1,659.3489,76481.0,0.0,1.0,,,,,,,
2005-06-22,66.99,69.0,66.99,68.95,667.5787,31200.0,0.0,1.0,,,,,,,
2005-06-23,69.7,69.7,68.0,68.99,667.9659,7830.0,0.0,1.0,,,,,,,
2005-06-24,69.97,70.0,68.9,69.94,677.1639,87698.0,0.0,1.0,,,,,,,
2005-06-27,68.8,71.0,68.8,70.1,678.713,43823.0,0.0,1.0,,,,,,,
2005-06-28,70.1,70.5,70.0,70.19,679.5844,39973.0,0.0,1.0,,,,,,,
2005-06-29,70.5,70.5,70.0,70.0,677.7448,41608.0,0.0,1.0,,,,,,,
2005-06-30,70.0,70.25,69.49,69.49,672.807,59097.0,0.0,1.0,,,,,,,
2005-07-01,70.0,70.65,69.5,70.65,684.0382,44701.0,0.0,1.0,,,,,,,
2005-07-04,70.5,70.5,69.89,69.89,676.6798,3578.0,0.0,1.0,,,,,,,
2005-07-05,68.31,69.3,68.31,68.95,667.5787,6909.0,0.0,1.0,,,,,,,
2005-07-06,68.6,70.0,68.5,69.85,676.2925,15810.0,0.0,1.0,,,,,,,
2005-07-07,69.0,71.0,69.0,70.9,686.4587,24255.0,0.0,1.0,,,,,,,
2005-07-08,71.0,71.8,70.0,70.0,677.7448,40608.0,0.0,1.0,,,,,,,
2005-07-11,70.5,70.5,68.75,68.75,665.6422,7806.0,0.0,1.0,,,,,,,
2005-07-12,68.5,69.05,67.5,67.54,653.9269,80961.0,0.0,1.0,,,,,,,
2005-07-13,67.5,68.6,67.5,68.5,663.2217,135125.0,0.0,1.0,,,,,,,
2005-07-14,68.5,70.0,67.49,68.45,662.7376,55709.0,0.0,1.0,,,,,,,
