Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-03,3.94,3.94,3.72,3.76,2872.6732,295189288.0,,,,,,,
2005-01-04,3.76,3.85,3.6,3.61,2758.0718,615056086.0,,,,,,,
2005-01-05,3.62,3.63,3.47,3.55,2712.2313,390337318.0,,,,,,,
2005-01-06,3.52,3.54,3.42,3.44,2628.1903,513615453.0,,,,,,,
2005-01-07,3.46,3.58,3.41,3.48,2658.7507,187491527.0,,,,,,,
2005-01-10,3.49,3.5,3.23,3.46,2643.4705,599794794.0,,,,,,,
2005-01-11,3.38,3.49,3.35,3.49,2666.3908,334257561.0,,,,,,,
2005-01-12,3.57,3.57,3.41,3.5,2674.0309,287175263.0,,,,,,,
2005-01-13,3.55,3.6,3.33,3.4,2597.63,311934239.0,,,,,,,
2005-01-14,3.34,3.39,3.23,3.28,2505.9489,1185182288.0,,,,,,,
2005-01-17,3.28,3.32,3.18,3.21,2452.4683,121409509.0,,,,,,,
2005-01-18,3.3,3.3,3.05,3.11,2376.0674,802040515.0,,,,,,,
2005-01-19,3.14,3.27,3.13,3.17,2421.908,590346230.0,,,,,,,
2005-01-20,3.13,3.15,3.05,3.08,2353.1472,1040025998.0,,,,,,,
2005-01-21,3.13,3.22,3.12,3.15,2406.6278,295570733.0,,,,,,,
2005-01-24,3.16,3.3,3.15,3.21,2452.4683,239303236.0,,,,,,,
2005-01-26,3.26,3.43,3.24,3.39,2589.9899,397035835.0,,,,,,,
2005-01-27,3.38,3.38,3.25,3.32,2536.5093,679879838.0,,,,,,,
2005-01-28,3.27,3.39,3.22,3.34,2551.7895,498600981.0,,,,,,,
2005-01-31,3.4,3.53,3.37,3.53,2696.9511,397730984.0,,,,,,,
2005-02-01,3.5,3.6,3.47,3.5,2674.0309,830006163.0,,,,,,,
2005-02-02,3.54,3.65,3.51,3.6,2750.4318,308956272.0,,,,,,,
2005-02-03,3.64,3.72,3.6,3.72,2842.1128,563732466.0,,,,,,,
2005-02-04,3.75,3.81,3.73,3.76,2872.6732,318236484.0,,,,,,,
2005-02-09,3.9,3.9,3.66,3.72,2842.1128,164223849.0,,,,,,,
2005-02-10,3.75,3.93,3.71,3.89,2971.9943,367647620.0,,,,,,,
2005-02-11,3.89,4.0,3.75,3.89,2971.9943,330666140.0,,,,,,,
2005-02-14,3.82,3.92,3.82,3.92,2994.9146,361283815.0,,,,,,,
2005-02-15,3.88,4.01,3.8,3.95,3017.8348,392072835.0,,,,,,,
2005-02-16,3.99,4.01,3.76,3.77,2880.3133,819036713.0,,,,,,,
2005-02-17,3.87,4.06,3.85,4.0,3056.0353,495573276.0,,,,,,,
2005-02-18,3.95,4.05,3.84,3.88,2964.3542,656930211.0,,,,,,,
2005-02-21,3.94,3.94,3.83,3.92,2994.9146,116533958.0,,,,,,,
2005-02-22,3.81,3.99,3.81,3.83,2926.1538,979595828.0,,,,,,,
2005-02-23,3.9,4.0,3.83,4.0,3056.0353,537586565.0,,,,,,,
2005-02-24,4.0,4.22,4.0,4.19,3201.197,534219050.0,,,,,,,
2005-02-25,4.1,4.24,4.02,4.08,3117.156,260853146.0,,,,,,,
2005-02-28,4.08,4.1,3.94,4.0,3056.0353,210454413.0,,,,,,,
2005-03-01,3.94,4.03,3.94,3.99,3048.3952,250050748.0,,,,,,,
2005-03-02,3.95,4.22,3.95,4.19,3201.197,155411292.0,,,,,,,
2005-03-03,4.23,4.32,4.06,4.13,3155.3564,474381037.0,,,,,,,
2005-03-04,4.2,4.38,4.2,4.38,3346.3586,359380191.0,,,,,,,
2005-03-07,4.38,4.5,4.33,4.5,3438.0397,409190419.0,,,,,,,
2005-03-08,4.5,4.53,4.37,4.5,3438.0397,291396311.0,,,,,,,
2005-03-09,4.4,4.59,4.35,4.5,3438.0397,759500730.0,,,,,,,
2005-03-10,4.35,4.53,4.18,4.53,3460.96,449454874.0,,,,,,,
2005-03-11,4.63,4.7,4.4,4.55,3476.2401,852191393.0,,,,,,,
2005-03-14,4.42,4.75,4.42,4.74,3621.4018,469095767.0,,,,,,,
2005-03-15,4.66,4.75,4.41,4.5,3438.0397,502787272.0,,,,,,,
2005-03-16,4.44,4.57,4.3,4.47,3415.1194,311169525.0,,,,,,,
2005-03-17,4.3,4.49,4.25,4.25,3247.0375,436849128.0,,,,,,,
2005-03-18,4.33,4.33,4.03,4.03,3078.9555,468865858.0,,,,,,,
2005-03-21,4.07,4.1,3.99,4.05,3094.2357,481293352.0,,,,,,,
2005-03-22,4.07,4.24,3.92,3.92,2994.9146,466954344.0,,,,,,,
2005-03-23,3.9,3.99,3.7,3.94,3010.1948,206518294.0,,,,,,,
2005-03-24,4.2,4.2,3.9,3.9,2979.6344,126393151.0,,,,,,,
2005-03-28,3.9,3.98,3.85,3.95,3017.8348,162932788.0,,,,,,,
2005-03-29,3.92,4.05,3.81,3.89,2971.9943,332046159.0,,,,,,,
2005-03-30,3.92,4.09,3.86,3.87,2956.7141,283177044.0,,,,,,,
2005-03-31,3.97,4.03,3.81,3.85,2941.434,258680844.0,,,,,,,
