Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2006-03-09,33.0,33.9999,32.55,33.9999,1.6509,38292036.0,,,,,,,
2006-03-10,33.8601,36.9999,33.8001,35.0001,1.6994,12025511.0,,,,,,,
2006-03-13,35.4999,36.2499,35.0001,35.4,1.7189,3435003.0,,,,,,,
2006-03-14,35.1999,36.2301,35.1,35.4999,1.7237,4510504.0,,,,,,,
2006-03-15,35.49,36.0999,35.01,36.0,1.748,3966004.0,,,,,,,
2006-03-16,35.4999,35.7999,34.65,34.65,1.6825,1911002.0,,,,,,,
2006-03-17,34.6599,35.9799,33.8001,35.9001,1.7431,4206004.0,,,,,,,
2006-03-20,35.49,36.51,34.6101,36.21,1.7582,2665503.0,,,,,,,
2006-03-21,36.0,37.2,35.7,36.8001,1.7868,6433506.0,,,,,,,
2006-03-22,36.3,36.9999,36.3,36.9,1.7917,1806002.0,,,,,,,
2006-03-23,36.8001,36.96,35.4999,36.8001,1.7868,762001.0,,,,,,,
2006-03-24,36.5199,36.8199,35.4999,36.5001,1.7723,2862003.0,,,,,,,
2006-03-27,36.4899,36.5001,35.4999,35.4999,1.7237,3051003.0,,,,,,,
2006-03-28,35.49,35.49,33.0,35.0001,1.6994,10804510.0,,,,,,,
2006-03-29,35.0001,35.9001,34.5999,35.4,1.7189,5043005.0,,,,,,,
2006-03-30,35.4,35.9901,35.0001,35.9901,1.7475,1743002.0,,,,,,,
2006-03-31,35.1,36.2001,35.1,36.0,1.748,4242004.0,,,,,,,
2006-04-03,36.0,37.47,35.7501,36.9999,1.7966,3205503.0,,,,,,,
2006-04-04,36.9999,36.9999,36.0,36.6999,1.782,1096501.0,,,,,,,
2006-04-05,36.1599,36.8901,36.0,36.6999,1.782,3228003.0,,,,,,,
2006-04-06,36.69,36.8601,36.3,36.8001,1.7868,195000.0,,,,,,,
2006-04-07,36.7899,36.8001,36.4101,36.6999,1.782,279000.0,,,,,,,
2006-04-10,36.3,37.2099,36.2499,37.1499,1.8038,1813502.0,,,,,,,
2006-04-11,36.9999,37.2399,36.8001,37.05,1.799,2458502.0,,,,,,,
2006-04-12,36.6099,37.4001,36.2001,36.9999,1.7966,5104505.0,,,,,,,
2006-04-13,39.0,42.0501,38.4999,41.0001,1.9908,4138504.0,,,,,,,
2006-04-17,41.01,42.0,40.98,42.0,2.0393,2806503.0,,,,,,,
2006-04-18,42.0099,42.5001,41.6001,42.0,2.0393,1221001.0,,,,,,,
2006-04-19,41.5101,41.9499,41.0001,41.0001,1.9908,1756502.0,,,,,,,
2006-04-20,40.2201,41.0001,39.5499,40.5,1.9665,813001.0,,,,,,,
2006-04-24,40.5,40.5,39.0,39.9501,1.9398,1405501.0,,,,,,,
2006-04-25,39.3,40.0401,39.3,39.9501,1.9398,271500.0,,,,,,,
2006-04-26,39.8901,40.2,39.0099,40.2,1.9519,3267003.0,,,,,,,
2006-04-27,39.8901,40.2999,39.15,39.9999,1.9422,1485001.0,,,,,,,
2006-04-28,40.29,41.0001,39.9999,41.0001,1.9908,1198501.0,,,,,,,
2006-05-02,39.8001,43.0101,39.8001,43.0101,2.0884,6202506.0,,,,,,,
2006-05-03,42.2499,42.2499,40.5,41.7999,2.0296,493500.0,,,,,,,
2006-05-04,41.5899,41.9901,41.1801,41.4999,2.0151,784501.0,,,,,,,
2006-05-05,41.4,42.0,40.5999,41.4,2.0102,631501.0,,,,,,,
2006-05-08,41.0001,41.1999,40.77,40.77,1.9796,337500.0,,,,,,,
2006-05-09,40.41,41.8101,39.9999,41.2599,2.0034,859501.0,,,,,,,
2006-05-10,41.1999,42.9999,41.1999,42.5001,2.0636,13704013.0,,,,,,,
2006-05-11,42.8001,42.9999,41.1999,41.79,2.0291,3489003.0,,,,,,,
2006-05-12,40.6299,41.7,40.1001,41.1,1.9956,718501.0,,,,,,,
2006-05-15,40.1001,41.1,39.5001,40.35,1.9592,1251001.0,,,,,,,
2006-05-16,40.8999,40.8999,38.4999,40.2501,1.9544,1236001.0,,,,,,,
2006-05-17,40.5,40.5,39.0,39.3,1.9082,4195504.0,,,,,,,
2006-05-18,39.9801,40.2,39.3201,39.9999,1.9422,3348003.0,,,,,,,
2006-05-19,39.0,40.1001,39.0,39.5001,1.9179,1884002.0,,,,,,,
2006-05-22,38.9601,38.9601,36.9999,38.4501,1.867,927001.0,,,,,,,
2006-05-23,38.5101,38.5101,37.86,37.89,1.8398,435000.0,,,,,,,
2006-05-24,36.9999,36.9999,35.01,36.5001,1.7723,2122502.0,,,,,,,
2006-05-25,36.0,37.8,35.9001,36.6999,1.782,1252501.0,,,,,,,
2006-05-26,36.9999,37.8,36.9999,37.5,1.8208,2968503.0,,,,,,,
2006-05-29,37.89,37.89,37.2,37.2999,1.8111,133500.0,,,,,,,
2006-05-30,38.0001,38.0001,36.9999,36.9999,1.7966,1651502.0,,,,,,,
2006-05-31,37.29,38.7999,37.29,38.7999,1.884,3880504.0,,,,,,,
2006-06-01,38.7999,39.99,38.7,38.7,1.8791,826501.0,,,,,,,
2006-06-02,38.4999,38.7099,38.0001,38.0001,1.8451,723001.0,,,,,,,
2006-06-05,36.9999,37.05,36.5001,36.9999,1.7966,940501.0,,,,,,,
2006-06-06,36.0,37.2,35.0001,37.2,1.8063,483000.0,,,,,,,
2006-06-07,36.21,36.21,36.0,36.0,1.748,52500.0,,,,,,,
2006-06-08,36.0,36.0,33.9999,35.0001,1.6994,2115002.0,,,,,,,
2006-06-09,35.0001,35.4501,33.6999,34.7499,1.6873,175500.0,,,,,,,
2006-06-12,34.5,34.5,32.04,32.04,1.5557,502500.0,,,,,,,
2006-06-13,32.49,32.49,30.5001,32.25,1.5659,1182001.0,,,,,,,
2006-06-14,33.0999,33.0999,32.0001,32.58,1.5819,271500.0,,,,,,,
2006-06-16,31.5999,32.4999,31.4001,31.4001,1.5246,423000.0,,,,,,,
2006-06-19,32.4,32.4,29.9499,29.9499,1.4542,1539001.0,,,,,,,
2006-06-20,30.6399,30.99,28.35,28.5999,1.3887,1822502.0,,,,,,,
2006-06-21,28.9299,29.0001,28.1001,28.5,1.3838,2910003.0,,,,,,,
2006-06-22,28.5,29.0499,27.5301,27.5301,1.3367,411000.0,,,,,,,
2006-06-23,27.8001,29.9901,27.5001,29.9901,1.4562,3997504.0,,,,,,,
2006-06-26,29.0001,31.8,29.0001,30.0,1.4567,690001.0,,,,,,,
2006-06-27,29.6001,30.3501,28.5,29.0001,1.4081,589501.0,,,,,,,
2006-06-28,28.89,29.4999,28.4001,29.0001,1.4081,2272502.0,,,,,,,
2006-06-29,29.0001,31.5,29.0001,30.6999,1.4907,5491505.0,,,,,,,
2006-06-30,32.0001,32.9901,30.8001,31.7001,1.5392,1461001.0,,,,,,,
2006-07-03,32.0001,34.0599,32.0001,33.6501,1.6339,897001.0,,,,,,,
2006-07-04,33.9501,35.2101,33.66,34.89,1.6941,118500.0,,,,,,,
