Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2005-01-03,76.5,77.5,74.31,74.85,9.6128,256752.0,,,,,,,
2005-01-04,74.86,75.0,71.52,71.8,9.2211,281421.0,,,,,,,
2005-01-05,72.05,72.43,70.4,71.3,9.1569,434660.0,,,,,,,
2005-01-06,71.35,71.7,69.0,71.0,9.1183,208191.0,,,,,,,
2005-01-07,71.87,74.0,71.5,72.9,9.3623,328767.0,,,,,,,
2005-01-10,72.5,73.69,71.71,72.3,9.2853,218133.0,,,,,,,
2005-01-11,73.0,73.0,70.81,71.9,9.2339,148434.0,,,,,,,
2005-01-12,73.0,73.4,69.79,71.48,9.18,359768.0,,,,,,,
2005-01-13,72.9,75.42,72.3,74.99,9.6308,538932.0,,,,,,,
2005-01-14,74.58,79.3,74.1,78.5,10.0815,459600.0,,,,,,,
2005-01-17,78.6,79.0,77.5,77.5,9.9531,71797.0,,,,,,,
2005-01-18,77.49,78.99,76.3,78.2,10.043,528516.0,,,,,,,
2005-01-19,78.5,78.87,77.05,77.7,9.9788,243854.0,,,,,,,
2005-01-20,76.1,78.4,74.66,76.9,9.8761,403952.0,,,,,,,
2005-01-21,77.0,82.0,77.0,80.1,10.287,485880.0,,,,,,,
2005-01-24,80.01,83.06,80.01,81.75,10.4989,225155.0,,,,,,,
2005-01-26,81.2,81.98,80.01,81.5,10.4668,246299.0,,,,,,,
2005-01-27,80.5,80.71,79.05,80.71,10.3654,256727.0,,,,,,,
2005-01-28,80.41,80.7,78.8,79.3,10.1843,165695.0,,,,,,,
2005-01-31,80.0,80.0,78.6,79.24,10.1766,134284.0,,,,,,,
2005-02-01,79.4,80.45,79.01,79.6,10.2228,373658.0,,,,,,,
2005-02-02,80.0,80.68,78.8,78.8,10.1201,170314.0,,,,,,,
2005-02-03,78.8,78.9,77.3,77.8,9.9916,87282.0,,,,,,,
2005-02-04,77.8,78.9,76.0,77.69,9.9775,137217.0,,,,,,,
2005-02-09,77.91,77.91,76.5,76.5,9.8247,193929.0,,,,,,,
2005-02-10,76.6,77.55,75.3,76.11,9.7746,243153.0,,,,,,,
2005-02-11,76.45,77.15,75.3,75.8,9.7348,255620.0,,,,,,,
2005-02-14,75.8,77.46,75.5,77.01,9.8902,284982.0,,,,,,,
2005-02-15,76.8,78.9,76.8,78.5,10.0815,264812.0,,,,,,,
2005-02-16,79.0,79.2,77.7,78.0,10.0173,540286.0,,,,,,,
2005-02-17,79.5,80.7,78.01,79.8,10.2485,425794.0,,,,,,,
2005-02-18,80.0,82.3,79.5,81.3,10.4411,144858.0,,,,,,,
2005-02-21,81.9,83.5,81.22,83.5,10.7237,108858.0,,,,,,,
2005-02-22,88.5,90.37,86.3,86.6,11.1218,1383167.0,,,,,,,
2005-02-23,87.85,90.2,87.2,90.11,11.5726,1108477.0,,,,,,,
2005-02-24,91.0,95.88,91.0,95.75,12.2969,628102.0,,,,,,,
2005-02-25,96.01,96.5,90.5,92.5,11.8795,545375.0,,,,,,,
2005-02-28,93.99,93.99,89.77,90.5,11.6227,502553.0,,,,,,,
2005-03-01,90.21,91.0,87.6,87.6,11.2502,733629.0,,,,,,,
2005-03-02,87.64,90.1,86.2,89.7,11.5199,783858.0,,,,,,,
2005-03-03,92.99,93.5,91.5,92.5,11.8795,496933.0,,,,,,,
2005-03-04,93.6,95.5,93.12,95.5,12.2648,500209.0,,,,,,,
2005-03-07,96.5,97.0,94.3,94.87,12.1839,518266.0,,,,,,,
2005-03-08,94.4,94.5,91.65,93.2,11.9694,382361.0,,,,,,,
2005-03-09,92.7,94.6,92.49,92.49,11.8782,285187.0,,,,,,,
2005-03-10,92.85,93.5,88.85,90.4,11.6098,333061.0,,,,,,,
2005-03-11,91.99,92.35,90.02,90.3,11.597,306464.0,,,,,,,
2005-03-14,90.3,91.3,88.23,89.0,11.43,239118.0,,,,,,,
2005-03-15,90.0,90.5,88.2,88.3,11.3401,549675.0,,,,,,,
2005-03-16,88.5,88.5,86.0,87.5,11.2374,667688.0,,,,,,,
2005-03-17,87.0,91.74,86.36,91.7,11.7768,434897.0,,,,,,,
2005-03-18,91.5,91.75,89.5,90.13,11.5751,364842.0,,,,,,,
2005-03-21,91.68,92.3,89.1,89.1,11.4429,282700.0,,,,,,,
2005-03-22,89.75,91.49,88.35,88.7,11.3915,373815.0,,,,,,,
2005-03-23,88.3,89.5,83.3,83.4,10.7108,377045.0,,,,,,,
2005-03-24,85.9,87.4,84.74,86.3,11.0833,234306.0,,,,,,,
2005-03-28,87.0,87.48,83.7,84.15,10.8072,393691.0,,,,,,,
2005-03-29,84.21,85.51,80.01,80.2,10.2999,430267.0,,,,,,,
2005-03-30,81.8,82.97,80.6,82.71,10.6222,354922.0,,,,,,,
2005-03-31,83.01,85.45,83.01,85.0,10.9163,370866.0,,,,,,,
2005-04-01,86.0,87.0,84.31,84.5,10.8521,217322.0,,,,,,,
2005-04-04,83.8,83.8,81.82,82.1,10.5439,237082.0,,,,,,,
2005-04-05,83.1,83.8,80.6,81.2,10.4283,272737.0,,,,,,,
2005-04-06,82.0,82.0,79.95,80.0,10.2742,490626.0,,,,,,,
2005-04-07,80.9,81.5,79.7,81.5,10.4668,397968.0,,,,,,,
2005-04-08,81.5,82.6,80.0,81.5,10.4668,171421.0,,,,,,,
2005-04-11,81.6,81.64,80.18,81.1,10.4154,115934.0,,,,,,,
2005-04-12,81.08,81.08,78.5,79.25,10.1779,402075.0,,,,,,,
2005-04-13,80.0,80.5,75.4,75.51,9.6975,1296573.0,,,,,,,
2005-04-14,76.0,76.03,71.5,71.9,9.2339,983845.0,,,,,,,
2005-04-15,70.5,73.2,69.9,71.5,9.3265,705159.0,,,,,,,
2005-04-18,71.1,72.79,70.2,71.8,9.3656,409849.0,,,,,,,
2005-04-19,73.15,73.87,72.5,73.5,9.5873,654157.0,,,,,,,
2005-04-20,74.2,75.0,72.51,72.6,9.47,1094825.0,,,,,,,
2005-04-22,74.29,74.29,71.0,72.3,9.4308,341190.0,,,,,,,
2005-04-25,72.2,74.8,72.0,74.3,9.6917,195675.0,,,,,,,
2005-04-26,74.01,74.87,72.7,72.8,9.496,441441.0,,,,,,,
2005-04-27,72.0,72.01,70.3,71.5,9.3265,882848.0,,,,,,,
2005-04-28,70.2,70.2,67.03,67.7,8.8308,805932.0,,,,,,,
2005-04-29,69.0,69.99,66.7,68.5,8.9351,576967.0,,,,,,,
2005-05-02,69.2,69.2,66.65,68.0,8.8699,452688.0,,,,,,,
2005-05-03,68.11,68.98,67.3,67.65,8.8243,449998.0,,,,,,,
2005-05-04,68.98,69.96,67.71,69.5,9.0656,392525.0,,,,,,,
2005-05-05,70.0,70.6,67.8,68.6,8.9482,243564.0,,,,,,,
2005-05-06,69.5,70.45,69.1,69.4,9.0525,124177.0,,,,,,,
2005-05-09,70.2,70.5,69.14,70.5,9.196,188294.0,,,,,,,
2005-05-10,70.5,71.0,67.8,68.2,8.896,395409.0,,,,,,,
2005-05-11,68.5,69.49,66.7,67.7,8.8308,445281.0,,,,,,,
2005-05-12,67.78,68.24,63.85,64.6,8.4264,899348.0,,,,,,,
2005-05-13,64.8,65.15,62.19,64.0,8.3482,571406.0,,,,,,,
2005-05-16,64.0,66.8,63.0,66.8,8.7134,190448.0,,,,,,,
2005-05-17,66.1,67.68,65.5,67.0,8.7395,301576.0,,,,,,,
2005-05-18,67.68,70.75,67.68,70.75,9.2286,391435.0,,,,,,,
2005-05-19,69.5,71.7,69.06,70.5,9.196,341830.0,,,,,,,
