Date,Open,High,Low,Close,Adj Close,Volume,EBIT_IFRS,EV,EBIT_EV,EV_EBIT,ROE,ROIC,ROA
2009-01-02,2.57,2.57,2.57,2.57,1.89,147.0,,,,,,,
2009-01-05,2.7,2.7,2.64,2.64,1.94,133364.0,,,,,,,
2009-01-06,2.58,2.83,2.58,2.83,2.08,46765.0,,,,,,,
2009-01-07,2.83,2.83,2.61,2.62,1.93,212585.0,,,,,,,
2009-01-08,2.62,2.62,2.6,2.6,1.92,104006.0,,,,,,,
2009-01-09,2.6,2.64,2.6,2.6,1.92,21833.0,,,,,,,
2009-01-12,2.58,2.58,2.54,2.54,1.87,14310.0,,,,,,,
2009-01-13,2.54,2.64,2.54,2.58,1.9,1403568.0,,,,,,,
2009-01-14,2.58,2.58,2.54,2.54,1.87,505721.0,,,,,,,
2009-01-15,2.54,2.56,2.54,2.55,1.88,306117.0,,,,,,,
2009-01-16,2.55,2.84,2.55,2.78,2.04,97515.0,,,,,,,
2009-01-19,2.77,2.77,2.73,2.75,2.02,24046.0,,,,,,,
2009-01-20,2.74,2.78,2.64,2.75,2.02,1520705.0,,,,,,,
2009-01-21,2.75,2.78,2.64,2.78,2.04,66682.0,,,,,,,
2009-01-22,2.71,2.78,2.71,2.77,2.03,1477922.0,,,,,,,
2009-01-23,2.68,2.85,2.68,2.83,2.08,22276.0,,,,,,,
2009-01-26,2.83,2.83,2.82,2.82,2.07,14162.0,,,,,,,
2009-01-27,2.81,2.81,2.65,2.71,1.99,90876.0,,,,,,,
2009-01-28,2.71,2.75,2.65,2.71,1.99,148559.0,,,,,,,
2009-01-29,2.65,2.68,2.65,2.68,1.97,13867.0,,,,,,,
2009-01-30,2.69,2.69,2.68,2.68,1.97,2077913.0,,,,,,,
2009-02-02,2.68,2.68,2.68,2.68,1.97,147.0,,,,,,,
2009-02-03,2.71,2.71,2.64,2.64,1.94,509852.0,,,,,,,
2009-02-04,2.65,2.84,2.65,2.7,1.98,155935.0,,,,,,,
2009-02-05,2.7,2.7,2.64,2.7,1.98,955382.0,,,,,,,
2009-02-06,2.7,2.76,2.65,2.76,2.03,80697.0,,,,,,,
2009-02-09,2.76,2.76,2.76,2.76,2.03,7081.0,,,,,,,
2009-02-10,2.7,2.85,2.7,2.79,2.05,94564.0,,,,,,,
2009-02-11,2.81,2.81,2.78,2.79,2.05,5310.0,,,,,,,
2009-02-12,2.75,2.79,2.71,2.71,1.99,13572.0,,,,,,,
2009-02-13,2.85,2.85,2.8,2.8,2.06,4868.0,,,,,,,
2009-02-16,2.8,2.8,2.72,2.8,2.06,3835.0,,,,,,,
2009-02-17,2.78,2.78,2.78,2.78,2.04,3835.0,,,,,,,
2009-02-18,2.77,2.77,2.75,2.75,2.02,205799.0,,,,,,,
2009-02-19,2.78,2.78,2.64,2.73,2.01,355834.0,,,,,,,
2009-02-20,2.75,2.75,2.71,2.75,2.02,10621.0,,,,,,,
2009-02-25,2.75,2.75,2.74,2.75,2.02,5015.0,,,,,,,
2009-02-26,2.77,2.77,2.64,2.7,1.98,218782.0,,,,,,,
2009-02-27,2.64,2.69,2.64,2.66,1.95,279858.0,,,,,,,
2009-03-02,2.64,2.65,2.64,2.64,1.94,346245.0,,,,,,,
2009-03-03,2.64,2.71,2.64,2.71,1.99,219224.0,,,,,,,
2009-03-04,2.71,2.71,2.65,2.71,1.99,67862.0,,,,,,,
2009-03-05,2.68,2.73,2.68,2.73,2.01,38061.0,,,,,,,
2009-03-06,2.73,2.73,2.73,2.73,2.01,147.0,,,,,,,
2009-03-09,2.73,2.73,2.64,2.68,1.97,205062.0,,,,,,,
2009-03-10,2.73,2.73,2.64,2.64,1.94,547324.0,,,,,,,
2009-03-11,2.74,2.74,2.64,2.64,1.94,347130.0,,,,,,,
2009-03-12,2.68,2.68,2.6,2.64,1.94,1583108.0,,,,,,,
2009-03-13,2.71,2.71,2.61,2.64,1.94,408206.0,,,,,,,
2009-03-16,2.64,2.72,2.61,2.72,2.0,720520.0,,,,,,,
2009-03-17,2.72,2.72,2.72,2.72,2.0,0.0,,,,,,,
2009-03-18,2.63,2.71,2.63,2.64,1.94,2379015.0,,,,,,,
2009-03-19,2.74,2.74,2.68,2.68,1.97,6786.0,,,,,,,
2009-03-20,2.74,2.74,2.68,2.74,2.01,2803.0,,,,,,,
2009-03-23,2.78,2.78,2.78,2.78,2.04,147.0,,,,,,,
2009-03-24,2.77,2.78,2.77,2.78,2.04,7081.0,,,,,,,
2009-03-25,2.78,2.78,2.78,2.78,2.04,147.0,,,,,,,
2009-03-26,2.81,2.91,2.68,2.85,2.09,18440.0,,,,,,,
2009-03-27,2.81,2.92,2.81,2.92,2.15,16375.0,,,,,,,
2009-03-30,2.91,3.0,2.91,2.98,2.19,45585.0,,,,,,,
2009-03-31,2.98,2.98,2.71,2.71,1.99,365276.0,,,,,,,
2009-04-01,2.71,2.85,2.71,2.85,2.09,84680.0,,,,,,,
2009-04-02,2.91,3.05,2.91,3.04,2.23,49273.0,,,,,,,
2009-04-03,3.04,3.12,3.04,3.12,2.29,17555.0,,,,,,,
2009-04-06,3.12,3.22,3.11,3.22,2.37,482854.0,,,,,,,
2009-04-07,3.22,3.22,3.13,3.22,2.37,402600.0,,,,,,,
2009-04-08,3.28,3.44,3.28,3.38,2.49,201964.0,,,,,,,
2009-04-09,3.42,3.49,3.39,3.46,2.54,7081.0,,,,,,,
2009-04-13,3.45,3.56,3.39,3.46,2.54,31570.0,,,,,,,
2009-04-14,3.39,3.39,3.31,3.31,2.44,33193.0,,,,,,,
2009-04-15,3.33,3.39,3.29,3.29,2.42,57535.0,,,,,,,
2009-04-16,3.27,3.27,3.15,3.15,2.32,48978.0,,,,,,,
2009-04-17,3.15,3.27,3.05,3.27,2.4,43962.0,,,,,,,
2009-04-20,3.25,3.25,3.2,3.2,2.35,295.0,,,,,,,
2009-04-22,3.12,3.25,3.12,3.25,2.39,6786.0,,,,,,,
2009-04-23,3.25,3.25,3.12,3.12,2.29,28915.0,,,,,,,
2009-04-24,3.15,3.19,3.15,3.19,2.34,11507.0,,,,,,,
2009-04-27,3.22,3.22,3.12,3.12,2.29,9146.0,,,,,,,
2009-04-28,3.14,3.25,3.14,3.25,2.39,189719.0,,,,,,,
2009-04-29,3.31,3.49,3.28,3.32,2.44,74648.0,,,,,,,
2009-04-30,3.4,3.4,3.31,3.32,2.44,34226.0,,,,,,,
2009-05-04,3.36,3.42,3.3,3.42,2.52,208012.0,,,,,,,
2009-05-05,3.42,3.46,3.38,3.46,2.54,64911.0,,,,,,,
2009-05-06,3.46,3.49,3.36,3.36,2.47,30390.0,,,,,,,
2009-05-07,3.39,3.39,3.23,3.23,2.37,22129.0,,,,,,,
2009-05-08,3.29,3.32,3.22,3.22,2.37,10621.0,,,,,,,
2009-05-11,3.28,3.29,3.28,3.29,2.42,14900.0,,,,,,,
2009-05-12,3.29,3.36,3.25,3.36,2.47,23604.0,,,,,,,
2009-05-13,3.26,3.32,3.25,3.32,2.44,11949.0,,,,,,,
2009-05-14,3.32,3.32,3.25,3.32,2.44,12834.0,,,,,,,
2009-05-15,3.29,3.39,3.25,3.32,2.44,22129.0,,,,,,,
2009-05-18,3.39,3.49,3.32,3.49,2.57,46765.0,,,,,,,
2009-05-19,3.55,3.55,3.54,3.54,2.6,2065.0,,,,,,,
2009-05-20,3.55,3.56,3.52,3.52,2.59,33193.0,,,,,,,
2009-05-21,3.49,3.49,3.42,3.45,2.54,20063.0,,,,,,,
2009-05-22,3.45,3.45,3.39,3.39,2.49,15047.0,,,,,,,
2009-05-25,3.39,3.42,3.39,3.42,2.51,221585.0,,,,,,,
2009-05-26,3.42,3.45,3.42,3.45,2.54,31718.0,,,,,,,
2009-05-27,3.49,3.49,3.32,3.33,2.45,74500.0,,,,,,,
2009-05-28,3.32,3.32,3.29,3.29,2.42,21096.0,,,,,,,
2009-05-29,3.29,3.39,3.19,3.32,2.44,269826.0,,,,,,,
2009-06-01,3.38,3.52,3.33,3.33,2.45,71993.0,,,,,,,
2009-06-02,3.36,3.39,3.36,3.36,2.47,299184.0,,,,,,,
2009-06-03,3.36,3.39,3.22,3.38,2.49,71550.0,,,,,,,
2009-06-04,3.4,3.42,3.4,3.4,2.5,425024.0,,,,,,,
2009-06-05,3.39,3.4,3.39,3.4,2.5,37176.0,,,,,,,
2009-06-08,3.31,3.33,3.31,3.33,2.45,26259.0,,,,,,,
2009-06-09,3.39,3.42,3.36,3.42,2.51,88663.0,,,,,,,
2009-06-10,3.43,3.56,3.43,3.56,2.62,75976.0,,,,,,,
2009-06-12,3.56,3.81,3.56,3.72,2.74,174081.0,,,,,,,
2009-06-15,3.72,3.9,3.72,3.9,2.87,153870.0,,,,,,,
2009-06-16,3.93,4.06,3.9,4.03,2.97,198865.0,,,,,,,
2009-06-17,4.07,4.08,3.73,3.92,2.88,178359.0,,,,,,,
2009-06-18,3.9,3.9,3.78,3.78,2.78,50749.0,,,,,,,
2009-06-19,3.84,3.9,3.78,3.8,2.79,68009.0,,,,,,,
2009-06-22,4.86,5.39,4.78,5.14,3.78,2095469.0,,,,,,,
2009-06-23,5.34,5.54,5.18,5.27,3.88,1640644.0,,,,,,,
2009-06-24,5.25,5.25,5.02,5.14,3.79,421188.0,,,,,,,
2009-06-25,5.08,5.48,5.08,5.4,3.97,325886.0,,,,,,,
2009-06-26,5.42,5.42,5.32,5.35,3.94,127168.0,,,,,,,
2009-06-29,5.35,5.52,5.35,5.49,4.04,193702.0,,,,,,,
2009-06-30,5.52,5.52,5.47,5.52,4.06,404223.0,,,,,,,
2009-07-01,5.56,5.65,5.52,5.65,4.16,591286.0,,,,,,,
2009-07-02,5.57,5.59,5.52,5.56,4.09,241648.0,,,,,,,
2009-07-03,5.59,5.83,5.59,5.83,4.29,255811.0,,,,,,,
2009-07-06,5.83,6.09,5.82,6.09,4.48,296233.0,,,,,,,
2009-07-07,6.1,6.1,5.9,6.03,4.43,79221.0,,,,,,,
2009-07-08,6.03,6.11,6.0,6.07,4.46,244009.0,,,,,,,
2009-07-09,6.07,6.07,6.07,6.07,4.46,0.0,,,,,,,
2009-07-10,6.17,6.24,5.97,6.03,4.43,223060.0,,,,,,,
2009-07-13,6.03,6.03,5.88,6.01,4.42,45585.0,,,,,,,
2009-07-14,6.06,6.07,5.9,5.9,4.34,174966.0,,,,,,,
2009-07-15,6.03,6.03,5.86,5.96,4.38,1537228.0,,,,,,,
2009-07-16,5.97,6.03,5.9,6.03,4.44,1849689.0,,,,,,,
2009-07-17,6.13,6.14,5.94,5.94,4.37,557650.0,,,,,,,
2009-07-20,5.84,6.15,5.84,6.03,4.44,1190540.0,,,,,,,
2009-07-21,6.1,6.18,5.97,6.18,4.55,729519.0,,,,,,,
2009-07-22,6.13,6.13,6.07,6.09,4.48,472380.0,,,,,,,
2009-07-23,6.2,6.34,6.2,6.34,4.66,150772.0,,,,,,,
2009-07-24,6.3,6.78,6.3,6.61,4.86,250057.0,,,,,,,
2009-07-27,6.74,6.74,6.41,6.46,4.75,113448.0,,,,,,,
2009-07-28,6.47,6.77,6.45,6.76,4.98,236927.0,,,,,,,
2009-07-29,6.78,6.78,6.58,6.64,4.89,206242.0,,,,,,,
2009-07-30,6.66,6.95,6.66,6.71,4.94,240616.0,,,,,,,
2009-07-31,6.68,6.81,6.61,6.81,5.01,741616.0,,,,,,,
2009-08-03,6.98,7.25,6.89,7.25,5.34,703407.0,,,,,,,
2009-08-04,7.26,7.46,7.14,7.19,5.29,231469.0,,,,,,,
2009-08-05,7.28,7.29,7.12,7.17,5.28,254631.0,,,,,,,
2009-08-06,7.25,7.25,6.92,7.05,5.19,458365.0,,,,,,,
2009-08-07,7.19,7.19,6.97,7.12,5.24,339311.0,,,,,,,
2009-08-10,7.12,7.12,7.0,7.12,5.24,259204.0,,,,,,,
2009-08-11,7.12,7.12,6.81,6.81,5.01,242533.0,,,,,,,
2009-08-12,6.98,6.98,6.77,6.85,5.04,349343.0,,,,,,,
2009-08-13,6.98,7.0,6.81,6.88,5.06,181605.0,,,,,,,
2009-08-14,6.88,6.88,6.71,6.72,4.95,5899444.0,,,,,,,
2009-08-17,6.7,6.98,6.62,6.87,5.05,159771.0,,,,,,,
2009-08-18,6.91,7.12,6.91,7.05,5.19,335475.0,,,,,,,
2009-08-19,7.05,7.11,6.98,7.05,5.19,221880.0,,,,,,,
2009-08-20,7.02,7.05,6.88,6.91,5.09,158148.0,,,,,,,
2009-08-21,6.95,7.15,6.93,7.06,5.19,1026638.0,,,,,,,
2009-08-24,7.19,7.19,7.06,7.07,5.2,95302.0,,,,,,,
2009-08-25,7.05,7.08,6.94,7.05,5.19,129971.0,,,,,,,
2009-08-26,7.02,7.08,7.0,7.08,5.21,438449.0,,,,,,,
2009-08-27,7.08,7.25,7.04,7.25,5.34,680983.0,,,,,,,
2009-08-28,7.12,7.32,7.1,7.32,5.39,102235.0,,,,,,,
2009-08-31,7.31,7.52,7.15,7.5,5.52,308920.0,,,,,,,
2009-09-01,7.41,7.63,7.33,7.33,5.39,722290.0,,,,,,,
2009-09-02,7.31,7.39,7.25,7.32,5.39,42045.0,,,,,,,
2009-09-03,7.25,7.46,7.25,7.44,5.47,72140.0,,,,,,,
2009-09-04,7.42,7.52,7.36,7.46,5.49,144281.0,,,,,,,
2009-09-08,7.52,7.59,7.37,7.52,5.54,341524.0,,,,,,,
2009-09-09,7.52,7.62,7.49,7.62,5.61,109907.0,,,,,,,
2009-09-10,7.63,7.63,7.54,7.59,5.59,89253.0,,,,,,,
2009-09-11,7.49,7.53,7.46,7.46,5.49,92794.0,,,,,,,
2009-09-14,7.44,7.48,7.35,7.46,5.49,107989.0,,,,,,,
2009-09-15,7.49,7.49,7.38,7.46,5.49,110645.0,,,,,,,
2009-09-16,7.46,7.52,7.42,7.46,5.49,53994.0,,,,,,,
2009-09-17,7.38,7.58,7.38,7.52,5.54,135724.0,,,,,,,
2009-09-18,7.52,7.57,7.49,7.56,5.56,344917.0,,,,,,,
2009-09-21,7.57,7.57,7.42,7.52,5.54,343589.0,,,,,,,
2009-09-22,7.52,7.59,7.4,7.4,5.45,101203.0,,,,,,,
2009-09-23,7.59,7.59,7.33,7.33,5.4,139265.0,,,,,,,
2009-09-24,7.4,7.42,7.18,7.22,5.31,75681.0,,,,,,,
2009-09-25,7.25,7.29,7.14,7.22,5.31,38356.0,,,,,,,
2009-09-28,7.29,7.33,7.25,7.32,5.39,197095.0,,,,,,,
2009-09-29,7.27,7.35,7.22,7.35,5.41,28325.0,,,,,,,
2009-09-30,7.29,7.48,7.28,7.48,5.51,146789.0,,,,,,,
2009-10-01,7.32,7.63,7.32,7.55,5.56,64321.0,,,,,,,
